cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427855;1548;-1;Genesis;3;19;CWB;qal;CWBK ;<D CWBK >L&H>DMH ;;;;;;;;;;;
427855;1548;652193;Genesis;3;19;CWB;qal;;<D CWBK ;phrase;;;VP;PreS;core;regular;subject;;;
427855;1548;652194;Genesis;3;19;CWB;qal;;>L&H>DMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427858;1561;-1;Genesis;3;19;CWB;qal;TCWB00 ;W>L&<PR TCWB00 ;;;;;;;;;;;
427858;1561;652201;Genesis;3;19;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427858;1561;652202;Genesis;3;19;CWB;qal;;>L&<PR ;phrase;;;PP;Cmpl;complement;NA;*;;;
427858;1561;652203;Genesis;3;19;CWB;qal;;TCWB00 ;phrase;;;VP;Pred;core;regular;NA;;;
428200;3591;-1;Genesis;8;3;CWB;qal;JCBW ;WJCBW HMJM M<L H>RY HLWK WCWB ;;;;;;;;;;;
428200;3591;653298;Genesis;8;3;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428200;3591;653299;Genesis;8;3;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
428200;3591;653300;Genesis;8;3;CWB;qal;;HMJM ;phrase;;;NP;Subj;core;NA;subject;;;
428200;3591;653301;Genesis;8;3;CWB;qal;;M<L H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428200;3591;653302;Genesis;8;3;CWB;qal;;HLWK WCWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428209;3678;-1;Genesis;8;7;CWB;qal;CWB ;WJY> JYW> WCWB ;;;;;;;;;;;
428209;3678;653334;Genesis;8;7;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428209;3678;653335;Genesis;8;7;CWB;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428209;3678;653336;Genesis;8;7;CWB;qal;;JYW> WCWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428209;3678;428210;Genesis;8;7;CWB;qal;;<D&JBCT HMJM M<L H>RY00 ;clause;InfC;Adju;;;NA;NA;;;;
428215;3715;-1;Genesis;8;9;CWB;qal;TCB ;WTCB >LJW >L&HTBH ;;;;;;;;;;;
428215;3715;653355;Genesis;8;9;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428215;3715;653356;Genesis;8;9;CWB;qal;;TCB ;phrase;;;VP;Pred;core;regular;NA;;;
428215;3715;653357;Genesis;8;9;CWB;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428215;3715;653358;Genesis;8;9;CWB;qal;;>L&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428230;3794;-1;Genesis;8;12;CWB;qal;CWB&;CWB&>LJW <WD00 ;;;;;;;;;;;
428230;3794;653407;Genesis;8;12;CWB;qal;;CWB&;phrase;;;VP;Pred;core;regular;NA;;;
428230;3794;653408;Genesis;8;12;CWB;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428230;3794;653409;Genesis;8;12;CWB;qal;;<WD00 ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428659;6319;-1;Genesis;14;7;CWB;qal;JCBW ;WJCBW ;;;;;;;;;;;
428659;6319;654759;Genesis;14;7;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428659;6319;654760;Genesis;14;7;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
428690;6509;-1;Genesis;14;16;CWB;hif;JCB ;WJCB >T KL&HRKC ;;;;;;;;;;;
428690;6509;654849;Genesis;14;16;CWB;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428690;6509;654850;Genesis;14;16;CWB;hif;;JCB ;phrase;;;VP;Pred;core;regular;NA;;;
428690;6509;654851;Genesis;14;16;CWB;hif;;>T KL&HRKC ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428691;6521;-1;Genesis;14;16;CWB;hif;HCJB ;WGM >T&LWV >XJW WRKCW HCJB WGM >T&HNCJM W>T&H<M00 ;;;;;;;;;;;
428691;6521;654852;Genesis;14;16;CWB;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428691;6521;654853;Genesis;14;16;CWB;hif;;GM >T&LWV >XJW WRKCW WGM >T&HNCJM W>T&H<M00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428691;6521;654854;Genesis;14;16;CWB;hif;;HCJB ;phrase;;;VP;Pred;core;regular;NA;;;
428694;6538;-1;Genesis;14;17;CWB;qal;CWBW ;>XRJ CWBW ;;;;;;;;;;;
428694;6538;654859;Genesis;14;17;CWB;qal;;>XRJ CWBW ;phrase;;;VP;PreS;core;regular;subject;;;
428694;6538;428695;Genesis;14;17;CWB;qal;;MHKWT >T&KDR_L<MR W>T&HMLKJM >L&<MQ CWH ;clause;InfC;Adju;;;NA;NA;;;;
428786;6931;-1;Genesis;15;16;CWB;qal;JCWBW ;WDWR RBJ<J JCWBW HNH ;;;;;;;;;;;
428786;6931;655122;Genesis;15;16;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428786;6931;655123;Genesis;15;16;CWB;qal;;DWR RBJ<J ;phrase;;;NP;Subj;core;NA;subject;;;
428786;6931;655124;Genesis;15;16;CWB;qal;;JCWBW ;phrase;;;VP;Pred;core;regular;NA;;;
428786;6931;655125;Genesis;15;16;CWB;qal;;HNH ;phrase;;;AdvP;Cmpl;complement;NA;*;;;
428837;7203;-1;Genesis;16;9;CWB;qal;CWBJ ;CWBJ >L&GBRTK ;;;;;;;;;;;
428837;7203;655277;Genesis;16;9;CWB;qal;;CWBJ ;phrase;;;VP;Pred;core;regular;NA;;;
428837;7203;655278;Genesis;16;9;CWB;qal;;>L&GBRTK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428989;7970;-1;Genesis;18;10;CWB;qal;CWB ;CWB >CWB >LJK K<T XJH ;;;;;;;;;;;
428989;7970;655757;Genesis;18;10;CWB;qal;;CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428989;7970;655758;Genesis;18;10;CWB;qal;;>CWB ;phrase;;;VP;Pred;core;regular;NA;;;
428989;7970;655759;Genesis;18;10;CWB;qal;;>LJK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428989;7970;655760;Genesis;18;10;CWB;qal;;K<T XJH ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
429008;8051;-1;Genesis;18;14;CWB;qal;>CWB ;LMW<D >CWB >LJK K<T XJH ;;;;;;;;;;;
429008;8051;655811;Genesis;18;14;CWB;qal;;LMW<D ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
429008;8051;655812;Genesis;18;14;CWB;qal;;>CWB ;phrase;;;VP;Pred;core;regular;NA;;;
429008;8051;655813;Genesis;18;14;CWB;qal;;>LJK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
429008;8051;655814;Genesis;18;14;CWB;qal;;K<T XJH ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
