cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427568;96;-1;Genesis;1;7;<FH;qal;J<F ;WJ<F >LHJM >T&HRQJ< ;;;;;;;;;;;
427568;96;651351;Genesis;1;7;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427568;96;651352;Genesis;1;7;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427568;96;651353;Genesis;1;7;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427568;96;651354;Genesis;1;7;<FH;qal;;>T&HRQJ< ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427588;191;-1;Genesis;1;11;<FH;qal;<FH ;<FH PRJ LMJNW <L&H>RY ;;;;;;;;;;;
427588;191;651411;Genesis;1;11;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427588;191;651412;Genesis;1;11;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427588;191;651413;Genesis;1;11;<FH;qal;;LMJNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427588;191;651417;Genesis;1;11;<FH;qal;;<L&H>RY ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
427593;216;-1;Genesis;1;12;<FH;qal;<FH ;<FH PRJ LMJNHW ;;;;;;;;;;;
427593;216;651428;Genesis;1;12;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427593;216;651429;Genesis;1;12;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427593;216;651433;Genesis;1;12;<FH;qal;;LMJNHW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427607;283;-1;Genesis;1;16;<FH;qal;J<F ;WJ<F >LHJM >T&CNJ HM>RT HGDLJM ;;;;;;;;;;;
427607;283;651466;Genesis;1;16;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427607;283;651467;Genesis;1;16;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427607;283;651468;Genesis;1;16;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427607;283;651469;Genesis;1;16;<FH;qal;;>T&CNJ HM>RT HGDLJM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427643;468;-1;Genesis;1;25;<FH;qal;J<F ;WJ<F >LHJM >T&XJT H>RY LMJNH ;;;;;;;;;;;
427643;468;651564;Genesis;1;25;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427643;468;651565;Genesis;1;25;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427643;468;651566;Genesis;1;25;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427643;468;651567;Genesis;1;25;<FH;qal;;>T&XJT H>RY ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427643;468;651568;Genesis;1;25;<FH;qal;;LMJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427649;498;-1;Genesis;1;26;<FH;qal;N<FH ;N<FH >DM BYLMNW KDMWTNW ;;;;;;;;;;;
427649;498;651583;Genesis;1;26;<FH;qal;;N<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427649;498;651584;Genesis;1;26;<FH;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427649;498;651585;Genesis;1;26;<FH;qal;;BYLMNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427649;498;651586;Genesis;1;26;<FH;qal;;KDMWTNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427674;660;-1;Genesis;1;31;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427674;660;651659;Genesis;1;31;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427674;660;651660;Genesis;1;31;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427681;694;-1;Genesis;2;2;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427681;694;651680;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427681;694;651681;Genesis;2;2;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427683;706;-1;Genesis;2;2;<FH;qal;<FH00 ;>CR <FH00 ;;;;;;;;;;;
427683;706;651686;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
