cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427855;1548;-1;Genesis;3;19;CWB;qal;CWBK ;<D CWBK >L&H>DMH ;;;;;;;;;;;
427855;1548;652399;Genesis;3;19;CWB;qal;;<D CWBK ;phrase;;;VP;PreS;core;regular;subject;;;
427855;1548;652400;Genesis;3;19;CWB;qal;;>L&H>DMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427858;1561;-1;Genesis;3;19;CWB;qal;TCWB00 ;W>L&<PR TCWB00 ;;;;;;;;;;;
427858;1561;652407;Genesis;3;19;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427858;1561;652408;Genesis;3;19;CWB;qal;;>L&<PR ;phrase;;;PP;Cmpl;complement;NA;*;;;
427858;1561;652409;Genesis;3;19;CWB;qal;;TCWB00 ;phrase;;;VP;Pred;core;regular;NA;;;
428200;3591;-1;Genesis;8;3;CWB;qal;JCBW ;WJCBW HMJM M<L H>RY HLWK WCWB ;;;;;;;;;;;
428200;3591;653506;Genesis;8;3;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428200;3591;653507;Genesis;8;3;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
428200;3591;653508;Genesis;8;3;CWB;qal;;HMJM ;phrase;;;NP;Subj;core;NA;subject;;;
428200;3591;653509;Genesis;8;3;CWB;qal;;M<L H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428200;3591;653510;Genesis;8;3;CWB;qal;;HLWK WCWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428209;3678;-1;Genesis;8;7;CWB;qal;CWB ;WJY> JYW> WCWB ;;;;;;;;;;;
428209;3678;653542;Genesis;8;7;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428209;3678;653543;Genesis;8;7;CWB;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428209;3678;653544;Genesis;8;7;CWB;qal;;JYW> WCWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428209;3678;428210;Genesis;8;7;CWB;qal;;<D&JBCT HMJM M<L H>RY00 ;clause;InfC;Adju;;;NA;NA;;;;
428215;3715;-1;Genesis;8;9;CWB;qal;TCB ;WTCB >LJW >L&HTBH ;;;;;;;;;;;
428215;3715;653563;Genesis;8;9;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428215;3715;653564;Genesis;8;9;CWB;qal;;TCB ;phrase;;;VP;Pred;core;regular;NA;;;
428215;3715;653565;Genesis;8;9;CWB;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428215;3715;653566;Genesis;8;9;CWB;qal;;>L&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428230;3794;-1;Genesis;8;12;CWB;qal;CWB&;CWB&>LJW <WD00 ;;;;;;;;;;;
428230;3794;653615;Genesis;8;12;CWB;qal;;CWB&;phrase;;;VP;Pred;core;regular;NA;;;
428230;3794;653616;Genesis;8;12;CWB;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428230;3794;653617;Genesis;8;12;CWB;qal;;<WD00 ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428660;6319;-1;Genesis;14;7;CWB;qal;JCBW ;WJCBW ;;;;;;;;;;;
428660;6319;654967;Genesis;14;7;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428660;6319;654968;Genesis;14;7;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
428691;6509;-1;Genesis;14;16;CWB;hif;JCB ;WJCB >T KL&HRKC ;;;;;;;;;;;
428691;6509;655057;Genesis;14;16;CWB;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428691;6509;655058;Genesis;14;16;CWB;hif;;JCB ;phrase;;;VP;Pred;core;regular;NA;;;
428691;6509;655059;Genesis;14;16;CWB;hif;;>T KL&HRKC ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428692;6521;-1;Genesis;14;16;CWB;hif;HCJB ;WGM >T&LWV >XJW WRKCW HCJB WGM >T&HNCJM W>T&H<M00 ;;;;;;;;;;;
428692;6521;655060;Genesis;14;16;CWB;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428692;6521;655061;Genesis;14;16;CWB;hif;;GM >T&LWV >XJW WRKCW WGM >T&HNCJM W>T&H<M00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428692;6521;655062;Genesis;14;16;CWB;hif;;HCJB ;phrase;;;VP;Pred;core;regular;NA;;;
428695;6538;-1;Genesis;14;17;CWB;qal;CWBW ;>XRJ CWBW ;;;;;;;;;;;
428695;6538;655067;Genesis;14;17;CWB;qal;;>XRJ CWBW ;phrase;;;VP;PreS;core;regular;subject;;;
428695;6538;428696;Genesis;14;17;CWB;qal;;MHKWT >T&KDR_L<MR W>T&HMLKJM >L&<MQ CWH ;clause;InfC;Adju;;;NA;NA;;;;
428787;6931;-1;Genesis;15;16;CWB;qal;JCWBW ;WDWR RBJ<J JCWBW HNH ;;;;;;;;;;;
428787;6931;655330;Genesis;15;16;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428787;6931;655331;Genesis;15;16;CWB;qal;;DWR RBJ<J ;phrase;;;NP;Subj;core;NA;subject;;;
428787;6931;655332;Genesis;15;16;CWB;qal;;JCWBW ;phrase;;;VP;Pred;core;regular;NA;;;
428787;6931;655333;Genesis;15;16;CWB;qal;;HNH ;phrase;;;AdvP;Cmpl;complement;NA;*;;;
428838;7203;-1;Genesis;16;9;CWB;qal;CWBJ ;CWBJ >L&GBRTK ;;;;;;;;;;;
428838;7203;655485;Genesis;16;9;CWB;qal;;CWBJ ;phrase;;;VP;Pred;core;regular;NA;;;
428838;7203;655486;Genesis;16;9;CWB;qal;;>L&GBRTK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428990;7970;-1;Genesis;18;10;CWB;qal;CWB ;CWB >CWB >LJK K<T XJH ;;;;;;;;;;;
428990;7970;655965;Genesis;18;10;CWB;qal;;CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428990;7970;655966;Genesis;18;10;CWB;qal;;>CWB ;phrase;;;VP;Pred;core;regular;NA;;;
428990;7970;655967;Genesis;18;10;CWB;qal;;>LJK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428990;7970;655968;Genesis;18;10;CWB;qal;;K<T XJH ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
429009;8051;-1;Genesis;18;14;CWB;qal;>CWB ;LMW<D >CWB >LJK K<T XJH ;;;;;;;;;;;
429009;8051;656019;Genesis;18;14;CWB;qal;;LMW<D ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
429009;8051;656020;Genesis;18;14;CWB;qal;;>CWB ;phrase;;;VP;Pred;core;regular;NA;;;
429009;8051;656021;Genesis;18;14;CWB;qal;;>LJK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
429009;8051;656022;Genesis;18;14;CWB;qal;;K<T XJH ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
429102;8421;-1;Genesis;18;33;CWB;qal;CB ;W>BRHM CB LMQMW00 ;;;;;;;;;;;
429102;8421;656284;Genesis;18;33;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429102;8421;656285;Genesis;18;33;CWB;qal;;>BRHM ;phrase;;;PrNP;Subj;core;NA;subject;;;
429102;8421;656286;Genesis;18;33;CWB;qal;;CB ;phrase;;;VP;Pred;core;regular;NA;;;
429102;8421;656287;Genesis;18;33;CWB;qal;;LMQMW00 ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429310;9374;-1;Genesis;20;7;CWB;hif;HCB ;HCB >CT&H>JC ;;;;;;;;;;;
429310;9374;656905;Genesis;20;7;CWB;hif;;HCB ;phrase;;;VP;Pred;core;regular;NA;;;
429310;9374;656906;Genesis;20;7;CWB;hif;;>CT&H>JC ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429314;9389;-1;Genesis;20;7;CWB;hif;MCJB ;W>M&>JNK MCJB ;;;;;;;;;;;
429314;9389;656915;Genesis;20;7;CWB;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429314;9389;656916;Genesis;20;7;CWB;hif;;>M&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429314;9389;656917;Genesis;20;7;CWB;hif;;>JNK ;phrase;;;NegP;NCoS;core;copula;subject;;;
429314;9389;656918;Genesis;20;7;CWB;hif;;MCJB ;phrase;;;VP;PreC;core;regular;NA;;;
429349;9547;-1;Genesis;20;14;CWB;hif;JCB ;WJCB LW >T FRH >CTW00 ;;;;;;;;;;;
429349;9547;657027;Genesis;20;14;CWB;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429349;9547;657028;Genesis;20;14;CWB;hif;;JCB ;phrase;;;VP;Pred;core;regular;NA;;;
429349;9547;657029;Genesis;20;14;CWB;hif;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
429349;9547;657030;Genesis;20;14;CWB;hif;;>T FRH >CTW00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429479;10195;-1;Genesis;21;32;CWB;qal;JCBW ;WJCBW >L&>RY PLCTJM00 ;;;;;;;;;;;
429479;10195;657447;Genesis;21;32;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429479;10195;657448;Genesis;21;32;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
429479;10195;657449;Genesis;21;32;CWB;qal;;>L&>RY PLCTJM00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
429509;10347;-1;Genesis;22;5;CWB;qal;NCWBH ;WNCWBH >LJKM00 ;;;;;;;;;;;
429509;10347;657542;Genesis;22;5;CWB;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429509;10347;657543;Genesis;22;5;CWB;qal;;NCWBH ;phrase;;;VP;Pred;core;regular;NA;;;
429509;10347;657544;Genesis;22;5;CWB;qal;;>LJKM00 ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
429571;10635;-1;Genesis;22;19;CWB;qal;JCB ;WJCB >BRHM >L&N<RJW ;;;;;;;;;;;
