cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427836;1458;-1;Genesis;3;15;CJT;qal;>CJT ;W>JBH05 >CJT BJNK WBJN H>CH WBJN ZR<K WBJN ZR<H ;;;;;;;;;;;
427836;1458;652406;Genesis;3;15;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427836;1458;652407;Genesis;3;15;CJT;qal;;>JBH05 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427836;1458;652408;Genesis;3;15;CJT;qal;;>CJT ;phrase;;;VP;Pred;core;regular;NA;;;
427836;1458;652409;Genesis;3;15;CJT;qal;;BJNK WBJN H>CH WBJN ZR<K WBJN ZR<H ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427971;2091;-1;Genesis;4;25;CJT;qal;CT&;KJ CT&LJ >LHJM ZR< >XR TXT HBL ;;;;;;;;;;;
427971;2091;652822;Genesis;4;25;CJT;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427971;2091;652823;Genesis;4;25;CJT;qal;;CT&;phrase;;;VP;Pred;core;regular;NA;;;
427971;2091;652824;Genesis;4;25;CJT;qal;;LJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427971;2091;652825;Genesis;4;25;CJT;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427971;2091;652826;Genesis;4;25;CJT;qal;;ZR< >XR ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427971;2091;652827;Genesis;4;25;CJT;qal;;TXT HBL ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430842;16305;-1;Genesis;30;40;CJT;qal;JCT&;WJCT&LW <DRJM LBDW ;;;;;;;;;;;
430842;16305;661558;Genesis;30;40;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430842;16305;661559;Genesis;30;40;CJT;qal;;JCT&;phrase;;;VP;Pred;core;regular;NA;;;
430842;16305;661560;Genesis;30;40;CJT;qal;;LW ;phrase;;;PP;Supp;adjunct;NA;NA;;;benefactive
430842;16305;661561;Genesis;30;40;CJT;qal;;<DRJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
430842;16305;661562;Genesis;30;40;CJT;qal;;LBDW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
430843;16312;-1;Genesis;30;40;CJT;qal;CTM ;WL> CTM <L&Y>N LBN00 ;;;;;;;;;;;
430843;16312;661563;Genesis;30;40;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430843;16312;661564;Genesis;30;40;CJT;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
430843;16312;661565;Genesis;30;40;CJT;qal;;CTM ;phrase;;;VP;PreO;core;regular;direct_object;;;
430843;16312;661566;Genesis;30;40;CJT;qal;;<L&Y>N LBN00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
432255;22954;-1;Genesis;41;33;CJT;qal;JCJTHW ;WJCJTHW <L&>RY MYRJM00 ;;;;;;;;;;;
432255;22954;665767;Genesis;41;33;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432255;22954;665768;Genesis;41;33;CJT;qal;;JCJTHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
432255;22954;665769;Genesis;41;33;CJT;qal;;<L&>RY MYRJM00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432990;26056;-1;Genesis;46;4;CJT;qal;JCJT ;WJWSP JCJT JDW <L&<JNJK00 ;;;;;;;;;;;
432990;26056;667923;Genesis;46;4;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432990;26056;667924;Genesis;46;4;CJT;qal;;JWSP ;phrase;;;PrNP;Subj;core;NA;subject;;;
432990;26056;667925;Genesis;46;4;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
432990;26056;667926;Genesis;46;4;CJT;qal;;JDW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432990;26056;667927;Genesis;46;4;CJT;qal;;<L&<JNJK00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
433265;27558;-1;Genesis;48;14;CJT;qal;JCT ;WJCT <L&R>C >PRJM ;;;;;;;;;;;
433265;27558;668782;Genesis;48;14;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433265;27558;668783;Genesis;48;14;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
433265;27558;668784;Genesis;48;14;CJT;qal;;<L&R>C >PRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
433281;27641;-1;Genesis;48;17;CJT;qal;JCJT ;KJ&JCJT >BJW JD&JMJNW <L&R>C >PRJM ;;;;;;;;;;;
433281;27641;668830;Genesis;48;17;CJT;qal;;KJ&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433281;27641;668831;Genesis;48;17;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
433281;27641;668832;Genesis;48;17;CJT;qal;;>BJW ;phrase;;;NP;Subj;core;NA;subject;;;
433281;27641;668833;Genesis;48;17;CJT;qal;;JD&JMJNW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
433281;27641;668834;Genesis;48;17;CJT;qal;;<L&R>C >PRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
434290;32278;-1;Exodus;7;23;CJT;qal;CT ;WL>&CT LBW GM&LZ>T00 ;;;;;;;;;;;
434290;32278;671750;Exodus;7;23;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
434290;32278;671751;Exodus;7;23;CJT;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
434290;32278;671752;Exodus;7;23;CJT;qal;;CT ;phrase;;;VP;Pred;core;regular;NA;;;
434290;32278;671753;Exodus;7;23;CJT;qal;;LBW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
434290;32278;671754;Exodus;7;23;CJT;qal;;GM&LZ>T00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
434567;33802;-1;Exodus;10;1;CJT;qal;CTJ ;LM<N CTJ >TTJ >LH BQRBW00 ;;;;;;;;;;;
434567;33802;672624;Exodus;10;1;CJT;qal;;LM<N CTJ ;phrase;;;VP;PreS;core;regular;subject;;;
434567;33802;672625;Exodus;10;1;CJT;qal;;>TTJ >LH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
434567;33802;672626;Exodus;10;1;CJT;qal;;BQRBW00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
435849;40340;-1;Exodus;21;22;CJT;qal;JCJT ;K>CR JCJT <LJW B<L H>CH ;;;;;;;;;;;
435849;40340;676569;Exodus;21;22;CJT;qal;;K>CR ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
435849;40340;676570;Exodus;21;22;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
435849;40340;676571;Exodus;21;22;CJT;qal;;<LJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
435849;40340;676572;Exodus;21;22;CJT;qal;;B<L H>CH ;phrase;;;NP;Subj;core;NA;subject;;;
435876;40466;-1;Exodus;21;30;CJT;hof;JWCT ;>M&KPR JWCT <LJW ;;;;;;;;;;;
435876;40466;676651;Exodus;21;30;CJT;hof;;>M&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
435876;40466;676652;Exodus;21;30;CJT;hof;;KPR ;phrase;;;NP;Subj;core;NA;subject;;;
435876;40466;676653;Exodus;21;30;CJT;hof;;JWCT ;phrase;;;VP;Pred;core;regular;NA;;;
435876;40466;676654;Exodus;21;30;CJT;hof;;<LJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
435878;40475;-1;Exodus;21;30;CJT;hof;JWCT ;>CR&JWCT <LJW00 ;;;;;;;;;;;
435878;40475;676659;Exodus;21;30;CJT;hof;;>CR&;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
435878;40475;676660;Exodus;21;30;CJT;hof;;JWCT ;phrase;;;VP;Pred;core;regular;NA;;;
435878;40475;676661;Exodus;21;30;CJT;hof;;<LJW00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
436013;41067;-1;Exodus;23;1;CJT;qal;TCT ;>L&TCT JDK <M&RC< ;;;;;;;;;;;
436013;41067;677078;Exodus;23;1;CJT;qal;;>L&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
436013;41067;677079;Exodus;23;1;CJT;qal;;TCT ;phrase;;;VP;Pred;core;regular;NA;;;
436013;41067;677080;Exodus;23;1;CJT;qal;;JDK ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
436013;41067;677081;Exodus;23;1;CJT;qal;;<M&RC< ;phrase;;;PP;Adju;adjunct;NA;NA;;;
436013;41067;436014;Exodus;23;1;CJT;qal;;LHJT <D XMS00_S ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
436108;41549;-1;Exodus;23;31;CJT;qal;CTJ ;WCTJ >T&GBLK MJM&SWP W<D&JM PLCTJM WMMDBR <D&HNHR ;;;;;;;;;;;
436108;41549;677385;Exodus;23;31;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
436108;41549;677386;Exodus;23;31;CJT;qal;;CTJ ;phrase;;;VP;Pred;core;regular;NA;;;
436108;41549;677387;Exodus;23;31;CJT;qal;;>T&GBLK ;phrase;;;PP;Objc;complement;NA;direct_object;;;
436108;41549;677388;Exodus;23;31;CJT;qal;;MJM&SWP W<D&JM PLCTJM WMMDBR <D&HNHR ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
437079;47362;-1;Exodus;33;4;CJT;qal;CTW ;WL>&CTW ;;;;;;;;;;;
437079;47362;680369;Exodus;33;4;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
437079;47362;680370;Exodus;33;4;CJT;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
437079;47362;680371;Exodus;33;4;CJT;qal;;CTW ;phrase;;;VP;Pred;core;regular;NA;;;
442219;77770;-1;Numbers;12;11;CJT;qal;TCT ;>L&N> TCT <LJNW XV>T ;;;;;;;;;;;
442219;77770;696118;Numbers;12;11;CJT;qal;;>L&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
442219;77770;696119;Numbers;12;11;CJT;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
442219;77770;696120;Numbers;12;11;CJT;qal;;TCT ;phrase;;;VP;Pred;core;regular;NA;;;
442219;77770;696121;Numbers;12;11;CJT;qal;;<LJNW ;phrase;;;PP;Cmpl;complement;NA;*;;;
442219;77770;696122;Numbers;12;11;CJT;qal;;XV>T ;phrase;;;NP;Objc;complement;NA;direct_object;;;
443673;85231;-1;Numbers;24;1;CJT;qal;JCT ;WJCT >L&HMDBR PNJW00 ;;;;;;;;;;;
443673;85231;700569;Numbers;24;1;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
443673;85231;700570;Numbers;24;1;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
443673;85231;700571;Numbers;24;1;CJT;qal;;>L&HMDBR ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
443673;85231;700572;Numbers;24;1;CJT;qal;;PNJW00 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
454111;142223;-1;1_Samuel;2;8;CJT;qal;JCT ;WJCT <LJHM TBL00 ;;;;;;;;;;;
454111;142223;732096;1_Samuel;2;8;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
454111;142223;732097;1_Samuel;2;8;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
454111;142223;732098;1_Samuel;2;8;CJT;qal;;<LJHM ;phrase;;;PP;Cmpl;complement;NA;*;;;
454111;142223;732099;1_Samuel;2;8;CJT;qal;;TBL00 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
454463;143788;-1;1_Samuel;4;20;CJT;qal;CTH ;WL>&CTH LBH00 ;;;;;;;;;;;
454463;143788;733129;1_Samuel;4;20;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
454463;143788;733130;1_Samuel;4;20;CJT;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
454463;143788;733131;1_Samuel;4;20;CJT;qal;;CTH ;phrase;;;VP;Pred;core;regular;NA;;;
