cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427710;825;-1;Genesis;2;8;FJM;qal;JFM ;WJFM CM >T&H>DM ;;;;;;;;;;;
427710;825;652031;Genesis;2;8;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427710;825;652032;Genesis;2;8;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427710;825;652033;Genesis;2;8;FJM;qal;;CM ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427710;825;652034;Genesis;2;8;FJM;qal;;>T&H>DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427942;1918;-1;Genesis;4;15;FJM;qal;JFM ;WJFM JHWH LQJN >WT ;;;;;;;;;;;
427942;1918;652714;Genesis;4;15;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427942;1918;652715;Genesis;4;15;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427942;1918;652716;Genesis;4;15;FJM;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
427942;1918;652717;Genesis;4;15;FJM;qal;;LQJN ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427942;1918;652718;Genesis;4;15;FJM;qal;;>WT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427942;1918;427943;Genesis;4;15;FJM;qal;;LBLTJ HKWT&>TW KL&MY>W00 ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428117;2907;-1;Genesis;6;16;FJM;qal;TFJM ;WPTX HTBH BYDH TFJM ;;;;;;;;;;;
428117;2907;653281;Genesis;6;16;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428117;2907;653282;Genesis;6;16;FJM;qal;;PTX HTBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428117;2907;653283;Genesis;6;16;FJM;qal;;BYDH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428117;2907;653284;Genesis;6;16;FJM;qal;;TFJM ;phrase;;;VP;Pred;core;regular;NA;;;
428338;4446;-1;Genesis;9;23;FJM;qal;JFJMW ;WJFJMW <L&CKM CNJHM ;;;;;;;;;;;
428338;4446;653998;Genesis;9;23;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428338;4446;653999;Genesis;9;23;FJM;qal;;JFJMW ;phrase;;;VP;Pred;core;regular;NA;;;
428338;4446;654000;Genesis;9;23;FJM;qal;;<L&CKM CNJHM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428640;6160;-1;Genesis;13;16;FJM;qal;FMTJ ;WFMTJ >T&ZR<K K<PR H>RY ;;;;;;;;;;;
428640;6160;654962;Genesis;13;16;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428640;6160;654963;Genesis;13;16;FJM;qal;;FMTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428640;6160;654964;Genesis;13;16;FJM;qal;;>T&ZR<K ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428640;6160;654965;Genesis;13;16;FJM;qal;;K<PR H>RY ;phrase;;;PP;Cmpl;complement;NA;K_object;*;location;location
429407;9821;-1;Genesis;21;13;FJM;qal;>FJMNW ;LGWJ >FJMNW ;;;;;;;;;;;
429407;9821;657275;Genesis;21;13;FJM;qal;;LGWJ ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429407;9821;657276;Genesis;21;13;FJM;qal;;>FJMNW ;phrase;;;VP;PreO;core;regular;principal_direct_object;;;
429412;9841;-1;Genesis;21;14;FJM;qal;FM ;FM <L&CKMH ;;;;;;;;;;;
429412;9841;657290;Genesis;21;14;FJM;qal;;FM ;phrase;;;VP;PreC;core;regular;NA;;;
429412;9841;657291;Genesis;21;14;FJM;qal;;<L&CKMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
429437;9952;-1;Genesis;21;18;FJM;qal;>FJMNW00 ;KJ&LGWJ GDWL >FJMNW00 ;;;;;;;;;;;
