cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427600;205;-1;Genesis;1;12;JY>;hif;TWY> ;WTWY> H>RY DC> <FB W<Y ;;;;;;;;;;;
427600;205;651702;Genesis;1;12;JY>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427600;205;651703;Genesis;1;12;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
427600;205;651704;Genesis;1;12;JY>;hif;;H>RY ;phrase;;;NP;Subj;core;NA;subject;;;
427600;205;651705;Genesis;1;12;JY>;hif;;DC> <FB W<Y ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427646;449;-1;Genesis;1;24;JY>;hif;TWY> ;TWY> H>RY NPC XJH LMJNH ;;;;;;;;;;;
427646;449;651831;Genesis;1;24;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
427646;449;651832;Genesis;1;24;JY>;hif;;H>RY ;phrase;;;NP;Subj;core;NA;subject;;;
427646;449;651833;Genesis;1;24;JY>;hif;;NPC XJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427646;449;651834;Genesis;1;24;JY>;hif;;LMJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427717;865;-1;Genesis;2;10;JY>;qal;JY> ;WNHR JY> M<DN ;;;;;;;;;;;
427717;865;652052;Genesis;2;10;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427717;865;652053;Genesis;2;10;JY>;qal;;NHR ;phrase;;;NP;Subj;core;NA;subject;;;
427717;865;652054;Genesis;2;10;JY>;qal;;JY> ;phrase;;;VP;PreC;core;regular;NA;;;
427717;865;652055;Genesis;2;10;JY>;qal;;M<DN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427717;865;427718;Genesis;2;10;JY>;qal;;LHCQWT >T&HGN ;clause;InfC;Adju;;;NA;NA;;;;
427944;1930;-1;Genesis;4;16;JY>;qal;JY> ;WJY> QJN MLPNJ JHWH ;;;;;;;;;;;
427944;1930;652722;Genesis;4;16;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427944;1930;652723;Genesis;4;16;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
427944;1930;652724;Genesis;4;16;JY>;qal;;QJN ;phrase;;;PrNP;Subj;core;NA;subject;;;
427944;1930;652725;Genesis;4;16;JY>;qal;;MLPNJ JHWH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428215;3675;-1;Genesis;8;7;JY>;qal;JY> ;WJY> JYW> WCWB ;;;;;;;;;;;
428215;3675;653612;Genesis;8;7;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428215;3675;653613;Genesis;8;7;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428215;3675;653614;Genesis;8;7;JY>;qal;;JYW> WCWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428215;3675;428216;Genesis;8;7;JY>;qal;;<D&JBCT HMJM M<L H>RY00 ;clause;InfC;Adju;;;NA;NA;;;;
428245;3859;-1;Genesis;8;16;JY>;qal;Y> ;Y> MN&HTBH >TH W>CTK WBNJK WNCJ&BNJK >TK00 ;;;;;;;;;;;
428245;3859;653716;Genesis;8;16;JY>;qal;;Y> ;phrase;;;VP;Pred;core;regular;NA;;;
428245;3859;653717;Genesis;8;16;JY>;qal;;MN&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428245;3859;653718;Genesis;8;16;JY>;qal;;>TH W>CTK WBNJK WNCJ&BNJK >TK00 ;phrase;;;PPrP;Subj;core;NA;subject;;;
428246;3897;-1;Genesis;8;17;JY>;hif;HWY> ;KL&HXJH MKL&BFR B<WP WBBHMH WBKL&HRMF HWY> >TK ;;;;;;;;;;;
428246;3897;653719;Genesis;8;17;JY>;hif;;KL&HXJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428246;3897;653722;Genesis;8;17;JY>;hif;;MKL&BFR B<WP WBBHMH WBKL&HRMF ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428246;3897;653726;Genesis;8;17;JY>;hif;;HWY> ;phrase;;;VP;Pred;core;regular;NA;;;
428246;3897;653727;Genesis;8;17;JY>;hif;;>TK ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428252;3912;-1;Genesis;8;18;JY>;qal;JY>&;WJY>&NX WBNJW W>CTW WNCJ&BNJW >TW00 ;;;;;;;;;;;
428252;3912;653736;Genesis;8;18;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428252;3912;653737;Genesis;8;18;JY>;qal;;JY>&;phrase;;;VP;Pred;core;regular;NA;;;
428252;3912;653738;Genesis;8;18;JY>;qal;;NX WBNJW W>CTW WNCJ&BNJW >TW00 ;phrase;;;PrNP;Subj;core;NA;subject;;;
428253;3939;-1;Genesis;8;19;JY>;qal;JY>W ;KL&HXJH KL&HRMF WKL&H<WP KL LMCPXTJHM JY>W MN&HTBH00 ;;;;;;;;;;;
428253;3939;653739;Genesis;8;19;JY>;qal;;KL&HXJH KL&HRMF WKL&H<WP KL ;phrase;;;NP;Subj;core;NA;subject;;;
428253;3939;653742;Genesis;8;19;JY>;qal;;LMCPXTJHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428253;3939;653743;Genesis;8;19;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428253;3939;653744;Genesis;8;19;JY>;qal;;MN&HTBH00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
428297;4209;-1;Genesis;9;10;JY>;qal;JY>J ;JY>J HTBH ;;;;;;;;;;;
428297;4209;653870;Genesis;9;10;JY>;qal;;JY>J ;phrase;;;VP;PreC;core;regular;NA;;;
428297;4209;653871;Genesis;9;10;JY>;qal;;HTBH ;phrase;;;NP;Cmpl;complement;NA;*;;;
428324;4375;-1;Genesis;9;18;JY>;qal;JY>JM ;HJY>JM MN&HTBH ;;;;;;;;;;;
428324;4375;653957;Genesis;9;18;JY>;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428324;4375;653958;Genesis;9;18;JY>;qal;;JY>JM ;phrase;;;VP;PreC;core;regular;NA;;;
428324;4375;653959;Genesis;9;18;JY>;qal;;MN&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428375;4679;-1;Genesis;10;11;JY>;qal;JY> ;MN&H>RY HHW> JY> >CWR ;;;;;;;;;;;
428375;4679;654118;Genesis;10;11;JY>;qal;;MN&H>RY HHW> ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428375;4679;654119;Genesis;10;11;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428375;4679;654120;Genesis;10;11;JY>;qal;;>CWR ;phrase;;;PrNP;Subj;core;NA;subject;;;
428381;4725;-1;Genesis;10;14;JY>;qal;JY>W ;>CR JY>W MCM PLCTJM ;;;;;;;;;;;
428381;4725;654135;Genesis;10;14;JY>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428381;4725;654136;Genesis;10;14;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428381;4725;654137;Genesis;10;14;JY>;qal;;MCM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428381;4725;654138;Genesis;10;14;JY>;qal;;PLCTJM ;phrase;;;NP;Subj;core;NA;subject;;;
428505;5454;-1;Genesis;11;31;JY>;qal;JY>W ;WJY>W >TM M>WR KFDJM ;;;;;;;;;;;
428505;5454;654521;Genesis;11;31;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428505;5454;654522;Genesis;11;31;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428505;5454;654523;Genesis;11;31;JY>;qal;;>TM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428505;5454;654524;Genesis;11;31;JY>;qal;;M>WR KFDJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428505;5454;428506;Genesis;11;31;JY>;qal;;LLKT >RYH KN<N ;clause;InfC;Adju;;;NA;NA;;;;
428525;5552;-1;Genesis;12;4;JY>;qal;Y>TW ;BY>TW MXRN00 ;;;;;;;;;;;
428525;5552;654586;Genesis;12;4;JY>;qal;;BY>TW ;phrase;;;VP;PreS;core;regular;subject;;;
428525;5552;654587;Genesis;12;4;JY>;qal;;MXRN00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428529;5581;-1;Genesis;12;5;JY>;qal;JY>W ;WJY>W ;;;;;;;;;;;
428529;5581;654597;Genesis;12;5;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428529;5581;654598;Genesis;12;5;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428529;5581;428530;Genesis;12;5;JY>;qal;;LLKT >RYH KN<N ;clause;InfC;Adju;;;NA;NA;;;;
428671;6343;-1;Genesis;14;8;JY>;qal;JY> ;WJY> MLK&SDM WMLK <MRH WMLK >DMH WMLK YBJJM WMLK BL< ;;;;;;;;;;;
428671;6343;655050;Genesis;14;8;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428671;6343;655051;Genesis;14;8;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428671;6343;655052;Genesis;14;8;JY>;qal;;MLK&SDM WMLK <MRH WMLK >DMH WMLK YBJJM WMLK BL< ;phrase;;;NP;Subj;core;NA;subject;;;
428699;6532;-1;Genesis;14;17;JY>;qal;JY> ;WJY> MLK&SDM ;;;;;;;;;;;
428699;6532;655133;Genesis;14;17;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428699;6532;655134;Genesis;14;17;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428699;6532;655135;Genesis;14;17;JY>;qal;;MLK&SDM ;phrase;;;NP;Subj;core;NA;subject;;;
428699;6532;428700;Genesis;14;17;JY>;qal;;LQR>TW ;clause;InfC;Adju;;;NA;NA;;;;
428699;6532;428701;Genesis;14;17;JY>;qal;;>XRJ CWBW ;clause;InfC;Adju;;;NA;NA;;;;
428705;6560;-1;Genesis;14;18;JY>;hif;HWYJ> ;WMLKJ_YDQ MLK CLM HWYJ> LXM WJJN ;;;;;;;;;;;
428705;6560;655145;Genesis;14;18;JY>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428705;6560;655146;Genesis;14;18;JY>;hif;;MLKJ_YDQ MLK CLM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428705;6560;655147;Genesis;14;18;JY>;hif;;HWYJ> ;phrase;;;VP;Pred;core;regular;NA;;;
428705;6560;655148;Genesis;14;18;JY>;hif;;LXM WJJN ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428748;6740;-1;Genesis;15;4;JY>;qal;JY> ;>CR JY> MM<JK ;;;;;;;;;;;
428748;6740;655268;Genesis;15;4;JY>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428748;6740;655269;Genesis;15;4;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428748;6740;655270;Genesis;15;4;JY>;qal;;MM<JK ;phrase;;;PP;Cmpl;complement;NA;*;;;
428750;6746;-1;Genesis;15;5;JY>;hif;JWY> ;WJWY> >TW HXWYH ;;;;;;;;;;;
428750;6746;655273;Genesis;15;5;JY>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428750;6746;655274;Genesis;15;5;JY>;hif;;JWY> ;phrase;;;VP;Pred;core;regular;NA;;;
428750;6746;655275;Genesis;15;5;JY>;hif;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428750;6746;655276;Genesis;15;5;JY>;hif;;HXWYH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428762;6785;-1;Genesis;15;7;JY>;hif;HWY>TJK ;>CR HWY>TJK M>WR KFDJM ;;;;;;;;;;;
428762;6785;655307;Genesis;15;7;JY>;hif;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428762;6785;655308;Genesis;15;7;JY>;hif;;HWY>TJK ;phrase;;;VP;PreO;core;regular;principal_direct_object;;;
428762;6785;655309;Genesis;15;7;JY>;hif;;M>WR KFDJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428762;6785;428763;Genesis;15;7;JY>;hif;;LTT LK >T&H>RY HZ>T ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428790;6913;-1;Genesis;15;14;JY>;qal;JY>W ;W>XRJ&KN JY>W BRKC GDWL00 ;;;;;;;;;;;
428790;6913;655389;Genesis;15;14;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428790;6913;655390;Genesis;15;14;JY>;qal;;>XRJ&KN ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
428790;6913;655391;Genesis;15;14;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428790;6913;655392;Genesis;15;14;JY>;qal;;BRKC GDWL00 ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428890;7412;-1;Genesis;17;6;JY>;qal;JY>W00 ;WMLKJM MMK JY>W00 ;;;;;;;;;;;
428890;7412;655702;Genesis;17;6;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428890;7412;655703;Genesis;17;6;JY>;qal;;MLKJM ;phrase;;;NP;Subj;core;NA;subject;;;
428890;7412;655704;Genesis;17;6;JY>;qal;;MMK ;phrase;;;PP;Cmpl;complement;NA;*;;;
428890;7412;655705;Genesis;17;6;JY>;qal;;JY>W00 ;phrase;;;VP;Pred;core;regular;NA;;;
429138;8536;-1;Genesis;19;5;JY>;hif;HWYJ>M ;HWYJ>M >LJNW ;;;;;;;;;;;
429138;8536;656437;Genesis;19;5;JY>;hif;;HWYJ>M ;phrase;;;VP;PreO;core;regular;direct_object;;;
429138;8536;656438;Genesis;19;5;JY>;hif;;>LJNW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
429140;8542;-1;Genesis;19;6;JY>;qal;JY> ;WJY> >LHM LWV HPTXH ;;;;;;;;;;;
429140;8542;656442;Genesis;19;6;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429140;8542;656443;Genesis;19;6;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
429140;8542;656444;Genesis;19;6;JY>;qal;;>LHM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
429140;8542;656445;Genesis;19;6;JY>;qal;;LWV ;phrase;;;PrNP;Subj;core;NA;subject;;;
429140;8542;656446;Genesis;19;6;JY>;qal;;HPTXH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
429147;8567;-1;Genesis;19;8;JY>;hif;>WYJ>H&;>WYJ>H&N> >THN >LJKM ;;;;;;;;;;;
429147;8567;656465;Genesis;19;8;JY>;hif;;>WYJ>H&;phrase;;;VP;Pred;core;regular;NA;;;
429147;8567;656466;Genesis;19;8;JY>;hif;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
429147;8567;656467;Genesis;19;8;JY>;hif;;>THN ;phrase;;;PP;Objc;complement;NA;direct_object;;;
