cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427759;1079;-1;Genesis;2;21;NPL;hif;JPL ;WJPL JHWH >LHJM05 TRDMH <L&H>DM ;;;;;;;;;;;
427759;1079;652167;Genesis;2;21;NPL;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427759;1079;652168;Genesis;2;21;NPL;hif;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
427759;1079;652169;Genesis;2;21;NPL;hif;;JHWH >LHJM05 ;phrase;;;PrNP;Subj;core;NA;subject;;;
427759;1079;652170;Genesis;2;21;NPL;hif;;TRDMH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427759;1079;652171;Genesis;2;21;NPL;hif;;<L&H>DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427899;1752;-1;Genesis;4;5;NPL;qal;JPLW ;WJPLW PNJW00 ;;;;;;;;;;;
427899;1752;652589;Genesis;4;5;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427899;1752;652590;Genesis;4;5;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
427899;1752;652591;Genesis;4;5;NPL;qal;;PNJW00 ;phrase;;;NP;Subj;core;NA;subject;;;
427902;1764;-1;Genesis;4;6;NPL;qal;NPLW ;WLMH NPLW PNJK00 ;;;;;;;;;;;
427902;1764;652599;Genesis;4;6;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427902;1764;652600;Genesis;4;6;NPL;qal;;LMH ;phrase;;;InrP;Ques;NA;NA;NA;;NA;NA
427902;1764;652601;Genesis;4;6;NPL;qal;;NPLW ;phrase;;;VP;Pred;core;regular;NA;;;
427902;1764;652602;Genesis;4;6;NPL;qal;;PNJK00 ;phrase;;;NP;Subj;core;NA;subject;;;
428678;6403;-1;Genesis;14;10;NPL;qal;JPLW&;WJPLW&CMH ;;;;;;;;;;;
428678;6403;655069;Genesis;14;10;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428678;6403;655070;Genesis;14;10;NPL;qal;;JPLW&;phrase;;;VP;Pred;core;regular;NA;;;
428678;6403;655071;Genesis;14;10;NPL;qal;;CMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428780;6869;-1;Genesis;15;12;NPL;qal;NPLH ;WTRDMH NPLH <L&>BRM ;;;;;;;;;;;
428780;6869;655356;Genesis;15;12;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428780;6869;655357;Genesis;15;12;NPL;qal;;TRDMH ;phrase;;;NP;Subj;core;NA;subject;;;
428780;6869;655358;Genesis;15;12;NPL;qal;;NPLH ;phrase;;;VP;Pred;core;regular;NA;;;
428780;6869;655359;Genesis;15;12;NPL;qal;;<L&>BRM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428781;6877;-1;Genesis;15;12;NPL;qal;NPLT ;WHNH >JMH XCKH GDLH NPLT <LJW00 ;;;;;;;;;;;
428781;6877;655360;Genesis;15;12;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428781;6877;655361;Genesis;15;12;NPL;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428781;6877;655362;Genesis;15;12;NPL;qal;;>JMH XCKH GDLH ;phrase;;;NP;Subj;core;NA;subject;;;
428781;6877;655363;Genesis;15;12;NPL;qal;;NPLT ;phrase;;;VP;PreC;core;regular;NA;;;
428781;6877;655364;Genesis;15;12;NPL;qal;;<LJW00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
428879;7363;-1;Genesis;17;3;NPL;qal;JPL ;WJPL >BRM <L&PNJW ;;;;;;;;;;;
428879;7363;655666;Genesis;17;3;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428879;7363;655667;Genesis;17;3;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
428879;7363;655668;Genesis;17;3;NPL;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428879;7363;655669;Genesis;17;3;NPL;qal;;<L&PNJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
428919;7598;-1;Genesis;17;17;NPL;qal;JPL ;WJPL >BRHM <L&PNJW ;;;;;;;;;;;
428919;7598;655804;Genesis;17;17;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428919;7598;655805;Genesis;17;17;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
428919;7598;655806;Genesis;17;17;NPL;qal;;>BRHM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428919;7598;655807;Genesis;17;17;NPL;qal;;<L&PNJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
429955;12357;-1;Genesis;24;64;NPL;qal;TPL ;WTPL M<L HGML00 ;;;;;;;;;;;
429955;12357;658873;Genesis;24;64;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429955;12357;658874;Genesis;24;64;NPL;qal;;TPL ;phrase;;;VP;Pred;core;regular;NA;;;
429955;12357;658875;Genesis;24;64;NPL;qal;;M<L HGML00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
430017;12706;-1;Genesis;25;18;NPL;qal;NPL00_P ;<L&PNJ KL&>XJW NPL00_P ;;;;;;;;;;;
430017;12706;659049;Genesis;25;18;NPL;qal;;<L&PNJ KL&>XJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
430017;12706;659050;Genesis;25;18;NPL;qal;;NPL00_P ;phrase;;;VP;Pred;core;regular;NA;;;
431239;18151;-1;Genesis;33;4;NPL;qal;JPL ;WJPL <L&YW>RW ;;;;;;;;;;;
431239;18151;662736;Genesis;33;4;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431239;18151;662737;Genesis;33;4;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
431239;18151;662738;Genesis;33;4;NPL;qal;;<L&YW>RW ;phrase;;;PP;Cmpl;complement;NA;*;;;
432622;24515;-1;Genesis;43;18;NPL;hit;HTNPL ;WLHTNPL <LJNW ;;;;;;;;;;;
432622;24515;666845;Genesis;43;18;NPL;hit;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432622;24515;666846;Genesis;43;18;NPL;hit;;LHTNPL ;phrase;;;VP;Pred;core;regular;NA;;;
432622;24515;666847;Genesis;43;18;NPL;hit;;<LJNW ;phrase;;;PP;Cmpl;complement;NA;*;;;
432622;24515;432623;Genesis;43;18;NPL;hit;;WLQXT >TNW L<BDJM W>T&XMRJNW00 ;clause;InfC;Coor;;;NA;NA;;;;
432766;25076;-1;Genesis;44;14;NPL;qal;JPLW ;WJPLW LPNJW >RYH00 ;;;;;;;;;;;
432766;25076;667245;Genesis;44;14;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432766;25076;667246;Genesis;44;14;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
432766;25076;667247;Genesis;44;14;NPL;qal;;LPNJW ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432766;25076;667248;Genesis;44;14;NPL;qal;;>RYH00 ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
432920;25719;-1;Genesis;45;14;NPL;qal;JPL ;WJPL <L&YW>RJ BNJMN&>XJW ;;;;;;;;;;;
432920;25719;667708;Genesis;45;14;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432920;25719;667709;Genesis;45;14;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
432920;25719;667710;Genesis;45;14;NPL;qal;;<L&YW>RJ BNJMN&>XJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
433056;26452;-1;Genesis;46;29;NPL;qal;JPL ;WJPL <L&YW>RJW ;;;;;;;;;;;
433056;26452;668110;Genesis;46;29;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433056;26452;668111;Genesis;46;29;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
433056;26452;668112;Genesis;46;29;NPL;qal;;<L&YW>RJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
433385;28013;-1;Genesis;49;17;NPL;qal;JPL ;WJPL RKBW >XWR00 ;;;;;;;;;;;
433385;28013;669088;Genesis;49;17;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433385;28013;669089;Genesis;49;17;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
433385;28013;669090;Genesis;49;17;NPL;qal;;RKBW ;phrase;;;NP;Subj;core;NA;subject;;;
433385;28013;669091;Genesis;49;17;NPL;qal;;>XWR00 ;phrase;;;AdvP;Cmpl;complement;NA;*;;;
433443;28261;-1;Genesis;50;1;NPL;qal;JPL ;WJPL JWSP <L&PNJ >BJW ;;;;;;;;;;;
433443;28261;669236;Genesis;50;1;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433443;28261;669237;Genesis;50;1;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
433443;28261;669238;Genesis;50;1;NPL;qal;;JWSP ;phrase;;;PrNP;Subj;core;NA;subject;;;
433443;28261;669239;Genesis;50;1;NPL;qal;;<L&PNJ >BJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
433515;28608;-1;Genesis;50;18;NPL;qal;JPLW ;WJPLW LPNJW ;;;;;;;;;;;
433515;28608;669453;Genesis;50;18;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433515;28608;669454;Genesis;50;18;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
433515;28608;669455;Genesis;50;18;NPL;qal;;LPNJW ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
435189;37101;-1;Exodus;15;16;NPL;qal;TPL ;TPL <LJHM >JMTH WPXD ;;;;;;;;;;;
435189;37101;674543;Exodus;15;16;NPL;qal;;TPL ;phrase;;;VP;Pred;core;regular;NA;;;
435189;37101;674544;Exodus;15;16;NPL;qal;;<LJHM ;phrase;;;PP;Cmpl;complement;NA;*;;;
435189;37101;674545;Exodus;15;16;NPL;qal;;>JMTH WPXD ;phrase;;;NP;Subj;core;NA;subject;;;
435683;39518;-1;Exodus;19;21;NPL;qal;NPL ;WNPL MMNW RB00 ;;;;;;;;;;;
435683;39518;676046;Exodus;19;21;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
435683;39518;676047;Exodus;19;21;NPL;qal;;NPL ;phrase;;;VP;Pred;core;regular;NA;;;
435683;39518;676048;Exodus;19;21;NPL;qal;;MMNW ;phrase;;;PP;Cmpl;complement;NA;*;;;
435683;39518;676049;Exodus;19;21;NPL;qal;;RB00 ;phrase;;;NP;Subj;core;NA;subject;;;
435837;40271;-1;Exodus;21;18;NPL;qal;NPL ;WNPL LMCKB00 ;;;;;;;;;;;
435837;40271;676521;Exodus;21;18;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
435837;40271;676522;Exodus;21;18;NPL;qal;;NPL ;phrase;;;VP;Pred;core;regular;NA;;;
435837;40271;676523;Exodus;21;18;NPL;qal;;LMCKB00 ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
435869;40406;-1;Exodus;21;27;NPL;hif;JPJL ;W>M&CN <BDW >W&CN >MTW JPJL ;;;;;;;;;;;
435869;40406;676614;Exodus;21;27;NPL;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
435869;40406;676615;Exodus;21;27;NPL;hif;;>M&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
435869;40406;676616;Exodus;21;27;NPL;hif;;CN <BDW >W&CN >MTW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
435869;40406;676617;Exodus;21;27;NPL;hif;;JPJL ;phrase;;;VP;Pred;core;regular;NA;;;
435894;40522;-1;Exodus;21;33;NPL;qal;NPL&;WNPL&CMH CWR >W XMWR00 ;;;;;;;;;;;
435894;40522;676700;Exodus;21;33;NPL;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
435894;40522;676701;Exodus;21;33;NPL;qal;;NPL&;phrase;;;VP;Pred;core;regular;NA;;;
