cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
429368;9624;-1;Genesis;21;1;PQD;qal;PQD ;WJHWH PQD >T&FRH ;;;;;;;;;;;
429368;9624;657142;Genesis;21;1;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429368;9624;657143;Genesis;21;1;PQD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
429368;9624;657144;Genesis;21;1;PQD;qal;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
429368;9624;657145;Genesis;21;1;PQD;qal;;>T&FRH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431973;21479;-1;Genesis;39;4;PQD;hif;JPQDHW ;WJPQDHW <L&BJTW ;;;;;;;;;;;
431973;21479;664887;Genesis;39;4;PQD;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431973;21479;664888;Genesis;39;4;PQD;hif;;JPQDHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
431973;21479;664889;Genesis;39;4;PQD;hif;;<L&BJTW ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
431977;21493;-1;Genesis;39;5;PQD;hif;HPQJD ;M>Z HPQJD >TW BBJTW W<L KL&;;;;;;;;;;;
431977;21493;664898;Genesis;39;5;PQD;hif;;M>Z ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431977;21493;664899;Genesis;39;5;PQD;hif;;HPQJD ;phrase;;;VP;Pred;core;regular;NA;;;
431977;21493;664900;Genesis;39;5;PQD;hif;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431977;21493;664901;Genesis;39;5;PQD;hif;;BBJTW W<L KL&;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432077;21968;-1;Genesis;40;4;PQD;qal;JPQD ;WJPQD FR HVBXJM >T&JWSP >TM ;;;;;;;;;;;
432077;21968;665198;Genesis;40;4;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432077;21968;665199;Genesis;40;4;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
432077;21968;665200;Genesis;40;4;PQD;qal;;FR HVBXJM ;phrase;;;NP;Subj;core;NA;subject;;;
432077;21968;665201;Genesis;40;4;PQD;qal;;>T&JWSP ;phrase;;;PP;Objc;complement;NA;direct_object;;;
432077;21968;665202;Genesis;40;4;PQD;qal;;>TM ;phrase;;;PP;Cmpl;complement;NA;*;;;
432263;22962;-1;Genesis;41;34;PQD;hif;JPQD ;WJPQD PQDJM <L&H>RY ;;;;;;;;;;;
432263;22962;665778;Genesis;41;34;PQD;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432263;22962;665779;Genesis;41;34;PQD;hif;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
432263;22962;665780;Genesis;41;34;PQD;hif;;PQDJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432263;22962;665781;Genesis;41;34;PQD;hif;;<L&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
433536;28706;-1;Genesis;50;24;PQD;qal;PQD ;W>LHJM PQD JPQD >TKM ;;;;;;;;;;;
433536;28706;669518;Genesis;50;24;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433536;28706;669519;Genesis;50;24;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
433536;28706;669520;Genesis;50;24;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433536;28706;669521;Genesis;50;24;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
433536;28706;669522;Genesis;50;24;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433541;28737;-1;Genesis;50;25;PQD;qal;PQD ;PQD JPQD >LHJM >TKM ;;;;;;;;;;;
433541;28737;669536;Genesis;50;25;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433541;28737;669537;Genesis;50;25;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
433541;28737;669538;Genesis;50;25;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
433541;28737;669539;Genesis;50;25;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433818;30009;-1;Exodus;3;16;PQD;qal;PQD ;PQD PQDTJ >TKM ;;;;;;;;;;;
433818;30009;670342;Exodus;3;16;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433818;30009;670343;Exodus;3;16;PQD;qal;;PQDTJ ;phrase;;;VP;Pred;core;regular;NA;;;
433818;30009;670344;Exodus;3;16;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433996;30794;-1;Exodus;4;31;PQD;qal;PQD ;KJ&PQD JHWH >T&BNJ JFR>L ;;;;;;;;;;;
433996;30794;670868;Exodus;4;31;PQD;qal;;KJ&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433996;30794;670869;Exodus;4;31;PQD;qal;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
433996;30794;670870;Exodus;4;31;PQD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
433996;30794;670871;Exodus;4;31;PQD;qal;;>T&BNJ JFR>L ;phrase;;;PP;Objc;complement;NA;direct_object;;;
434995;36168;-1;Exodus;13;19;PQD;qal;PQD ;PQD JPQD >LHJM >TKM ;;;;;;;;;;;
434995;36168;673972;Exodus;13;19;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
434995;36168;673973;Exodus;13;19;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
434995;36168;673974;Exodus;13;19;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
434995;36168;673975;Exodus;13;19;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
435715;39667;-1;Exodus;20;5;PQD;qal;PQD ;PQD <WN >BT <L&BNJM ;;;;;;;;;;;
435715;39667;676139;Exodus;20;5;PQD;qal;;PQD ;phrase;;;VP;PreC;core;regular;NA;;;
435715;39667;676140;Exodus;20;5;PQD;qal;;<WN >BT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
435715;39667;676141;Exodus;20;5;PQD;qal;;<L&BNJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
436748;45714;-1;Exodus;30;12;PQD;qal;PQDJHM ;KJ TF> >T&R>C BNJ&JFR>L LPQDJHM ;;;;;;;;;;;
436748;45714;679426;Exodus;30;12;PQD;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
436748;45714;679427;Exodus;30;12;PQD;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
436748;45714;679428;Exodus;30;12;PQD;qal;;>T&R>C BNJ&JFR>L ;phrase;;;PP;Objc;complement;NA;direct_object;;;
436748;45714;679429;Exodus;30;12;PQD;qal;;LPQDJHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
436751;45723;-1;Exodus;30;12;PQD;qal;PQD ;BPQD >TM ;;;;;;;;;;;
436751;45723;679435;Exodus;30;12;PQD;qal;;BPQD ;phrase;;;VP;Pred;core;regular;NA;;;
436751;45723;679436;Exodus;30;12;PQD;qal;;>TM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
436753;45731;-1;Exodus;30;12;PQD;qal;PQD ;BPQD >TM00 ;;;;;;;;;;;
436753;45731;679442;Exodus;30;12;PQD;qal;;BPQD ;phrase;;;VP;Pred;core;regular;NA;;;
436753;45731;679443;Exodus;30;12;PQD;qal;;>TM00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
436755;45740;-1;Exodus;30;13;PQD;qal;PQDJM ;H<BR <L&HPQDJM ;;;;;;;;;;;
436755;45740;679447;Exodus;30;13;PQD;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
436755;45740;679448;Exodus;30;13;PQD;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
436755;45740;679449;Exodus;30;13;PQD;qal;;<L&HPQDJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
436759;45763;-1;Exodus;30;14;PQD;qal;PQDJM ;H<BR <L&HPQDJM ;;;;;;;;;;;
436759;45763;679456;Exodus;30;14;PQD;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
436759;45763;679457;Exodus;30;14;PQD;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
436759;45763;679458;Exodus;30;14;PQD;qal;;<L&HPQDJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
437066;47249;-1;Exodus;32;34;PQD;qal;PQDJ ;WBJWM PQDJ ;;;;;;;;;;;
437066;47249;680317;Exodus;32;34;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
437066;47249;680318;Exodus;32;34;PQD;qal;;BJWM PQDJ ;phrase;;;PP;Frnt;NA;NA;NA;;NA;NA
437067;47251;-1;Exodus;32;34;PQD;qal;PQDTJ ;WPQDTJ <LJHM XV>TM00 ;;;;;;;;;;;
437067;47251;680319;Exodus;32;34;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
437067;47251;680320;Exodus;32;34;PQD;qal;;PQDTJ ;phrase;;;VP;Pred;core;regular;NA;;;
437067;47251;680321;Exodus;32;34;PQD;qal;;<LJHM ;phrase;;;PP;Cmpl;complement;NA;*;;;
437067;47251;680322;Exodus;32;34;PQD;qal;;XV>TM00 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
437211;47926;-1;Exodus;34;7;PQD;qal;PQD05 ;PQD05 <WN >BWT <L&BNJM W<L&BNJ BNJM <L&CLCJM W<L&RB<JM00 ;;;;;;;;;;;
437211;47926;680748;Exodus;34;7;PQD;qal;;PQD05 ;phrase;;;VP;PreC;core;regular;NA;;;
437211;47926;680749;Exodus;34;7;PQD;qal;;<WN >BWT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
437211;47926;680750;Exodus;34;7;PQD;qal;;<L&BNJM W<L&BNJ BNJM <L&CLCJM W<L&RB<JM00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
437645;50790;-1;Exodus;38;21;PQD;qal;PQWDJ ;>LH PQWDJ HMCKN MCKN H<DT ;;;;;;;;;;;
437645;50790;682071;Exodus;38;21;PQD;qal;;>LH ;phrase;;;DPrP;Subj;core;NA;subject;;;
437645;50790;682072;Exodus;38;21;PQD;qal;;PQWDJ HMCKN MCKN H<DT ;phrase;;;NP;PreC;core;regular;NA;;;
437646;50797;-1;Exodus;38;21;PQD;pual;PQD ;>CR PQD <L&PJ MCH <BDT HLWJM BJD >JTMR BN&>HRN HKHN00 ;;;;;;;;;;;
437646;50797;682073;Exodus;38;21;PQD;pual;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
437646;50797;682074;Exodus;38;21;PQD;pual;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
437646;50797;682075;Exodus;38;21;PQD;pual;;<L&PJ MCH ;phrase;;;PP;Cmpl;complement;NA;*;;;
437646;50797;682076;Exodus;38;21;PQD;pual;;<BDT HLWJM ;phrase;;;NP;Subj;core;NA;subject;;;
437646;50797;682077;Exodus;38;21;PQD;pual;;BJD >JTMR BN&>HRN HKHN00 ;phrase;;;PP;Adju;adjunct;NA;NA;;;
437653;50891;-1;Exodus;38;25;PQD;qal;PQWDJ ;WKSP PQWDJ H<DH M>T KKR W>LP WCB< M>WT WXMCH WCB<JM CQL BCQL HQDC00 ;;;;;;;;;;;
437653;50891;682099;Exodus;38;25;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
437653;50891;682100;Exodus;38;25;PQD;qal;;KSP PQWDJ H<DH ;phrase;;;NP;Subj;core;NA;subject;;;
437653;50891;682101;Exodus;38;25;PQD;qal;;M>T KKR W>LP WCB< M>WT WXMCH WCB<JM CQL ;phrase;;;NP;PreC;core;regular;NA;;;
437653;50891;682102;Exodus;38;25;PQD;qal;;BCQL HQDC00 ;phrase;;;PP;Adju;adjunct;NA;NA;;;
437656;50927;-1;Exodus;38;26;PQD;qal;PQDJM ;H<BR <L&HPQDJM MBN <FRJM CNH WM<LH ;;;;;;;;;;;
437656;50927;682106;Exodus;38;26;PQD;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
437656;50927;682107;Exodus;38;26;PQD;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
437656;50927;682108;Exodus;38;26;PQD;qal;;<L&HPQDJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
437656;50927;682109;Exodus;38;26;PQD;qal;;MBN <FRJM CNH WM<LH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
438267;54824;-1;Leviticus;5;23;PQD;hof;HPQD ;>CR HPQD >TW ;;;;;;;;;;;
438267;54824;684061;Leviticus;5;23;PQD;hof;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
438267;54824;684062;Leviticus;5;23;PQD;hof;;HPQD ;phrase;;;VP;Pred;core;regular;NA;;;
438267;54824;684063;Leviticus;5;23;PQD;hof;;>TW ;phrase;;;PP;Cmpl;complement;NA;*;;;
439801;63712;-1;Leviticus;18;25;PQD;qal;>PQD ;W>PQD <WNH <LJH ;;;;;;;;;;;
439801;63712;688798;Leviticus;18;25;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
439801;63712;688799;Leviticus;18;25;PQD;qal;;>PQD ;phrase;;;VP;Pred;core;regular;NA;;;
439801;63712;688800;Leviticus;18;25;PQD;qal;;<WNH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
439801;63712;688801;Leviticus;18;25;PQD;qal;;<LJH ;phrase;;;PP;Cmpl;complement;NA;*;;;
440714;68394;-1;Leviticus;26;16;PQD;hif;HPQDTJ ;WHPQDTJ <LJKM BHLH >T&HCXPT W>T&HQDXT ;;;;;;;;;;;
440714;68394;691612;Leviticus;26;16;PQD;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
440714;68394;691613;Leviticus;26;16;PQD;hif;;HPQDTJ ;phrase;;;VP;Pred;core;regular;NA;;;
440714;68394;691614;Leviticus;26;16;PQD;hif;;<LJKM ;phrase;;;PP;Cmpl;complement;NA;*;;;
440714;68394;691615;Leviticus;26;16;PQD;hif;;BHLH >T&HCXPT W>T&HQDXT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
440954;69672;-1;Numbers;1;3;PQD;qal;TPQDW ;TPQDW >TM LYB>TM >TH W>HRN00 ;;;;;;;;;;;
440954;69672;692424;Numbers;1;3;PQD;qal;;TPQDW ;phrase;;;VP;Pred;core;regular;NA;;;
440954;69672;692425;Numbers;1;3;PQD;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
440954;69672;692426;Numbers;1;3;PQD;qal;;LYB>TM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
440954;69672;692427;Numbers;1;3;PQD;qal;;>TH W>HRN00 ;phrase;;;PPrP;Subj;core;NA;subject;;;
440980;69827;-1;Numbers;1;19;PQD;qal;JPQDM ;WJPQDM BMDBR SJNJ00_P ;;;;;;;;;;;
440980;69827;692488;Numbers;1;19;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
440980;69827;692489;Numbers;1;19;PQD;qal;;JPQDM ;phrase;;;VP;PreO;core;regular;direct_object;;;
440980;69827;692490;Numbers;1;19;PQD;qal;;BMDBR SJNJ00_P ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
440982;69859;-1;Numbers;1;21;PQD;qal;PQDJHM ;PQDJHM LMVH R>WBN CCH W>RB<JM >LP WXMC M>WT00_P ;;;;;;;;;;;
440982;69859;692494;Numbers;1;21;PQD;qal;;PQDJHM LMVH R>WBN ;phrase;;;NP;Subj;core;NA;subject;;;
440982;69859;692495;Numbers;1;21;PQD;qal;;CCH W>RB<JM >LP WXMC M>WT00_P ;phrase;;;NP;PreC;core;regular;NA;;;
440984;69879;-1;Numbers;1;22;PQD;qal;PQDJW ;TWLDTM LMCPXTM LBJT >BTM PQDJW BMSPR CMWT LGLGLTM KL&ZKR MBN <FRJM CNH WM<LH KL JY> YB>00 ;;;;;;;;;;;
440984;69879;692497;Numbers;1;22;PQD;qal;;TWLDTM LMCPXTM LBJT >BTM PQDJW BMSPR CMWT LGLGLTM KL&ZKR MBN <FRJM CNH WM<LH KL JY> YB>00 ;phrase;;;NP;Subj;core;NA;subject;;;
440985;69896;-1;Numbers;1;23;PQD;qal;PQDJHM ;PQDJHM LMVH CM<WN TC<H WXMCJM >LP WCLC M>WT00_P ;;;;;;;;;;;
440985;69896;692498;Numbers;1;23;PQD;qal;;PQDJHM LMVH CM<WN ;phrase;;;NP;Subj;core;NA;subject;;;
440985;69896;692499;Numbers;1;23;PQD;qal;;TC<H WXMCJM >LP WCLC M>WT00_P ;phrase;;;NP;PreC;core;regular;NA;;;
440988;69928;-1;Numbers;1;25;PQD;qal;PQDJHM ;PQDJHM LMVH GD XMCH W>RB<JM >LP WCC M>WT WXMCJM00_P ;;;;;;;;;;;
440988;69928;692502;Numbers;1;25;PQD;qal;;PQDJHM LMVH GD ;phrase;;;NP;Subj;core;NA;subject;;;
440988;69928;692503;Numbers;1;25;PQD;qal;;XMCH W>RB<JM >LP WCC M>WT WXMCJM00_P ;phrase;;;NP;PreC;core;regular;NA;;;
440991;69962;-1;Numbers;1;27;PQD;qal;PQDJHM ;PQDJHM LMVH JHWDH >RB<H WCB<JM >LP WCC M>WT00_P ;;;;;;;;;;;
440991;69962;692506;Numbers;1;27;PQD;qal;;PQDJHM LMVH JHWDH ;phrase;;;NP;Subj;core;NA;subject;;;
440991;69962;692507;Numbers;1;27;PQD;qal;;>RB<H WCB<JM >LP WCC M>WT00_P ;phrase;;;NP;PreC;core;regular;NA;;;
440994;69994;-1;Numbers;1;29;PQD;qal;PQDJHM ;PQDJHM LMVH JFFKR >RB<H WXMCJM >LP W>RB< M>WT00_P ;;;;;;;;;;;
440994;69994;692510;Numbers;1;29;PQD;qal;;PQDJHM LMVH JFFKR ;phrase;;;NP;Subj;core;NA;subject;;;
440994;69994;692511;Numbers;1;29;PQD;qal;;>RB<H WXMCJM >LP W>RB< M>WT00_P ;phrase;;;NP;PreC;core;regular;NA;;;
440997;70026;-1;Numbers;1;31;PQD;qal;PQDJHM ;PQDJHM LMVH ZBWLN CB<H WXMCJM >LP W>RB< M>WT00_P ;;;;;;;;;;;
440997;70026;692514;Numbers;1;31;PQD;qal;;PQDJHM LMVH ZBWLN ;phrase;;;NP;Subj;core;NA;subject;;;
440997;70026;692515;Numbers;1;31;PQD;qal;;CB<H WXMCJM >LP W>RB< M>WT00_P ;phrase;;;NP;PreC;core;regular;NA;;;
441001;70061;-1;Numbers;1;33;PQD;qal;PQDJHM ;PQDJHM LMVH >PRJM >RB<JM >LP WXMC M>WT00_P ;;;;;;;;;;;
