cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427569;59;-1;Genesis;1;5;QR>;qal;JQR> ;WJQR> >LHJM05 L>WR JWM ;;;;;;;;;;;
427569;59;651606;Genesis;1;5;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427569;59;651607;Genesis;1;5;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427569;59;651608;Genesis;1;5;QR>;qal;;>LHJM05 ;phrase;;;NP;Subj;core;NA;subject;;;
427569;59;651609;Genesis;1;5;QR>;qal;;L>WR ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427569;59;651610;Genesis;1;5;QR>;qal;;JWM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427570;69;-1;Genesis;1;5;QR>;qal;QR> ;WLXCK QR> LJLH ;;;;;;;;;;;
427570;69;651611;Genesis;1;5;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427570;69;651612;Genesis;1;5;QR>;qal;;LXCK ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427570;69;651613;Genesis;1;5;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
427570;69;651614;Genesis;1;5;QR>;qal;;LJLH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427582;126;-1;Genesis;1;8;QR>;qal;JQR> ;WJQR> >LHJM LRQJ< CMJM ;;;;;;;;;;;
427582;126;651646;Genesis;1;8;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427582;126;651647;Genesis;1;8;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427582;126;651648;Genesis;1;8;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427582;126;651649;Genesis;1;8;QR>;qal;;LRQJ< ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427582;126;651650;Genesis;1;8;QR>;qal;;CMJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427590;161;-1;Genesis;1;10;QR>;qal;JQR> ;WJQR> >LHJM05 LJBCH >RY ;;;;;;;;;;;
427590;161;651670;Genesis;1;10;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427590;161;651671;Genesis;1;10;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427590;161;651672;Genesis;1;10;QR>;qal;;>LHJM05 ;phrase;;;NP;Subj;core;NA;subject;;;
427590;161;651673;Genesis;1;10;QR>;qal;;LJBCH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427590;161;651674;Genesis;1;10;QR>;qal;;>RY ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427591;172;-1;Genesis;1;10;QR>;qal;QR> ;WLMQWH HMJM QR> JMJM ;;;;;;;;;;;
427591;172;651675;Genesis;1;10;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427591;172;651676;Genesis;1;10;QR>;qal;;LMQWH HMJM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427591;172;651677;Genesis;1;10;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
427591;172;651678;Genesis;1;10;QR>;qal;;JMJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427753;1037;-1;Genesis;2;19;QR>;qal;JQR>&;MH&JQR>&LW ;;;;;;;;;;;
427753;1037;652145;Genesis;2;19;QR>;qal;;MH&;phrase;;;IPrP;Objc;complement;NA;direct_object;;;
427753;1037;652146;Genesis;2;19;QR>;qal;;JQR>&;phrase;;;VP;Pred;core;regular;NA;;;
427753;1037;652147;Genesis;2;19;QR>;qal;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427755;1042;-1;Genesis;2;19;QR>;qal;JQR>&;>CR JQR>&LW H>DM NPC XJH ;;;;;;;;;;;
427755;1042;652150;Genesis;2;19;QR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427755;1042;652151;Genesis;2;19;QR>;qal;;JQR>&;phrase;;;VP;Pred;core;regular;NA;;;
427755;1042;652152;Genesis;2;19;QR>;qal;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427755;1042;652153;Genesis;2;19;QR>;qal;;H>DM ;phrase;;;NP;Subj;core;NA;subject;;;
427755;1042;652154;Genesis;2;19;QR>;qal;;NPC XJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427757;1051;-1;Genesis;2;20;QR>;qal;JQR> ;WJQR> H>DM CMWT LKL&HBHMH WL<WP HCMJM WLKL XJT HFDH ;;;;;;;;;;;
427757;1051;652157;Genesis;2;20;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427757;1051;652158;Genesis;2;20;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427757;1051;652159;Genesis;2;20;QR>;qal;;H>DM ;phrase;;;NP;Subj;core;NA;subject;;;
427757;1051;652160;Genesis;2;20;QR>;qal;;CMWT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427757;1051;652161;Genesis;2;20;QR>;qal;;LKL&HBHMH WL<WP HCMJM WLKL XJT HFDH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427768;1132;-1;Genesis;2;23;QR>;nif;JQR> ;LZ>T JQR> >CH ;;;;;;;;;;;
427768;1132;652198;Genesis;2;23;QR>;nif;;LZ>T ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427768;1132;652199;Genesis;2;23;QR>;nif;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427768;1132;652200;Genesis;2;23;QR>;nif;;>CH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427813;1345;-1;Genesis;3;9;QR>;qal;JQR> ;WJQR> JHWH >LHJM >L&H>DM ;;;;;;;;;;;
427813;1345;652335;Genesis;3;9;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427813;1345;652336;Genesis;3;9;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427813;1345;652337;Genesis;3;9;QR>;qal;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427813;1345;652338;Genesis;3;9;QR>;qal;;>L&H>DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427865;1563;-1;Genesis;3;20;QR>;qal;JQR> ;WJQR> H>DM CM >CTW XWH ;;;;;;;;;;;
427865;1563;652480;Genesis;3;20;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427865;1563;652481;Genesis;3;20;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427865;1563;652482;Genesis;3;20;QR>;qal;;H>DM ;phrase;;;NP;Subj;core;NA;subject;;;
427865;1563;652483;Genesis;3;20;QR>;qal;;CM >CTW ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427865;1563;652484;Genesis;3;20;QR>;qal;;XWH ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
427951;1959;-1;Genesis;4;17;QR>;qal;JQR> ;WJQR> CM H<JR KCM BNW XNWK00 ;;;;;;;;;;;
427951;1959;652742;Genesis;4;17;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427951;1959;652743;Genesis;4;17;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427951;1959;652744;Genesis;4;17;QR>;qal;;CM H<JR ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427951;1959;652745;Genesis;4;17;QR>;qal;;KCM BNW XNWK00 ;phrase;;;PP;Cmpl;complement;NA;K_object;*;;
427976;2086;-1;Genesis;4;25;QR>;qal;TQR> ;WTQR> >T&CMW CT ;;;;;;;;;;;
427976;2086;652824;Genesis;4;25;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427976;2086;652825;Genesis;4;25;QR>;qal;;TQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427976;2086;652826;Genesis;4;25;QR>;qal;;>T&CMW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427976;2086;652827;Genesis;4;25;QR>;qal;;CT ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
427980;2109;-1;Genesis;4;26;QR>;qal;JQR> ;WJQR> >T&CMW >NWC ;;;;;;;;;;;
427980;2109;652841;Genesis;4;26;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427980;2109;652842;Genesis;4;26;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427980;2109;652843;Genesis;4;26;QR>;qal;;>T&CMW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427980;2109;652844;Genesis;4;26;QR>;qal;;>NWC ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
427982;2116;-1;Genesis;4;26;QR>;qal;QR> ;LQR> BCM JHWH00_P ;;;;;;;;;;;
427982;2116;652847;Genesis;4;26;QR>;qal;;LQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427982;2116;652848;Genesis;4;26;QR>;qal;;BCM JHWH00_P ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427988;2142;-1;Genesis;5;2;QR>;qal;JQR> ;WJQR> >T&CMM >DM BJWM ;;;;;;;;;;;
427988;2142;652863;Genesis;5;2;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427988;2142;652864;Genesis;5;2;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427988;2142;652865;Genesis;5;2;QR>;qal;;>T&CMM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427988;2142;652866;Genesis;5;2;QR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;NP_direct_object;;;
427988;2142;652867;Genesis;5;2;QR>;qal;;BJWM ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427992;2163;-1;Genesis;5;3;QR>;qal;JQR> ;WJQR> >T&CMW CT00 ;;;;;;;;;;;
427992;2163;652877;Genesis;5;3;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427992;2163;652878;Genesis;5;3;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427992;2163;652879;Genesis;5;3;QR>;qal;;>T&CMW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427992;2163;652880;Genesis;5;3;QR>;qal;;CT00 ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
428052;2529;-1;Genesis;5;29;QR>;qal;JQR> ;WJQR> >T&CMW NX ;;;;;;;;;;;
428052;2529;653068;Genesis;5;29;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428052;2529;653069;Genesis;5;29;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428052;2529;653070;Genesis;5;29;QR>;qal;;>T&CMW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428052;2529;653071;Genesis;5;29;QR>;qal;;NX ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
428052;2529;428053;Genesis;5;29;QR>;qal;;L>MR ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428449;5116;-1;Genesis;11;9;QR>;qal;QR> ;<L&KN QR> CMH BBL ;;;;;;;;;;;
428449;5116;654335;Genesis;11;9;QR>;qal;;<L&KN ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428449;5116;654336;Genesis;11;9;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
428449;5116;654337;Genesis;11;9;QR>;qal;;CMH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
428449;5116;654338;Genesis;11;9;QR>;qal;;BBL ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
428544;5661;-1;Genesis;12;8;QR>;qal;JQR> ;WJQR> BCM JHWH00 ;;;;;;;;;;;
428544;5661;654647;Genesis;12;8;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428544;5661;654648;Genesis;12;8;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428544;5661;654649;Genesis;12;8;QR>;qal;;BCM JHWH00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428576;5816;-1;Genesis;12;18;QR>;qal;JQR> ;WJQR> PR<H L>BRM ;;;;;;;;;;;
428576;5816;654751;Genesis;12;18;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428576;5816;654752;Genesis;12;18;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428576;5816;654753;Genesis;12;18;QR>;qal;;PR<H ;phrase;;;NP;Subj;core;NA;subject;;;
428576;5816;654754;Genesis;12;18;QR>;qal;;L>BRM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
428599;5933;-1;Genesis;13;4;QR>;qal;JQR> ;WJQR> CM >BRM BCM JHWH00 ;;;;;;;;;;;
428599;5933;654824;Genesis;13;4;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428599;5933;654825;Genesis;13;4;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428599;5933;654826;Genesis;13;4;QR>;qal;;CM ;phrase;;;AdvP;Loca;adjunct;NA;NA;;location;location
428599;5933;654827;Genesis;13;4;QR>;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428599;5933;654828;Genesis;13;4;QR>;qal;;BCM JHWH00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428700;6536;-1;Genesis;14;17;QR>;qal;QR>TW ;LQR>TW ;;;;;;;;;;;
428700;6536;655136;Genesis;14;17;QR>;qal;;LQR>TW ;phrase;;;VP;PreO;core;regular;direct_object;;;
428774;6842;-1;Genesis;15;10;QR>;qal;QR>T ;LQR>T R<HW ;;;;;;;;;;;
428774;6842;655338;Genesis;15;10;QR>;qal;;LQR>T ;phrase;;;VP;Pred;core;regular;NA;;;
428774;6842;655339;Genesis;15;10;QR>;qal;;R<HW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428852;7235;-1;Genesis;16;11;QR>;qal;QR>T ;WQR>T CMW JCM<>L ;;;;;;;;;;;
428852;7235;655580;Genesis;16;11;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428852;7235;655581;Genesis;16;11;QR>;qal;;QR>T ;phrase;;;VP;Pred;core;regular;NA;;;
428852;7235;655582;Genesis;16;11;QR>;qal;;CMW ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
428852;7235;655583;Genesis;16;11;QR>;qal;;JCM<>L ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
428858;7263;-1;Genesis;16;13;QR>;qal;TQR> ;WTQR> CM&JHWH ;;;;;;;;;;;
428858;7263;655600;Genesis;16;13;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428858;7263;655601;Genesis;16;13;QR>;qal;;TQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428858;7263;655602;Genesis;16;13;QR>;qal;;CM&JHWH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428864;7282;-1;Genesis;16;14;QR>;qal;QR> ;<L&KN QR> LB>R B>R LXJ_R>J ;;;;;;;;;;;
428864;7282;655614;Genesis;16;14;QR>;qal;;<L&KN ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428864;7282;655615;Genesis;16;14;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
428864;7282;655616;Genesis;16;14;QR>;qal;;LB>R ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
428864;7282;655617;Genesis;16;14;QR>;qal;;B>R LXJ_R>J ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
428867;7301;-1;Genesis;16;15;QR>;qal;JQR> ;WJQR> >BRM CM&BNW JCM<>L00 ;;;;;;;;;;;
428867;7301;655625;Genesis;16;15;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428867;7301;655626;Genesis;16;15;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428867;7301;655627;Genesis;16;15;QR>;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428867;7301;655628;Genesis;16;15;QR>;qal;;CM&BNW ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
428867;7301;655632;Genesis;16;15;QR>;qal;;JCM<>L00 ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
428885;7385;-1;Genesis;17;5;QR>;nif;JQR> ;WL>&JQR> <WD >T&CMK >BRM ;;;;;;;;;;;
428885;7385;655682;Genesis;17;5;QR>;nif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428885;7385;655683;Genesis;17;5;QR>;nif;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428885;7385;655684;Genesis;17;5;QR>;nif;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428885;7385;655685;Genesis;17;5;QR>;nif;;<WD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428885;7385;655686;Genesis;17;5;QR>;nif;;>T&CMK ;phrase;;;PP;Subj;core;NA;subject;;;
428885;7385;655687;Genesis;17;5;QR>;nif;;>BRM ;phrase;;;PrNP;Objc;complement;NA;direct_object;;;
428912;7571;-1;Genesis;17;15;QR>;qal;TQR> ;L>&TQR> >T&CMH FRJ ;;;;;;;;;;;
428912;7571;655780;Genesis;17;15;QR>;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428912;7571;655781;Genesis;17;15;QR>;qal;;TQR> ;phrase;;;VP;Pred;core;regular;NA;;;
428912;7571;655782;Genesis;17;15;QR>;qal;;>T&CMH ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428912;7571;655783;Genesis;17;15;QR>;qal;;FRJ ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
