cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428233;3821;-1;Genesis;8;13;SWR;hif;JSR ;WJSR NX >T&MKSH HTBH ;;;;;;;;;;;
428233;3821;653690;Genesis;8;13;SWR;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428233;3821;653691;Genesis;8;13;SWR;hif;;JSR ;phrase;;;VP;Pred;core;regular;NA;;;
428233;3821;653692;Genesis;8;13;SWR;hif;;NX ;phrase;;;PrNP;Subj;core;NA;subject;;;
428233;3821;653693;Genesis;8;13;SWR;hif;;>T&MKSH HTBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429112;8455;-1;Genesis;19;2;SWR;qal;SWRW ;SWRW N> >L&BJT <BDKM ;;;;;;;;;;;
429112;8455;656375;Genesis;19;2;SWR;qal;;SWRW ;phrase;;;VP;Pred;core;regular;NA;;;
429112;8455;656376;Genesis;19;2;SWR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
429112;8455;656377;Genesis;19;2;SWR;qal;;>L&BJT <BDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
429121;8484;-1;Genesis;19;3;SWR;qal;JSRW ;WJSRW >LJW ;;;;;;;;;;;
429121;8484;656398;Genesis;19;3;SWR;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429121;8484;656399;Genesis;19;3;SWR;qal;;JSRW ;phrase;;;VP;Pred;core;regular;NA;;;
429121;8484;656400;Genesis;19;3;SWR;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
430811;16098;-1;Genesis;30;32;SWR;hif;HSR ;HSR MCM KL&FH05 NQD WVLW> WKL&FH&XWM BKFBJM WVLW> WNQD B<ZJM ;;;;;;;;;;;
430811;16098;661465;Genesis;30;32;SWR;hif;;HSR ;phrase;;;VP;Pred;core;regular;NA;;;
430811;16098;661466;Genesis;30;32;SWR;hif;;MCM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430811;16098;661467;Genesis;30;32;SWR;hif;;KL&FH05 NQD WVLW> WKL&FH&XWM BKFBJM WVLW> WNQD B<ZJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
430821;16162;-1;Genesis;30;35;SWR;hif;JSR ;WJSR BJWM HHW> >T&HTJCJM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BKFBJM ;;;;;;;;;;;
430821;16162;661494;Genesis;30;35;SWR;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430821;16162;661495;Genesis;30;35;SWR;hif;;JSR ;phrase;;;VP;Pred;core;regular;NA;;;
430821;16162;661496;Genesis;30;35;SWR;hif;;BJWM HHW> ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
430821;16162;661497;Genesis;30;35;SWR;hif;;>T&HTJCJM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BKFBJM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431437;19082;-1;Genesis;35;2;SWR;hif;HSRW ;HSRW >T&>LHJ HNKR ;;;;;;;;;;;
431437;19082;663331;Genesis;35;2;SWR;hif;;HSRW ;phrase;;;VP;Pred;core;regular;NA;;;
431437;19082;663332;Genesis;35;2;SWR;hif;;>T&>LHJ HNKR ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431857;21063;-1;Genesis;38;14;SWR;hif;TSR ;WTSR BGDJ >LMNWTH M<LJH ;;;;;;;;;;;
431857;21063;664573;Genesis;38;14;SWR;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431857;21063;664574;Genesis;38;14;SWR;hif;;TSR ;phrase;;;VP;Pred;core;regular;NA;;;
431857;21063;664575;Genesis;38;14;SWR;hif;;BGDJ >LMNWTH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
431857;21063;664576;Genesis;38;14;SWR;hif;;M<LJH ;phrase;;;PP;Cmpl;complement;NA;*;;;
431893;21180;-1;Genesis;38;19;SWR;hif;TSR ;WTSR Y<JPH M<LJH ;;;;;;;;;;;
431893;21180;664668;Genesis;38;19;SWR;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431893;21180;664669;Genesis;38;19;SWR;hif;;TSR ;phrase;;;VP;Pred;core;regular;NA;;;
