cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428196;3565;-1;Genesis;8;1;<BR;hif;J<BR ;WJ<BR >LHJM RWX <L&H>RY ;;;;;;;;;;;
428196;3565;653555;Genesis;8;1;<BR;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428196;3565;653556;Genesis;8;1;<BR;hif;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428196;3565;653557;Genesis;8;1;<BR;hif;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
428196;3565;653558;Genesis;8;1;<BR;hif;;RWX ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428196;3565;653559;Genesis;8;1;<BR;hif;;<L&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428526;5591;-1;Genesis;12;6;<BR;qal;J<BR ;WJ<BR >BRM B>RY <D MQWM CKM <D >LWN MWRH ;;;;;;;;;;;
428526;5591;654598;Genesis;12;6;<BR;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428526;5591;654599;Genesis;12;6;<BR;qal;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428526;5591;654600;Genesis;12;6;<BR;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428526;5591;654601;Genesis;12;6;<BR;qal;;B>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428526;5591;654602;Genesis;12;6;<BR;qal;;<D MQWM CKM <D >LWN MWRH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428793;6957;-1;Genesis;15;17;<BR;qal;<BR ;>CR <BR BJN HGZRJM H>LH00 ;;;;;;;;;;;
428793;6957;655413;Genesis;15;17;<BR;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428793;6957;655414;Genesis;15;17;<BR;qal;;<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428793;6957;655415;Genesis;15;17;<BR;qal;;BJN HGZRJM H>LH00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428958;7853;-1;Genesis;18;3;<BR;qal;T<BR ;>L&N> T<BR M<L <BDK00 ;;;;;;;;;;;
428958;7853;655944;Genesis;18;3;<BR;qal;;>L&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428958;7853;655945;Genesis;18;3;<BR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428958;7853;655946;Genesis;18;3;<BR;qal;;T<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428958;7853;655947;Genesis;18;3;<BR;qal;;M<L <BDK00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
428964;7877;-1;Genesis;18;5;<BR;qal;T<BRW ;>XR T<BRW ;;;;;;;;;;;
428964;7877;655963;Genesis;18;5;<BR;qal;;>XR ;phrase;;;AdvP;Time;adjunct;NA;NA;;time;time
428964;7877;655964;Genesis;18;5;<BR;qal;;T<BRW ;phrase;;;VP;Pred;core;regular;NA;;;
428965;7881;-1;Genesis;18;5;<BR;qal;<BRTM ;KJ&<L&KN <BRTM <L&<BDKM ;;;;;;;;;;;
428965;7881;655965;Genesis;18;5;<BR;qal;;KJ&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428965;7881;655966;Genesis;18;5;<BR;qal;;<L&KN ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428965;7881;655967;Genesis;18;5;<BR;qal;;<BRTM ;phrase;;;VP;Pred;core;regular;NA;;;
428965;7881;655968;Genesis;18;5;<BR;qal;;<L&<BDKM ;phrase;;;PP;Cmpl;complement;NA;*;;;
429649;11020;-1;Genesis;23;16;<BR;qal;<BR ;<BR LSXR00 ;;;;;;;;;;;
429649;11020;658009;Genesis;23;16;<BR;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
429649;11020;658010;Genesis;23;16;<BR;qal;;LSXR00 ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
430810;16092;-1;Genesis;30;32;<BR;qal;><BR ;><BR BKL&Y>NK HJWM ;;;;;;;;;;;
430810;16092;661462;Genesis;30;32;<BR;qal;;><BR ;phrase;;;VP;Pred;core;regular;NA;;;
430810;16092;661463;Genesis;30;32;<BR;qal;;BKL&Y>NK ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430810;16092;661464;Genesis;30;32;<BR;qal;;HJWM ;phrase;;;NP;Time;adjunct;NA;NA;;time;time
430937;16753;-1;Genesis;31;21;<BR;qal;J<BR ;WJ<BR >T&HNHR ;;;;;;;;;;;
430937;16753;661852;Genesis;31;21;<BR;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430937;16753;661853;Genesis;31;21;<BR;qal;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
430937;16753;661854;Genesis;31;21;<BR;qal;;>T&HNHR ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431076;17367;-1;Genesis;31;52;<BR;qal;><BR ;>M&>NJ L>&><BR >LJK >T&HGL HZH ;;;;;;;;;;;
431076;17367;662266;Genesis;31;52;<BR;qal;;>M&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431076;17367;662267;Genesis;31;52;<BR;qal;;>NJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
431076;17367;662268;Genesis;31;52;<BR;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
431076;17367;662269;Genesis;31;52;<BR;qal;;><BR ;phrase;;;VP;Pred;core;regular;NA;;;
431076;17367;662270;Genesis;31;52;<BR;qal;;>LJK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
431076;17367;662271;Genesis;31;52;<BR;qal;;>T&HGL HZH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431077;17378;-1;Genesis;31;52;<BR;qal;T<BR ;W>M&>TH L>&T<BR >LJ >T&HGL HZH W>T&HMYBH HZ>T LR<H00 ;;;;;;;;;;;
431077;17378;662272;Genesis;31;52;<BR;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431077;17378;662273;Genesis;31;52;<BR;qal;;>M&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431077;17378;662274;Genesis;31;52;<BR;qal;;>TH ;phrase;;;PPrP;Subj;core;NA;subject;;;
431077;17378;662275;Genesis;31;52;<BR;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
431077;17378;662276;Genesis;31;52;<BR;qal;;T<BR ;phrase;;;VP;Pred;core;regular;NA;;;
431077;17378;662277;Genesis;31;52;<BR;qal;;>LJ ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
431077;17378;662278;Genesis;31;52;<BR;qal;;>T&HGL HZH W>T&HMYBH HZ>T ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431077;17378;662279;Genesis;31;52;<BR;qal;;LR<H00 ;phrase;;;PP;Adju;adjunct;NA;NA;;;
431128;17649;-1;Genesis;32;11;<BR;qal;<BRTJ ;KJ BMQLJ <BRTJ >T&HJRDN HZH ;;;;;;;;;;;
431128;17649;662426;Genesis;32;11;<BR;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431128;17649;662427;Genesis;32;11;<BR;qal;;BMQLJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
431128;17649;662428;Genesis;32;11;<BR;qal;;<BRTJ ;phrase;;;VP;Pred;core;regular;NA;;;
431128;17649;662429;Genesis;32;11;<BR;qal;;>T&HJRDN HZH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431145;17756;-1;Genesis;32;17;<BR;qal;<BRW ;<BRW LPNJ ;;;;;;;;;;;
431145;17756;662481;Genesis;32;17;<BR;qal;;<BRW ;phrase;;;VP;Pred;core;regular;NA;;;
