cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427577;96;-1;Genesis;1;7;<FH;qal;J<F ;WJ<F >LHJM >T&HRQJ< ;;;;;;;;;;;
427577;96;651632;Genesis;1;7;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427577;96;651633;Genesis;1;7;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427577;96;651634;Genesis;1;7;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427577;96;651635;Genesis;1;7;<FH;qal;;>T&HRQJ< ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427597;191;-1;Genesis;1;11;<FH;qal;<FH ;<FH PRJ LMJNW <L&H>RY ;;;;;;;;;;;
427597;191;651692;Genesis;1;11;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427597;191;651693;Genesis;1;11;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427597;191;651694;Genesis;1;11;<FH;qal;;LMJNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427597;191;651698;Genesis;1;11;<FH;qal;;<L&H>RY ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
427602;216;-1;Genesis;1;12;<FH;qal;<FH ;<FH PRJ LMJNHW ;;;;;;;;;;;
427602;216;651709;Genesis;1;12;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427602;216;651710;Genesis;1;12;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427602;216;651714;Genesis;1;12;<FH;qal;;LMJNHW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427616;283;-1;Genesis;1;16;<FH;qal;J<F ;WJ<F >LHJM >T&CNJ HM>RT HGDLJM >T&HM>WR HGDL LMMCLT HJWM W>T&HM>WR HQVN LMMCLT HLJLH W>T HKWKBJM00 ;;;;;;;;;;;
427616;283;651747;Genesis;1;16;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427616;283;651748;Genesis;1;16;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427616;283;651749;Genesis;1;16;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427616;283;651750;Genesis;1;16;<FH;qal;;>T&CNJ HM>RT HGDLJM >T&HM>WR HGDL LMMCLT HJWM W>T&HM>WR HQVN LMMCLT HLJLH W>T HKWKBJM00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427649;468;-1;Genesis;1;25;<FH;qal;J<F ;WJ<F >LHJM >T&XJT H>RY LMJNH ;;;;;;;;;;;
427649;468;651840;Genesis;1;25;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427649;468;651841;Genesis;1;25;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427649;468;651842;Genesis;1;25;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427649;468;651843;Genesis;1;25;<FH;qal;;>T&XJT H>RY ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427649;468;651844;Genesis;1;25;<FH;qal;;LMJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427655;498;-1;Genesis;1;26;<FH;qal;N<FH ;N<FH >DM BYLMNW KDMWTNW ;;;;;;;;;;;
427655;498;651859;Genesis;1;26;<FH;qal;;N<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427655;498;651860;Genesis;1;26;<FH;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427655;498;651861;Genesis;1;26;<FH;qal;;BYLMNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427655;498;651862;Genesis;1;26;<FH;qal;;KDMWTNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427680;660;-1;Genesis;1;31;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427680;660;651935;Genesis;1;31;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427680;660;651936;Genesis;1;31;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427687;694;-1;Genesis;2;2;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427687;694;651956;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427687;694;651957;Genesis;2;2;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427689;706;-1;Genesis;2;2;<FH;qal;<FH00 ;>CR <FH00 ;;;;;;;;;;;
427689;706;651962;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427689;706;651963;Genesis;2;2;<FH;qal;;<FH00 ;phrase;;;VP;Pred;core;regular;NA;;;
427694;727;-1;Genesis;2;3;<FH;qal;<FWT00_P ;L<FWT00_P ;;;;;;;;;;;
427694;727;651978;Genesis;2;3;<FH;qal;;L<FWT00_P ;phrase;;;VP;Pred;core;regular;NA;;;
427698;739;-1;Genesis;2;4;<FH;qal;<FWT ;<FWT JHWH >LHJM >RY WCMJM00 ;;;;;;;;;;;
427698;739;651983;Genesis;2;4;<FH;qal;;<FWT ;phrase;;;VP;Pred;core;regular;NA;;;
427698;739;651984;Genesis;2;4;<FH;qal;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427698;739;651985;Genesis;2;4;<FH;qal;;>RY WCMJM00 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427749;1007;-1;Genesis;2;18;<FH;qal;><FH&;><FH&LW <ZR KNGDW00 ;;;;;;;;;;;
427749;1007;652133;Genesis;2;18;<FH;qal;;><FH&;phrase;;;VP;Pred;core;regular;NA;;;
427749;1007;652134;Genesis;2;18;<FH;qal;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427749;1007;652135;Genesis;2;18;<FH;qal;;<ZR KNGDW00 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427776;1179;-1;Genesis;3;1;<FH;qal;<FH ;>CR <FH JHWH >LHJM ;;;;;;;;;;;
427776;1179;652227;Genesis;3;1;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427776;1179;652228;Genesis;3;1;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427776;1179;652229;Genesis;3;1;<FH;qal;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427809;1312;-1;Genesis;3;7;<FH;qal;J<FW ;WJ<FW LHM XGRT00 ;;;;;;;;;;;
427809;1312;652320;Genesis;3;7;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427809;1312;652321;Genesis;3;7;<FH;qal;;J<FW ;phrase;;;VP;Pred;core;regular;NA;;;
