cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427698;780;-1;Genesis;2;6;<LH;qal;J<LH ;W>D J<LH MN&H>RY ;;;;;;;;;;;
427698;780;651999;Genesis;2;6;<LH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427698;780;652000;Genesis;2;6;<LH;qal;;>D ;phrase;;;NP;Subj;core;NA;subject;;;
427698;780;652001;Genesis;2;6;<LH;qal;;J<LH ;phrase;;;VP;Pred;core;regular;NA;;;
427698;780;652002;Genesis;2;6;<LH;qal;;MN&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428251;3965;-1;Genesis;8;20;<LH;hif;J<L ;WJ<L <LT BMZBX00 ;;;;;;;;;;;
428251;3965;653747;Genesis;8;20;<LH;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428251;3965;653748;Genesis;8;20;<LH;hif;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
428251;3965;653749;Genesis;8;20;<LH;hif;;<LT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428251;3965;653750;Genesis;8;20;<LH;hif;;BMZBX00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428585;5867;-1;Genesis;13;1;<LH;qal;J<L ;WJ<L >BRM MMYRJM HW> W>CTW WKL&HNGBH00 ;;;;;;;;;;;
428585;5867;654787;Genesis;13;1;<LH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428585;5867;654788;Genesis;13;1;<LH;qal;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
428585;5867;654789;Genesis;13;1;<LH;qal;;>BRM HW> W>CTW WKL&;phrase;;;PrNP;Subj;core;NA;subject;;;
428585;5867;654790;Genesis;13;1;<LH;qal;;MMYRJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
