cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427524;3;-1;Genesis;1;1;BR>;qal;BR> ;B R>CJT BR> >LHJM >T H CMJM W >T H >RY ;;;;;;;;;;;
427524;3;650328;Genesis;1;1;BR>;qal;;B R>CJT ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427524;3;650329;Genesis;1;1;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427524;3;650330;Genesis;1;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427524;3;650331;Genesis;1;1;BR>;qal;;>T H CMJM W >T H >RY ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427597;381;-1;Genesis;1;21;BR>;qal;JBR> ;W JBR> >LHJM >T H TNJNM H GDLJM W >T KL NPC L MJNHM ;;;;;;;;;;;
427597;381;650553;Genesis;1;21;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427597;381;650554;Genesis;1;21;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
427597;381;650555;Genesis;1;21;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427597;381;650556;Genesis;1;21;BR>;qal;;>T H TNJNM H GDLJM W >T KL NPC ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427597;381;650564;Genesis;1;21;BR>;qal;;L MJNHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427626;535;-1;Genesis;1;27;BR>;qal;JBR> ;W JBR> >LHJM >T H >DM B YLMW ;;;;;;;;;;;
427626;535;650636;Genesis;1;27;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427626;535;650637;Genesis;1;27;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
427626;535;650638;Genesis;1;27;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427626;535;650639;Genesis;1;27;BR>;qal;;>T H >DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427626;535;650640;Genesis;1;27;BR>;qal;;B YLMW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427627;545;-1;Genesis;1;27;BR>;qal;BR> ;B YLM >LHJM BR> >TW ;;;;;;;;;;;
427627;545;650641;Genesis;1;27;BR>;qal;;B YLM >LHJM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427627;545;650642;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427627;545;650643;Genesis;1;27;BR>;qal;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427628;550;-1;Genesis;1;27;BR>;qal;BR> ;ZKR W NQBH BR> >TM ;;;;;;;;;;;
427628;550;650644;Genesis;1;27;BR>;qal;;ZKR W NQBH ;phrase;;;AdjP;PrAd;adjunct;NA;NA;;;
427628;550;650645;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427628;550;650646;Genesis;1;27;BR>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427661;724;-1;Genesis;2;3;BR>;qal;BR> ;>CR BR> >LHJM ;;;;;;;;;;;
427661;724;650742;Genesis;2;3;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427661;724;650743;Genesis;2;3;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427661;724;650744;Genesis;2;3;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427661;724;427662;Genesis;2;3;BR>;qal;;L <FWT ;clause;InfC;Adju;;;NA;NA;;;;
427664;736;-1;Genesis;2;4;BR>;nif;HBR>M ;B HBR>M ;;;;;;;;;;;
427664;736;650748;Genesis;2;4;BR>;nif;;B HBR>M ;phrase;;;VP;PreS;core;regular;subject;;;
427952;2126;-1;Genesis;5;1;BR>;qal;BR> ;B JWM BR> >LHJM >DM ;;;;;;;;;;;
427952;2126;651616;Genesis;5;1;BR>;qal;;B JWM BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427952;2126;651617;Genesis;5;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427952;2126;651618;Genesis;5;1;BR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427954;2137;-1;Genesis;5;2;BR>;qal;BR>M ;ZKR W NQBH BR>M ;;;;;;;;;;;
427954;2137;651622;Genesis;5;2;BR>;qal;;ZKR W NQBH ;phrase;;;AdjP;PrAd;adjunct;NA;NA;;;
427954;2137;651623;Genesis;5;2;BR>;qal;;BR>M ;phrase;;;VP;PreO;core;regular;direct_object;;;
427957;2148;-1;Genesis;5;2;BR>;nif;HBR>M ;HBR>M ;;;;;;;;;;;
427957;2148;651632;Genesis;5;2;BR>;nif;;HBR>M ;phrase;;;VP;PreS;core;regular;subject;;;
428058;2740;-1;Genesis;6;7;BR>;qal;BR>TJ ;>CR BR>TJ ;;;;;;;;;;;
428058;2740;651953;Genesis;6;7;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428058;2740;651954;Genesis;6;7;BR>;qal;;BR>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
437147;47981;-1;Exodus;34;10;BR>;nif;NBR>W ;>CR L> NBR>W B KL H >RY W B KL H GWJM ;;;;;;;;;;;
437147;47981;679617;Exodus;34;10;BR>;nif;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
437147;47981;679618;Exodus;34;10;BR>;nif;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
437147;47981;679619;Exodus;34;10;BR>;nif;;NBR>W ;phrase;;;VP;Pred;core;regular;NA;;;
437147;47981;679620;Exodus;34;10;BR>;nif;;B KL H >RY W B KL H GWJM ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
442653;80613;-1;Numbers;16;30;BR>;qal;JBR> ;W >M BRJ>H JBR> JHWH ;;;;;;;;;;;
442653;80613;696619;Numbers;16;30;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
442653;80613;696620;Numbers;16;30;BR>;qal;;>M ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
442653;80613;696621;Numbers;16;30;BR>;qal;;BRJ>H ;phrase;;;NP;Objc;complement;NA;direct_object;;;
442653;80613;696622;Numbers;16;30;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
442653;80613;696623;Numbers;16;30;BR>;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
445333;95888;-1;Deuteronomy;4;32;BR>;qal;BR> ;>CR BR> >LHJM >DM <L H >RY ;;;;;;;;;;;
445333;95888;704856;Deuteronomy;4;32;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
445333;95888;704857;Deuteronomy;4;32;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
445333;95888;704858;Deuteronomy;4;32;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
445333;95888;704859;Deuteronomy;4;32;BR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
445333;95888;704860;Deuteronomy;4;32;BR>;qal;;<L H >RY ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
450238;122739;-1;Joshua;17;15;BR>;piel;BR>T ;W BR>T LK CM B >RY H PRZJ W H RP>JM ;;;;;;;;;;;
450238;122739;719709;Joshua;17;15;BR>;piel;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
450238;122739;719710;Joshua;17;15;BR>;piel;;BR>T ;phrase;;;VP;Pred;core;regular;NA;;;
450238;122739;719711;Joshua;17;15;BR>;piel;;LK ;phrase;;;PP;Supp;adjunct;NA;NA;;;benefactive
450238;122739;719712;Joshua;17;15;BR>;piel;;CM B >RY H PRZJ W H RP>JM ;phrase;;;AdvP;Loca;adjunct;NA;NA;;location;location
450253;122821;-1;Joshua;17;18;BR>;piel;BR>TW ;W BR>TW ;;;;;;;;;;;
450253;122821;719756;Joshua;17;18;BR>;piel;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
450253;122821;719757;Joshua;17;18;BR>;piel;;BR>TW ;phrase;;;VP;PreO;core;regular;direct_object;;;
453993;142685;-1;1_Samuel;2;29;BR>;hif;HBRJ>KM ;L HBRJ>KM M R>CJT KL MNXT JFR>L L <MJ ;;;;;;;;;;;
453993;142685;731372;1_Samuel;2;29;BR>;hif;;L HBRJ>KM ;phrase;;;VP;PreO;core;regular;direct_object;;;
453993;142685;731373;1_Samuel;2;29;BR>;hif;;M R>CJT KL MNXT JFR>L L <MJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
468163;213360;-1;Isaiah;4;5;BR>;qal;BR> ;W BR> JHWH <L KL MKWN HR YJWN W <L MQR>H <NN JWMM ;;;;;;;;;;;
468163;213360;773932;Isaiah;4;5;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
468163;213360;773933;Isaiah;4;5;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
468163;213360;773934;Isaiah;4;5;BR>;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
468163;213360;773935;Isaiah;4;5;BR>;qal;;<L KL MKWN HR YJWN W <L MQR>H ;phrase;;;PP;Adju;adjunct;NA;NA;;;
