cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427810;1458;-1;Genesis;3;15;CJT;qal;>CJT ;W >JBH >CJT BJNK W BJN H >CH W BJN ZR<K W BJN ZR<H ;;;;;;;;;;;
427810;1458;651179;Genesis;3;15;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427810;1458;651180;Genesis;3;15;CJT;qal;;>JBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427810;1458;651181;Genesis;3;15;CJT;qal;;>CJT ;phrase;;;VP;Pred;core;regular;NA;;;
427810;1458;651182;Genesis;3;15;CJT;qal;;BJNK W BJN H >CH W BJN ZR<K W BJN ZR<H ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427945;2091;-1;Genesis;4;25;CJT;qal;CT ;KJ CT LJ >LHJM ZR< >XR TXT HBL ;;;;;;;;;;;
427945;2091;651593;Genesis;4;25;CJT;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427945;2091;651594;Genesis;4;25;CJT;qal;;CT ;phrase;;;VP;Pred;core;regular;NA;;;
427945;2091;651595;Genesis;4;25;CJT;qal;;LJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427945;2091;651596;Genesis;4;25;CJT;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427945;2091;651597;Genesis;4;25;CJT;qal;;ZR< >XR ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427945;2091;651598;Genesis;4;25;CJT;qal;;TXT HBL ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430805;16304;-1;Genesis;30;40;CJT;qal;JCT ;W JCT LW <DRJM L BDW ;;;;;;;;;;;
430805;16304;660343;Genesis;30;40;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430805;16304;660344;Genesis;30;40;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
430805;16304;660345;Genesis;30;40;CJT;qal;;LW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
430805;16304;660346;Genesis;30;40;CJT;qal;;<DRJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
430805;16304;660347;Genesis;30;40;CJT;qal;;L BDW ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
430806;16311;-1;Genesis;30;40;CJT;qal;CTM ;W L> CTM <L Y>N LBN ;;;;;;;;;;;
430806;16311;660348;Genesis;30;40;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430806;16311;660349;Genesis;30;40;CJT;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
430806;16311;660350;Genesis;30;40;CJT;qal;;CTM ;phrase;;;VP;PreO;core;regular;direct_object;;;
430806;16311;660351;Genesis;30;40;CJT;qal;;<L Y>N LBN ;phrase;;;PP;Cmpl;complement;NA;*;;;
432213;22951;-1;Genesis;41;33;CJT;qal;JCJTHW ;W JCJTHW <L >RY MYRJM ;;;;;;;;;;;
432213;22951;664558;Genesis;41;33;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432213;22951;664559;Genesis;41;33;CJT;qal;;JCJTHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
432213;22951;664560;Genesis;41;33;CJT;qal;;<L >RY MYRJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432935;26053;-1;Genesis;46;4;CJT;qal;JCJT ;W JWSP JCJT JDW <L <JNJK ;;;;;;;;;;;
432935;26053;666706;Genesis;46;4;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432935;26053;666707;Genesis;46;4;CJT;qal;;JWSP ;phrase;;;PrNP;Subj;core;NA;subject;;;
432935;26053;666708;Genesis;46;4;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
432935;26053;666709;Genesis;46;4;CJT;qal;;JDW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432935;26053;666710;Genesis;46;4;CJT;qal;;<L <JNJK ;phrase;;;PP;Cmpl;complement;NA;*;;;
