cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427678;825;-1;Genesis;2;8;FJM;qal;JFM ;W JFM CM >T H >DM ;;;;;;;;;;;
427678;825;650798;Genesis;2;8;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427678;825;650799;Genesis;2;8;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427678;825;650800;Genesis;2;8;FJM;qal;;CM ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427678;825;650801;Genesis;2;8;FJM;qal;;>T H >DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427910;1918;-1;Genesis;4;15;FJM;qal;JFM ;W JFM JHWH L QJN >WT ;;;;;;;;;;;
427910;1918;651479;Genesis;4;15;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427910;1918;651480;Genesis;4;15;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427910;1918;651481;Genesis;4;15;FJM;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
427910;1918;651482;Genesis;4;15;FJM;qal;;L QJN ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427910;1918;651483;Genesis;4;15;FJM;qal;;>WT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427910;1918;427911;Genesis;4;15;FJM;qal;;L BLTJ HKWT >TW KL MY>W ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428085;2907;-1;Genesis;6;16;FJM;qal;TFJM ;W PTX H TBH B YDH TFJM ;;;;;;;;;;;
428085;2907;652045;Genesis;6;16;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428085;2907;652046;Genesis;6;16;FJM;qal;;PTX H TBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428085;2907;652047;Genesis;6;16;FJM;qal;;B YDH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428085;2907;652048;Genesis;6;16;FJM;qal;;TFJM ;phrase;;;VP;Pred;core;regular;NA;;;
428308;4446;-1;Genesis;9;23;FJM;qal;JFJMW ;W JFJMW <L CKM CNJHM ;;;;;;;;;;;
428308;4446;652764;Genesis;9;23;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428308;4446;652765;Genesis;9;23;FJM;qal;;JFJMW ;phrase;;;VP;Pred;core;regular;NA;;;
428308;4446;652766;Genesis;9;23;FJM;qal;;<L CKM CNJHM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428605;6160;-1;Genesis;13;16;FJM;qal;FMTJ ;W FMTJ >T ZR<K K <PR H >RY ;;;;;;;;;;;
428605;6160;653729;Genesis;13;16;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428605;6160;653730;Genesis;13;16;FJM;qal;;FMTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428605;6160;653731;Genesis;13;16;FJM;qal;;>T ZR<K ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428605;6160;653732;Genesis;13;16;FJM;qal;;K <PR H >RY ;phrase;;;PP;Cmpl;complement;NA;K_object;*;location;location
429370;9821;-1;Genesis;21;13;FJM;qal;>FJMNW ;L GWJ >FJMNW ;;;;;;;;;;;
429370;9821;656045;Genesis;21;13;FJM;qal;;L GWJ ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429370;9821;656046;Genesis;21;13;FJM;qal;;>FJMNW ;phrase;;;VP;PreO;core;regular;principal_direct_object;;;
429375;9841;-1;Genesis;21;14;FJM;qal;FM ;FM <L CKMH ;;;;;;;;;;;
429375;9841;656060;Genesis;21;14;FJM;qal;;FM ;phrase;;;VP;PreC;core;regular;NA;;;
429375;9841;656061;Genesis;21;14;FJM;qal;;<L CKMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
429400;9952;-1;Genesis;21;18;FJM;qal;>FJMNW ;KJ L GWJ GDWL >FJMNW ;;;;;;;;;;;
