cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427700;935;-1;Genesis;2;14;HLK;qal;HLK ;H HLK QDMT >CWR ;;;;;;;;;;;
427700;935;650856;Genesis;2;14;HLK;qal;;H ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427700;935;650857;Genesis;2;14;HLK;qal;;HLK ;phrase;;;VP;PreC;core;regular;NA;;;
427700;935;650858;Genesis;2;14;HLK;qal;;QDMT >CWR ;phrase;;;NP;Cmpl;complement;NA;*;;location;location
427779;1321;-1;Genesis;3;8;HLK;hit;MTHLK ;MTHLK B  GN L RWX H JWM ;;;;;;;;;;;
427779;1321;651094;Genesis;3;8;HLK;hit;;MTHLK ;phrase;;;VP;PreC;core;regular;NA;;;
427779;1321;651095;Genesis;3;8;HLK;hit;;B  GN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427779;1321;651096;Genesis;3;8;HLK;hit;;L RWX H JWM ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427808;1449;-1;Genesis;3;14;HLK;qal;TLK ;<L GXNK TLK ;;;;;;;;;;;
427808;1449;651173;Genesis;3;14;HLK;qal;;<L GXNK ;phrase;;;PP;Cmpl;complement;NA;*;;;
427808;1449;651174;Genesis;3;14;HLK;qal;;TLK ;phrase;;;VP;Pred;core;regular;NA;;;
428004;2424;-1;Genesis;5;22;HLK;hit;JTHLK ;W JTHLK XNWK >T H >LHJM CLC M>WT CNH ;;;;;;;;;;;
428004;2424;651779;Genesis;5;22;HLK;hit;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428004;2424;651780;Genesis;5;22;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428004;2424;651781;Genesis;5;22;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
428004;2424;651782;Genesis;5;22;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428004;2424;651785;Genesis;5;22;HLK;hit;;CLC M>WT CNH ;phrase;;;NP;Time;adjunct;NA;NA;;time;time
428004;2424;428005;Genesis;5;22;HLK;hit;;>XRJ HWLJDW >T MTWCLX ;clause;InfC;Adju;;;NA;NA;;;;
428008;2455;-1;Genesis;5;24;HLK;hit;JTHLK ;W JTHLK XNWK >T H >LHJM ;;;;;;;;;;;
428008;2455;651793;Genesis;5;24;HLK;hit;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428008;2455;651794;Genesis;5;24;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428008;2455;651795;Genesis;5;24;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
428008;2455;651796;Genesis;5;24;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428064;2781;-1;Genesis;6;9;HLK;hit;HTHLK ;>T H >LHJM HTHLK NX ;;;;;;;;;;;
428064;2781;651972;Genesis;6;9;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428064;2781;651973;Genesis;6;9;HLK;hit;;HTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428064;2781;651974;Genesis;6;9;HLK;hit;;NX ;phrase;;;PrNP;Subj;core;NA;subject;;;
428151;3407;-1;Genesis;7;18;HLK;qal;TLK ;W TLK H TBH <L PNJ H MJM ;;;;;;;;;;;
428151;3407;652260;Genesis;7;18;HLK;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428151;3407;652261;Genesis;7;18;HLK;qal;;TLK ;phrase;;;VP;Pred;core;regular;NA;;;
428151;3407;652262;Genesis;7;18;HLK;qal;;H TBH ;phrase;;;NP;Subj;core;NA;subject;;;
428151;3407;652263;Genesis;7;18;HLK;qal;;<L PNJ H MJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428175;3598;-1;Genesis;8;3;HLK;qal;HLWK ;W JCBW H MJM M <L H >RY HLWK W CWB ;;;;;;;;;;;
428175;3598;652342;Genesis;8;3;HLK;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428175;3598;652343;Genesis;8;3;HLK;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
428175;3598;652344;Genesis;8;3;HLK;qal;;H MJM ;phrase;;;NP;Subj;core;NA;subject;;;
428175;3598;652345;Genesis;8;3;HLK;qal;;M <L H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428175;3598;652346;Genesis;8;3;HLK;qal;;HLWK W CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428178;3634;-1;Genesis;8;5;HLK;qal;HLWK ;W H MJM HJW HLWK W XSWR <D H XDC H <FJRJ ;;;;;;;;;;;
428178;3634;652357;Genesis;8;5;HLK;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428178;3634;652358;Genesis;8;5;HLK;qal;;H MJM ;phrase;;;NP;Subj;core;NA;subject;;;
428178;3634;652359;Genesis;8;5;HLK;qal;;HJW ;phrase;;;VP;Pred;core;regular;NA;;;
428178;3634;652360;Genesis;8;5;HLK;qal;;HLWK W XSWR ;phrase;;;AdvP;PreC;core;regular;NA;;;
428178;3634;652361;Genesis;8;5;HLK;qal;;<D H XDC H <FJRJ ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
428309;4451;-1;Genesis;9;23;HLK;qal;JLKW ;W JLKW >XRNJT ;;;;;;;;;;;
428309;4451;652767;Genesis;9;23;HLK;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428309;4451;652768;Genesis;9;23;HLK;qal;;JLKW ;phrase;;;VP;Pred;core;regular;NA;;;
428309;4451;652769;Genesis;9;23;HLK;qal;;>XRNJT ;phrase;;;AdvP;Cmpl;complement;NA;*;;;
428473;5460;-1;Genesis;11;31;HLK;qal;LKT ;L LKT >RYH KN<N ;;;;;;;;;;;
