cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427900;1879;-1;Genesis;4;13;NF>;qal;NF> ;M NF> ;;;;;;;;;;;
427900;1879;651453;Genesis;4;13;NF>;qal;;M NF> ;phrase;;;VP;Pred;core;regular;NA;;;
428147;3386;-1;Genesis;7;17;NF>;qal;JF>W ;W JF>W >T H TBH ;;;;;;;;;;;
428147;3386;652247;Genesis;7;17;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428147;3386;652248;Genesis;7;17;NF>;qal;;JF>W ;phrase;;;VP;Pred;core;regular;NA;;;
428147;3386;652249;Genesis;7;17;NF>;qal;;>T H TBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428568;5955;-1;Genesis;13;6;NF>;qal;NF> ;W L> NF> >TM H >RY ;;;;;;;;;;;
428568;5955;653604;Genesis;13;6;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428568;5955;653605;Genesis;13;6;NF>;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428568;5955;653606;Genesis;13;6;NF>;qal;;NF> ;phrase;;;VP;Pred;core;regular;NA;;;
428568;5955;653607;Genesis;13;6;NF>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428568;5955;653608;Genesis;13;6;NF>;qal;;H >RY ;phrase;;;NP;Subj;core;NA;subject;;;
428568;5955;428569;Genesis;13;6;NF>;qal;;L CBT JXDW ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428584;6040;-1;Genesis;13;10;NF>;qal;JF> ;W JF> LWV >T <JNJW ;;;;;;;;;;;
428584;6040;653657;Genesis;13;10;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428584;6040;653658;Genesis;13;10;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
428584;6040;653659;Genesis;13;10;NF>;qal;;LWV ;phrase;;;PrNP;Subj;core;NA;subject;;;
428584;6040;653660;Genesis;13;10;NF>;qal;;>T <JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428598;6126;-1;Genesis;13;14;NF>;qal;F> ;F> N> <JNJK ;;;;;;;;;;;
428598;6126;653709;Genesis;13;14;NF>;qal;;F> ;phrase;;;VP;Pred;core;regular;NA;;;
428598;6126;653710;Genesis;13;14;NF>;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428598;6126;653711;Genesis;13;14;NF>;qal;;<JNJK ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428918;7819;-1;Genesis;18;2;NF>;qal;JF> ;W JF> <JNJW ;;;;;;;;;;;
428918;7819;654692;Genesis;18;2;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428918;7819;654693;Genesis;18;2;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
428918;7819;654694;Genesis;18;2;NF>;qal;;<JNJW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429023;8218;-1;Genesis;18;24;NF>;qal;TF> ;W L> TF> L  MQWM LM<N XMCJM H YDJQM ;;;;;;;;;;;
429023;8218;654980;Genesis;18;24;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429023;8218;654981;Genesis;18;24;NF>;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
429023;8218;654982;Genesis;18;24;NF>;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
429023;8218;654983;Genesis;18;24;NF>;qal;;L  MQWM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429023;8218;654984;Genesis;18;24;NF>;qal;;LM<N XMCJM H YDJQM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429033;8275;-1;Genesis;18;26;NF>;qal;NF>TJ ;W NF>TJ L KL H MQWM B <BWRM ;;;;;;;;;;;
429033;8275;655013;Genesis;18;26;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429033;8275;655014;Genesis;18;26;NF>;qal;;NF>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
429033;8275;655015;Genesis;18;26;NF>;qal;;L KL H MQWM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429033;8275;655016;Genesis;18;26;NF>;qal;;B <BWRM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429184;8895;-1;Genesis;19;21;NF>;qal;NF>TJ ;HNH NF>TJ PNJK GM L  DBR H ZH ;;;;;;;;;;;
429184;8895;655448;Genesis;19;21;NF>;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
429184;8895;655449;Genesis;19;21;NF>;qal;;NF>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
429184;8895;655450;Genesis;19;21;NF>;qal;;PNJK ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
429184;8895;655451;Genesis;19;21;NF>;qal;;GM L  DBR H ZH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429184;8895;429185;Genesis;19;21;NF>;qal;;L BLTJ HPKJ >T H <JR ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
429387;9898;-1;Genesis;21;16;NF>;qal;TF> ;W TF> >T QLH ;;;;;;;;;;;
429387;9898;656094;Genesis;21;16;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429387;9898;656095;Genesis;21;16;NF>;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
429387;9898;656096;Genesis;21;16;NF>;qal;;>T QLH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429398;9939;-1;Genesis;21;18;NF>;qal;F>J ;F>J >T H N<R ;;;;;;;;;;;
429398;9939;656124;Genesis;21;18;NF>;qal;;F>J ;phrase;;;VP;Pred;core;regular;NA;;;
429398;9939;656125;Genesis;21;18;NF>;qal;;>T H N<R ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429471;10314;-1;Genesis;22;4;NF>;qal;JF> ;W JF> >BRHM >T <JNJW ;;;;;;;;;;;
429471;10314;656359;Genesis;22;4;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429471;10314;656360;Genesis;22;4;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
429471;10314;656361;Genesis;22;4;NF>;qal;;>BRHM ;phrase;;;PrNP;Subj;core;NA;subject;;;
429471;10314;656362;Genesis;22;4;NF>;qal;;>T <JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429515;10514;-1;Genesis;22;13;NF>;qal;JF> ;W JF> >BRHM >T <JNJW ;;;;;;;;;;;
429515;10514;656494;Genesis;22;13;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429515;10514;656495;Genesis;22;13;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
429515;10514;656496;Genesis;22;13;NF>;qal;;>BRHM ;phrase;;;PrNP;Subj;core;NA;subject;;;
429515;10514;656497;Genesis;22;13;NF>;qal;;>T <JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429911;12338;-1;Genesis;24;63;NF>;qal;JF> ;W JF> <JNJW ;;;;;;;;;;;
429911;12338;657629;Genesis;24;63;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429911;12338;657630;Genesis;24;63;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
429911;12338;657631;Genesis;24;63;NF>;qal;;<JNJW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429914;12347;-1;Genesis;24;64;NF>;qal;TF> ;W TF> RBQH >T <JNJH ;;;;;;;;;;;
429914;12347;657638;Genesis;24;64;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429914;12347;657639;Genesis;24;64;NF>;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
429914;12347;657640;Genesis;24;64;NF>;qal;;RBQH ;phrase;;;PrNP;Subj;core;NA;subject;;;
