cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427727;1079;-1;Genesis;2;21;NPL;hif;JPL ;W JPL JHWH >LHJM TRDMH <L H >DM ;;;;;;;;;;;
427727;1079;650934;Genesis;2;21;NPL;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427727;1079;650935;Genesis;2;21;NPL;hif;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
427727;1079;650936;Genesis;2;21;NPL;hif;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427727;1079;650937;Genesis;2;21;NPL;hif;;TRDMH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427727;1079;650938;Genesis;2;21;NPL;hif;;<L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427867;1752;-1;Genesis;4;5;NPL;qal;JPLW ;W JPLW PNJW ;;;;;;;;;;;
427867;1752;651356;Genesis;4;5;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427867;1752;651357;Genesis;4;5;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
427867;1752;651358;Genesis;4;5;NPL;qal;;PNJW ;phrase;;;NP;Subj;core;NA;subject;;;
427870;1764;-1;Genesis;4;6;NPL;qal;NPLW ;W LMH NPLW PNJK ;;;;;;;;;;;
427870;1764;651366;Genesis;4;6;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427870;1764;651367;Genesis;4;6;NPL;qal;;LMH ;phrase;;;InrP;Ques;NA;NA;NA;;NA;NA
427870;1764;651368;Genesis;4;6;NPL;qal;;NPLW ;phrase;;;VP;Pred;core;regular;NA;;;
427870;1764;651369;Genesis;4;6;NPL;qal;;PNJK ;phrase;;;NP;Subj;core;NA;subject;;;
428641;6403;-1;Genesis;14;10;NPL;qal;JPLW ;W JPLW CMH ;;;;;;;;;;;
428641;6403;653832;Genesis;14;10;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428641;6403;653833;Genesis;14;10;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
428641;6403;653834;Genesis;14;10;NPL;qal;;CMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428743;6869;-1;Genesis;15;12;NPL;qal;NPLH ;W TRDMH NPLH <L >BRM ;;;;;;;;;;;
428743;6869;654121;Genesis;15;12;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428743;6869;654122;Genesis;15;12;NPL;qal;;TRDMH ;phrase;;;NP;Subj;core;NA;subject;;;
428743;6869;654123;Genesis;15;12;NPL;qal;;NPLH ;phrase;;;VP;Pred;core;regular;NA;;;
428743;6869;654124;Genesis;15;12;NPL;qal;;<L >BRM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428744;6877;-1;Genesis;15;12;NPL;qal;NPLT ;W HNH >JMH XCKH GDLH NPLT <LJW ;;;;;;;;;;;
428744;6877;654125;Genesis;15;12;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428744;6877;654126;Genesis;15;12;NPL;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428744;6877;654127;Genesis;15;12;NPL;qal;;>JMH XCKH GDLH ;phrase;;;NP;Subj;core;NA;subject;;;
428744;6877;654128;Genesis;15;12;NPL;qal;;NPLT ;phrase;;;VP;PreC;core;regular;NA;;;
428744;6877;654129;Genesis;15;12;NPL;qal;;<LJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
428842;7363;-1;Genesis;17;3;NPL;qal;JPL ;W JPL >BRM <L PNJW ;;;;;;;;;;;
428842;7363;654433;Genesis;17;3;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428842;7363;654434;Genesis;17;3;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
428842;7363;654435;Genesis;17;3;NPL;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428842;7363;654436;Genesis;17;3;NPL;qal;;<L PNJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
428883;7598;-1;Genesis;17;17;NPL;qal;JPL ;W JPL >BRHM <L PNJW ;;;;;;;;;;;
428883;7598;654573;Genesis;17;17;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428883;7598;654574;Genesis;17;17;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
428883;7598;654575;Genesis;17;17;NPL;qal;;>BRHM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428883;7598;654576;Genesis;17;17;NPL;qal;;<L PNJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
429916;12356;-1;Genesis;24;64;NPL;qal;TPL ;W TPL M <L H GML ;;;;;;;;;;;
429916;12356;657645;Genesis;24;64;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429916;12356;657646;Genesis;24;64;NPL;qal;;TPL ;phrase;;;VP;Pred;core;regular;NA;;;
429916;12356;657647;Genesis;24;64;NPL;qal;;M <L H GML ;phrase;;;PP;Cmpl;complement;NA;*;;;
429978;12704;-1;Genesis;25;18;NPL;qal;NPL ;<L PNJ KL >XJW NPL ;;;;;;;;;;;
429978;12704;657823;Genesis;25;18;NPL;qal;;<L PNJ KL >XJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
429978;12704;657824;Genesis;25;18;NPL;qal;;NPL ;phrase;;;VP;Pred;core;regular;NA;;;
431196;18148;-1;Genesis;33;4;NPL;qal;JPL ;W JPL <L YW>RW ;;;;;;;;;;;
431196;18148;661519;Genesis;33;4;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431196;18148;661520;Genesis;33;4;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
431196;18148;661521;Genesis;33;4;NPL;qal;;<L YW>RW ;phrase;;;PP;Cmpl;complement;NA;*;;;
