cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427585;315;-1;Genesis;1;17;NTN;qal;JTN ;W JTN >TM >LHJM B RQJ< H CMJM ;;;;;;;;;;;
427585;315;650518;Genesis;1;17;NTN;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427585;315;650519;Genesis;1;17;NTN;qal;;JTN ;phrase;;;VP;Pred;core;regular;NA;;;
427585;315;650520;Genesis;1;17;NTN;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427585;315;650521;Genesis;1;17;NTN;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427585;315;650522;Genesis;1;17;NTN;qal;;B RQJ< H CMJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427585;315;427586;Genesis;1;17;NTN;qal;;L H>JR <L H >RY ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
427638;594;-1;Genesis;1;29;NTN;qal;NTTJ ;HNH NTTJ LKM >T KL <FB W >T KL H <Y ;;;;;;;;;;;
427638;594;650672;Genesis;1;29;NTN;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
427638;594;650673;Genesis;1;29;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
427638;594;650674;Genesis;1;29;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427638;594;650675;Genesis;1;29;NTN;qal;;>T KL <FB W >T KL H <Y ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427771;1291;-1;Genesis;3;6;NTN;qal;TTN ;W TTN GM L >JCH <MH ;;;;;;;;;;;
427771;1291;651070;Genesis;3;6;NTN;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427771;1291;651071;Genesis;3;6;NTN;qal;;TTN ;phrase;;;VP;Pred;core;regular;NA;;;
427771;1291;651072;Genesis;3;6;NTN;qal;;GM L >JCH ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427771;1291;651073;Genesis;3;6;NTN;qal;;<MH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427797;1396;-1;Genesis;3;12;NTN;qal;NTTH ;>CR NTTH <MDJ ;;;;;;;;;;;
427797;1396;651141;Genesis;3;12;NTN;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427797;1396;651142;Genesis;3;12;NTN;qal;;NTTH ;phrase;;;VP;Pred;core;regular;NA;;;
427797;1396;651143;Genesis;3;12;NTN;qal;;<MDJ ;phrase;;;PP;Cmpl;complement;NA;*;;;
427798;1399;-1;Genesis;3;12;NTN;qal;NTNH ;HW> NTNH LJ MN H <Y ;;;;;;;;;;;
427798;1399;651144;Genesis;3;12;NTN;qal;;HW> ;phrase;;;PPrP;Subj;core;NA;subject;;;
427798;1399;651145;Genesis;3;12;NTN;qal;;NTNH ;phrase;;;VP;Pred;core;regular;NA;;;
427798;1399;651146;Genesis;3;12;NTN;qal;;LJ ;phrase;;;PP;Supp;adjunct;NA;NA;;;benefactive
427798;1399;651147;Genesis;3;12;NTN;qal;;MN H <Y ;phrase;;;PP;Cmpl;complement;NA;*;;;
427896;1861;-1;Genesis;4;12;NTN;qal;TT ;TT KXH LK ;;;;;;;;;;;
427896;1861;651441;Genesis;4;12;NTN;qal;;TT ;phrase;;;VP;Pred;core;regular;NA;;;
427896;1861;651442;Genesis;4;12;NTN;qal;;KXH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427896;1861;651443;Genesis;4;12;NTN;qal;;LK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428244;4085;-1;Genesis;9;2;NTN;nif;NTNW ;B JDKM NTNW ;;;;;;;;;;;
428244;4085;652575;Genesis;9;2;NTN;nif;;B JDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428244;4085;652576;Genesis;9;2;NTN;nif;;NTNW ;phrase;;;VP;Pred;core;regular;NA;;;
428248;4098;-1;Genesis;9;3;NTN;qal;NTTJ ;K JRQ <FB NTTJ LKM >T KL ;;;;;;;;;;;
428248;4098;652584;Genesis;9;3;NTN;qal;;K JRQ <FB ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428248;4098;652585;Genesis;9;3;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428248;4098;652586;Genesis;9;3;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428248;4098;652587;Genesis;9;3;NTN;qal;;>T KL ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428274;4250;-1;Genesis;9;12;NTN;qal;NTN ;>CR >NJ NTN BJNJ W BJNJKM W BJN KL NPC XJH ;;;;;;;;;;;
428274;4250;652661;Genesis;9;12;NTN;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428274;4250;652662;Genesis;9;12;NTN;qal;;>NJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
428274;4250;652663;Genesis;9;12;NTN;qal;;NTN ;phrase;;;VP;PreC;core;regular;NA;;;
428274;4250;652664;Genesis;9;12;NTN;qal;;BJNJ W BJNJKM W BJN KL NPC XJH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428276;4266;-1;Genesis;9;13;NTN;qal;NTTJ ;>T QCTJ NTTJ B  <NN ;;;;;;;;;;;
428276;4266;652668;Genesis;9;13;NTN;qal;;>T QCTJ ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428276;4266;652669;Genesis;9;13;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428276;4266;652670;Genesis;9;13;NTN;qal;;B  <NN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428503;5618;-1;Genesis;12;7;NTN;qal;>TN ;L ZR<K >TN >T H >RY H Z>T ;;;;;;;;;;;
428503;5618;653386;Genesis;12;7;NTN;qal;;L ZR<K ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
428503;5618;653387;Genesis;12;7;NTN;qal;;>TN ;phrase;;;VP;Pred;core;regular;NA;;;
428503;5618;653388;Genesis;12;7;NTN;qal;;>T H >RY H Z>T ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428603;6153;-1;Genesis;13;15;NTN;qal;>TNNH ;LK >TNNH ;;;;;;;;;;;
428603;6153;653724;Genesis;13;15;NTN;qal;;LK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
