cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428640;6397;-1;Genesis;14;10;NWS;qal;JNSW ;W JNSW MLK SDM W <MRH ;;;;;;;;;;;
428640;6397;653829;Genesis;14;10;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428640;6397;653830;Genesis;14;10;NWS;qal;;JNSW ;phrase;;;VP;Pred;core;regular;NA;;;
428640;6397;653831;Genesis;14;10;NWS;qal;;MLK SDM W <MRH ;phrase;;;NP;Subj;core;NA;subject;;;
428642;6409;-1;Genesis;14;10;NWS;qal;NSW ;W H NC>RJM HRH NSW ;;;;;;;;;;;
428642;6409;653835;Genesis;14;10;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428642;6409;653836;Genesis;14;10;NWS;qal;;H NC>RJM ;phrase;;;NP;Subj;core;NA;subject;;;
428642;6409;653837;Genesis;14;10;NWS;qal;;HRH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428642;6409;653838;Genesis;14;10;NWS;qal;;NSW ;phrase;;;VP;Pred;core;regular;NA;;;
429178;8876;-1;Genesis;19;20;NWS;qal;NWS ;L NWS CMH ;;;;;;;;;;;
429178;8876;655430;Genesis;19;20;NWS;qal;;L NWS ;phrase;;;VP;Pred;core;regular;NA;;;
429178;8876;655431;Genesis;19;20;NWS;qal;;CMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
431969;21686;-1;Genesis;39;12;NWS;qal;JNS ;W JNS ;;;;;;;;;;;
431969;21686;663812;Genesis;39;12;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431969;21686;663813;Genesis;39;12;NWS;qal;;JNS ;phrase;;;VP;Pred;core;regular;NA;;;
431974;21701;-1;Genesis;39;13;NWS;qal;JNS ;W JNS H XWYH ;;;;;;;;;;;
431974;21701;663824;Genesis;39;13;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
