cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427534;59;-1;Genesis;1;5;QR>;qal;JQR> ;W JQR> >LHJM L  >WR JWM ;;;;;;;;;;;
427534;59;650361;Genesis;1;5;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427534;59;650362;Genesis;1;5;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427534;59;650363;Genesis;1;5;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427534;59;650364;Genesis;1;5;QR>;qal;;L  >WR ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427534;59;650365;Genesis;1;5;QR>;qal;;JWM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427535;69;-1;Genesis;1;5;QR>;qal;QR> ;W L  XCK QR> LJLH ;;;;;;;;;;;
427535;69;650366;Genesis;1;5;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427535;69;650367;Genesis;1;5;QR>;qal;;L  XCK ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427535;69;650368;Genesis;1;5;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
427535;69;650369;Genesis;1;5;QR>;qal;;LJLH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427547;126;-1;Genesis;1;8;QR>;qal;JQR> ;W JQR> >LHJM L  RQJ< CMJM ;;;;;;;;;;;
427547;126;650403;Genesis;1;8;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427547;126;650404;Genesis;1;8;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427547;126;650405;Genesis;1;8;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427547;126;650406;Genesis;1;8;QR>;qal;;L  RQJ< ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427547;126;650407;Genesis;1;8;QR>;qal;;CMJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427555;161;-1;Genesis;1;10;QR>;qal;JQR> ;W JQR> >LHJM L  JBCH >RY ;;;;;;;;;;;
427555;161;650427;Genesis;1;10;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427555;161;650428;Genesis;1;10;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427555;161;650429;Genesis;1;10;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427555;161;650430;Genesis;1;10;QR>;qal;;L  JBCH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427555;161;650431;Genesis;1;10;QR>;qal;;>RY ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427556;172;-1;Genesis;1;10;QR>;qal;QR> ;W L MQWH H MJM QR> JMJM ;;;;;;;;;;;
427556;172;650432;Genesis;1;10;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427556;172;650433;Genesis;1;10;QR>;qal;;L MQWH H MJM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427556;172;650434;Genesis;1;10;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
427556;172;650435;Genesis;1;10;QR>;qal;;JMJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427721;1037;-1;Genesis;2;19;QR>;qal;JQR> ;MH JQR> LW ;;;;;;;;;;;
427721;1037;650912;Genesis;2;19;QR>;qal;;MH ;phrase;;;IPrP;Objc;complement;NA;direct_object;;;
427721;1037;650913;Genesis;2;19;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427721;1037;650914;Genesis;2;19;QR>;qal;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427723;1042;-1;Genesis;2;19;QR>;qal;JQR> ;>CR JQR> LW H >DM NPC XJH ;;;;;;;;;;;
427723;1042;650917;Genesis;2;19;QR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427723;1042;650918;Genesis;2;19;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427723;1042;650919;Genesis;2;19;QR>;qal;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427723;1042;650920;Genesis;2;19;QR>;qal;;H >DM ;phrase;;;NP;Subj;core;NA;subject;;;
427723;1042;650921;Genesis;2;19;QR>;qal;;NPC XJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427725;1051;-1;Genesis;2;20;QR>;qal;JQR> ;W JQR> H >DM CMWT L KL H BHMH W L <WP H CMJM W L KL XJT H FDH ;;;;;;;;;;;
427725;1051;650924;Genesis;2;20;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427725;1051;650925;Genesis;2;20;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427725;1051;650926;Genesis;2;20;QR>;qal;;H >DM ;phrase;;;NP;Subj;core;NA;subject;;;
427725;1051;650927;Genesis;2;20;QR>;qal;;CMWT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427725;1051;650928;Genesis;2;20;QR>;qal;;L KL H BHMH W L <WP H CMJM W L KL XJT H FDH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427736;1132;-1;Genesis;2;23;QR>;nif;JQR> ;L Z>T JQR> >CH ;;;;;;;;;;;
427736;1132;650965;Genesis;2;23;QR>;nif;;L Z>T ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427736;1132;650966;Genesis;2;23;QR>;nif;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427736;1132;650967;Genesis;2;23;QR>;nif;;>CH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427781;1345;-1;Genesis;3;9;QR>;qal;JQR> ;W JQR> JHWH >LHJM >L H >DM ;;;;;;;;;;;
427781;1345;651102;Genesis;3;9;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427781;1345;651103;Genesis;3;9;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427781;1345;651104;Genesis;3;9;QR>;qal;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427781;1345;651105;Genesis;3;9;QR>;qal;;>L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427833;1563;-1;Genesis;3;20;QR>;qal;JQR> ;W JQR> H >DM CM >CTW XWH ;;;;;;;;;;;
427833;1563;651247;Genesis;3;20;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427833;1563;651248;Genesis;3;20;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427833;1563;651249;Genesis;3;20;QR>;qal;;H >DM ;phrase;;;NP;Subj;core;NA;subject;;;
427833;1563;651250;Genesis;3;20;QR>;qal;;CM >CTW ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427833;1563;651251;Genesis;3;20;QR>;qal;;XWH ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
427919;1959;-1;Genesis;4;17;QR>;qal;JQR> ;W JQR> CM H <JR K CM BNW XNWK ;;;;;;;;;;;
427919;1959;651507;Genesis;4;17;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427919;1959;651508;Genesis;4;17;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427919;1959;651509;Genesis;4;17;QR>;qal;;CM H <JR ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427919;1959;651510;Genesis;4;17;QR>;qal;;K CM BNW XNWK ;phrase;;;PP;Cmpl;complement;NA;K_object;*;;
427944;2086;-1;Genesis;4;25;QR>;qal;TQR> ;W TQR> >T CMW CT ;;;;;;;;;;;
427944;2086;651589;Genesis;4;25;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427944;2086;651590;Genesis;4;25;QR>;qal;;TQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427944;2086;651591;Genesis;4;25;QR>;qal;;>T CMW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427944;2086;651592;Genesis;4;25;QR>;qal;;CT ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
427948;2109;-1;Genesis;4;26;QR>;qal;JQR> ;W JQR> >T CMW >NWC ;;;;;;;;;;;
427948;2109;651606;Genesis;4;26;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427948;2109;651607;Genesis;4;26;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427948;2109;651608;Genesis;4;26;QR>;qal;;>T CMW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427948;2109;651609;Genesis;4;26;QR>;qal;;>NWC ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
427950;2116;-1;Genesis;4;26;QR>;qal;QR> ;L QR> B CM JHWH ;;;;;;;;;;;
427950;2116;651612;Genesis;4;26;QR>;qal;;L QR> ;phrase;;;VP;Pred;core;regular;NA;;;
427950;2116;651613;Genesis;4;26;QR>;qal;;B CM JHWH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427956;2142;-1;Genesis;5;2;QR>;qal;JQR> ;W JQR> >T CMM >DM B JWM ;;;;;;;;;;;
427956;2142;651627;Genesis;5;2;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427956;2142;651628;Genesis;5;2;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427956;2142;651629;Genesis;5;2;QR>;qal;;>T CMM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427956;2142;651630;Genesis;5;2;QR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;NP_direct_object;;;
427956;2142;651631;Genesis;5;2;QR>;qal;;B JWM ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427960;2163;-1;Genesis;5;3;QR>;qal;JQR> ;W JQR> >T CMW CT ;;;;;;;;;;;
427960;2163;651641;Genesis;5;3;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427960;2163;651642;Genesis;5;3;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427960;2163;651643;Genesis;5;3;QR>;qal;;>T CMW ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427960;2163;651644;Genesis;5;3;QR>;qal;;CT ;phrase;;;PrNP;Objc;complement;NA;NP_direct_object;;;
428020;2529;-1;Genesis;5;29;QR>;qal;JQR> ;W JQR> >T CMW NX ;;;;;;;;;;;
428020;2529;651832;Genesis;5;29;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
