cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428171;3565;-1;Genesis;8;1;<BR;hif;J<BR ;W J<BR >LHJM RWX <L H >RY ;;;;;;;;;;;
428171;3565;652327;Genesis;8;1;<BR;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428171;3565;652328;Genesis;8;1;<BR;hif;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428171;3565;652329;Genesis;8;1;<BR;hif;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
428171;3565;652330;Genesis;8;1;<BR;hif;;RWX ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428171;3565;652331;Genesis;8;1;<BR;hif;;<L H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428499;5591;-1;Genesis;12;6;<BR;qal;J<BR ;W J<BR >BRM B  >RY <D MQWM CKM <D >LWN MWRH ;;;;;;;;;;;
428499;5591;653370;Genesis;12;6;<BR;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428499;5591;653371;Genesis;12;6;<BR;qal;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428499;5591;653372;Genesis;12;6;<BR;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428499;5591;653373;Genesis;12;6;<BR;qal;;B  >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428499;5591;653374;Genesis;12;6;<BR;qal;;<D MQWM CKM ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
428499;5591;653375;Genesis;12;6;<BR;qal;;<D >LWN MWRH ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
428762;6957;-1;Genesis;15;17;<BR;qal;<BR ;>CR <BR BJN H GZRJM H >LH ;;;;;;;;;;;
428762;6957;654184;Genesis;15;17;<BR;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428762;6957;654185;Genesis;15;17;<BR;qal;;<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428762;6957;654186;Genesis;15;17;<BR;qal;;BJN H GZRJM H >LH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428928;7853;-1;Genesis;18;3;<BR;qal;T<BR ;>L N> T<BR M <L <BDK ;;;;;;;;;;;
428928;7853;654719;Genesis;18;3;<BR;qal;;>L ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428928;7853;654720;Genesis;18;3;<BR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428928;7853;654721;Genesis;18;3;<BR;qal;;T<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428928;7853;654722;Genesis;18;3;<BR;qal;;M <L <BDK ;phrase;;;PP;Cmpl;complement;NA;*;;;
428934;7877;-1;Genesis;18;5;<BR;qal;T<BRW ;>XR T<BRW ;;;;;;;;;;;
428934;7877;654738;Genesis;18;5;<BR;qal;;>XR ;phrase;;;AdvP;Time;adjunct;NA;NA;;time;time
428934;7877;654739;Genesis;18;5;<BR;qal;;T<BRW ;phrase;;;VP;Pred;core;regular;NA;;;
428935;7881;-1;Genesis;18;5;<BR;qal;<BRTM ;KJ <L KN <BRTM <L <BDKM ;;;;;;;;;;;
428935;7881;654740;Genesis;18;5;<BR;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428935;7881;654741;Genesis;18;5;<BR;qal;;<L KN ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428935;7881;654742;Genesis;18;5;<BR;qal;;<BRTM ;phrase;;;VP;Pred;core;regular;NA;;;
428935;7881;654743;Genesis;18;5;<BR;qal;;<L <BDKM ;phrase;;;PP;Cmpl;complement;NA;*;;;
429616;11020;-1;Genesis;23;16;<BR;qal;<BR ;<BR L  SXR ;;;;;;;;;;;
429616;11020;656785;Genesis;23;16;<BR;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
429616;11020;656786;Genesis;23;16;<BR;qal;;L  SXR ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
430773;16091;-1;Genesis;30;32;<BR;qal;><BR ;><BR B KL Y>NK H JWM ;;;;;;;;;;;
430773;16091;660245;Genesis;30;32;<BR;qal;;><BR ;phrase;;;VP;Pred;core;regular;NA;;;
430773;16091;660246;Genesis;30;32;<BR;qal;;B KL Y>NK ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430773;16091;660247;Genesis;30;32;<BR;qal;;H JWM ;phrase;;;NP;Time;adjunct;NA;NA;;time;time
430900;16751;-1;Genesis;31;21;<BR;qal;J<BR ;W J<BR >T H NHR ;;;;;;;;;;;
430900;16751;660636;Genesis;31;21;<BR;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430900;16751;660637;Genesis;31;21;<BR;qal;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
430900;16751;660638;Genesis;31;21;<BR;qal;;>T H NHR ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431038;17365;-1;Genesis;31;52;<BR;qal;><BR ;>M >NJ L> ><BR >LJK >T H GL H ZH ;;;;;;;;;;;
431038;17365;661049;Genesis;31;52;<BR;qal;;>M ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431038;17365;661050;Genesis;31;52;<BR;qal;;>NJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
