clause#;word#;passage;;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
426569;3;Genesis 1:1;;BR> ;;605134;BR>#JT ;Time;;605135;BR> ;Pred;;605136;>LHJM ;Subj;;605137;>T H#MJM W>T H>RY00;Objc;;;;;;;;;
426642;381;Genesis 1:21;;JBR> ;;605352;W;Conj;;605353;JBR> ;Pred;;605354;>LHJM ;Subj;;605355;>T&HTNJNM HGDLJM W>T KL&NP# ;Objc;;605363;LMJNHM ;Adju;;;;;
426671;535;Genesis 1:27;;JBR> ;;605435;W;Conj;;605436;JBR> ;Pred;;605437;>LHJM ;Subj;;605438;>T&H>DM ;Objc;;605439;BYLMW ;Adju;;;;;
426672;545;Genesis 1:27;;BR> ;;605440;BYLM >LHJM ;Adju;;605441;BR> ;Pred;;605442;>TW ;Objc;;;;;;;;;;;;;
426673;550;Genesis 1:27;;BR> ;;605443;ZKR WNQBH ;PrAd;Objc;605444;BR> ;Pred;;605445;>TM00;Objc;;;;;;;;;;;;;
426706;724;Genesis 2:3;;BR> ;;605541;>#R&;Rela;;605542;BR> ;Pred;;605543;>LHJM ;Subj;;;;;;;;;;;;;
426709;736;Genesis 2:4;;HBR>M ;;605547;BHBR>M ;PreS;;;;;;;;;;;;;;;;;;;;;
426997;2126;Genesis 5:1;;BR> ;;606415;BJWM BR> ;Pred;;606416;>LHJM ;Subj;;606417;>DM ;Objc;;;;;;;;;;;;;
426999;2137;Genesis 5:2;;BR>M ;;606421;ZKR WNQBH ;PrAd;Objc;606422;BR>M ;PreO;;;;;;;;;;;;;;;;;
427002;2148;Genesis 5:2;;HBR>M00;;606431;HBR>M00;PreS;;;;;;;;;;;;;;;;;;;;;
427103;2740;Genesis 6:7;;BR>TJ ;;606752;>#R&;Rela;;606753;BR>TJ ;Pred;;;;;;;;;;;;;;;;;
436231;47983;Exodus 34:10;;NBR>W ;;634352;>#R ;Rela;;634353;L>&;Nega;;634354;NBR>W ;Pred;;634355;BKL&H>RY WBKL&HGWJM ;Loca;;;;;;;;;
441769;80615;Numbers 16:30;;JBR> ;;651318;W;Conj;;651319;>M&;Conj;;651320;BRJ>H ;Objc;;651321;JBR> ;Pred;;651322;JHWH ;Subj;;;;;
444459;95890;Deuteronomy 4:32;;BR> ;;659508;>#R ;Rela;;659509;BR> ;Pred;;659510;>LHJM ;Subj;;659511;>DM ;Objc;;659512;<L&H>RY ;Loca;;;;;
467368;213368;Isaiah 4:5;;BR> ;;728417;W;Conj;;728418;BR> ;Pred;;728419;JHWH ;Subj;;728420;<L KL&MKWN HR&YJWN W<L&MQR>H ;Adju;Loca;728421;<NN ;Objc;;728422;JWMM ;Time;
470245;225958;Isaiah 40:26;;BR> ;;736322;MJ&;Subj;;736323;BR> ;Pred;;736324;>LH ;Objc;;;;;;;;;;;;;
470258;226003;Isaiah 40:28;;BWR> ;;736357;BWR> ;PreC;;736358;QYWT H>RY ;Objc;;;;;;;;;;;;;;;;;
470372;226376;Isaiah 41:20;;BR>H00;;736630;W;Conj;;736631;QDW# J#R>L ;Subj;;736632;BR>H00;PreO;;;;;;;;;;;;;
470443;226578;Isaiah 42:5;;BWR> ;;736801;BWR> ;PreC;;736802;H#MJM ;Objc;;;;;;;;;;;;;;;;;
470545;226930;Isaiah 43:1;;BR>K ;;737048;W;Conj;;737049;<TH ;Modi;;737050;KH&;Modi;;737051;>MR ;Pred;;737052;JHWH BR>K WJYRK ;Subj;;;;;
470579;227040;Isaiah 43:7;;BR>TJW ;;737132;W;Conj;;737133;LKBWDJ ;Adju;;737134;BR>TJW ;PreO;;;;;;;;;;;;;
470622;227167;Isaiah 43:15;;BWR> ;;737240;>NJ JHWH ;Subj;;737241;QDW#KM BWR> J#R>L MLKKM00;PreC;;;;;;;;;;;;;;;;;
470865;227968;Isaiah 45:7;;BWR> ;;737857;W;Conj;;737858;BWR> ;PreC;;737859;X#K ;Objc;;;;;;;;;;;;;
470867;227973;Isaiah 45:7;;BWR> ;;737862;W;Conj;;737863;BWR> ;PreC;;737864;R< ;Objc;;;;;;;;;;;;;
470876;227999;Isaiah 45:8;;BR>TJW00;;737884;>NJ JHWH ;Subj;;737885;BR>TJW00;PreO;;;;;;;;;;;;;;;;;
470893;228054;Isaiah 45:12;;BR>TJ ;;737920;W;Conj;;737921;>DM <LJH ;Objc;;737922;BR>TJ ;Pred;;;;;;;;;;;;;
470925;228160;Isaiah 45:18;;BWR> ;;738004;BWR> ;PreC;;738005;H#MJM ;Objc;;;;;;;;;;;;;;;;;
470930;228175;Isaiah 45:18;;BR>H ;;738014;L>&;Nega;;738015;THW ;Objc;;738016;BR>H ;PreO;;;;;;;;;;;;;
471160;228885;Isaiah 48:7;;NBR>W ;;738566;<TH ;Time;;738567;NBR>W ;Pred;;;;;;;;;;;;;;;;;
471757;231004;Isaiah 54:16;;BR>TJ ;;740126;HNH ;Intj;;740127;>NKJ ;Subj;;740128;BR>TJ ;Pred;;740129;XR# ;Objc;;;;;;;;;
471760;231017;Isaiah 54:16;;BR>TJ ;;740136;W;Conj;;740137;>NKJ ;Subj;;740138;BR>TJ ;Pred;;740139;M#XJT ;Objc;;;;;;;;;
471992;231854;Isaiah 57:19;;BWR> ;;740716;BWR> ;PreC;;740717;NJB #PTJM ;Objc;;;;;;;;;;;;;;;;;
472596;234274;Isaiah 65:17;;BWR> ;;742423;KJ&;Conj;;742424;HNNJ ;IntS;;742425;BWR> ;PreC;;742426;#MJM XD#JM W>RY XD#H ;Objc;;;;;;;;;
472601;234299;Isaiah 65:18;;BWR> ;;742440;>#R ;Rela;;742441;>NJ ;Subj;;742442;BWR> ;PreC;;;;;;;;;;;;;
472602;234302;Isaiah 65:18;;BWR> ;;742443;KJ ;Conj;;742444;HNNJ ;IntS;;742445;BWR> ;PreC;;742446;>T&JRW#LM ;Objc;;742447;GJLH ;Objc;;;;;
476283;251042;Jeremiah 31:22;;BR> ;;752697;KJ&;Conj;;752698;BR> ;Pred;;752699;JHWH ;Subj;;752700;XD#H ;Objc;;752701;B>RY ;Loca;;;;;
481298;275146;Ezekiel 21:35;;NBR>T ;;767091;>#R&;Rela;;767092;NBR>T ;Pred;;;;;;;;;;;;;;;;;
482062;278561;Ezekiel 28:13;;HBR>K ;;769239;HBR>K ;PreS;;;;;;;;;;;;;;;;;;;;;
482068;278586;Ezekiel 28:15;;HBR>K ;;769253;HBR>K ;PreS;;;;;;;;;;;;;;;;;;;;;
485811;296485;Amos 4:13;;BR> ;;779857;W;Conj;;779858;BR> ;PreC;;779859;RWX ;Objc;;;;;;;;;;;;;
488961;309959;Malachi 2:10;;BR>NW ;;788452;H;Ques;;788453;LW> ;Nega;;788454;>L >XD ;Subj;;788455;BR>NW ;PreO;;;;;;;;;
491567;318961;Psalms 51:12;;BR>&;;794821;LB VHWR ;Objc;;794822;BR>&;Pred;;794823;LJ ;Adju;;;;;;;;;;;;;
493563;325838;Psalms 89:13;;BR>TM ;;799619;>TH ;Subj;;799620;BR>TM ;PreO;;;;;;;;;;;;;;;;;
