clause#;word#;passage;link;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
426855;1458;Genesis 3:15;link;>#JT ;;605978;W;Conj;;605979;>JBH ;Objc;;605980;>#JT ;Pred;;605981;BJNK WBJN H>#H WBJN ZR<K WBJN ZR<H ;Cmpl;;;;;;;;;
426990;2091;Genesis 4:25;link;#T&;;606392;KJ ;Conj;;606393;#T&;Pred;;606394;LJ ;Adju;;606395;>LHJM ;Subj;;606396;ZR< >XR ;Objc;;606397;TXT HBL ;Cmpl;
429858;16305;Genesis 30:40;link;J#T&;;615127;W;Conj;;615128;J#T&;Pred;;615129;LW ;Supp;Adju;615130;<DRJM ;Objc;;615131;LBDW ;Adju;;;;;
429859;16312;Genesis 30:40;link;#TM ;;615132;W;Conj;;615133;L> ;Nega;;615134;#TM ;PreO;;615135;<L&Y>N LBN00;Cmpl;;;;;;;;;
431271;22953;Genesis 41:33;link;J#JTHW ;;619337;W;Conj;;619338;J#JTHW ;PreO;;619339;<L&>RY MYRJM00;Cmpl;;;;;;;;;;;;;
431997;26055;Genesis 46:4;link;J#JT ;;621481;W;Conj;;621482;JWSP ;Subj;;621483;J#JT ;Pred;;621484;JDW ;Objc;;621485;<L&<JNJK00;Cmpl;;;;;
432272;27557;Genesis 48:14;link;J#T ;;622341;W;Conj;;622342;J#T ;Pred;;622343;<L&R># >PRJM ;Cmpl;;;;;;;;;;;;;
432288;27640;Genesis 48:17;link;J#JT ;;622389;KJ&;Conj;;622390;J#JT ;Pred;;622391;>BJW ;Subj;;622392;JD&JMJNW ;Objc;;622393;<L&R># >PRJM ;Cmpl;;;;;
433299;32273;Exodus 7:23;link;#T ;;625310;W;Conj;;625311;L>&;Nega;;625312;#T ;Pred;;625313;LBW ;Objc;;625314;GM&LZ>T00;Cmpl;;;;;
433577;33797;Exodus 10:1;link;#TJ ;;626185;LM<N #TJ ;PreS;;626186;>TTJ >LH ;Objc;;626187;BQRBW00;Cmpl;;;;;;;;;;;;;
434859;40335;Exodus 21:22;link;J#JT ;;630137;K>#R ;Conj;;630138;J#JT ;Pred;;630139;<LJW ;Cmpl;;630140;B<L H>#H ;Subj;;;;;;;;;
434886;40461;Exodus 21:30;link;JW#T ;;630219;>M&;Conj;;630220;KPR ;Objc;;630221;JW#T ;Pred;;630222;<LJW ;Cmpl;;;;;;;;;
434888;40470;Exodus 21:30;link;JW#T ;;630227;>#R&;Rela;;630228;JW#T ;Pred;;630229;<LJW00;Cmpl;;;;;;;;;;;;;
435023;41062;Exodus 23:1;link;T#T ;;630646;>L&;Nega;;630647;T#T ;Pred;;630648;JDK ;Objc;;630649;<M&R#< ;Adju;;;;;;;;;
