clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
426874;1548;Genesis 3:19;link;#WBK ;qal;606035;<D #WBK ;PreS;;606036;>L&H>DMH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
426877;1561;Genesis 3:19;link;T#WB00;qal;606043;W;Conj;;606044;>L&<PR ;Cmpl;;606045;T#WB00;Pred;;;;;;;;;;;;;;;;;
427220;3591;Genesis 8:3;link;J#BW ;qal;607140;W;Conj;;607141;J#BW ;Pred;;607142;HMJM ;Subj;;607143;M<L H>RY ;Cmpl;;607144;HLWK W#WB ;Modi;;;;;;;;;
427229;3678;Genesis 8:7;link;#WB ;qal;607176;W;Conj;;607177;* JY> ;Pred;;607178;* JYW> W#WB ;Modi;;;;;;;;;;;;;;;;;
427235;3715;Genesis 8:9;link;T#B ;qal;607197;W;Conj;;607198;T#B ;Pred;;607199;>LJW ;Cmpl;;607200;>L&HTBH ;Cmpl;;;;;;;;;;;;;
427250;3794;Genesis 8:12;link;#WB&;qal;607249;#WB&;Pred;;607250;>LJW ;Cmpl;;607251;<WD00;Modi;;;;;;;;;;;;;;;;;
427678;6319;Genesis 14:7;link;J#BW ;qal;608598;W;Conj;;608599;J#BW ;Pred;;;;;;;;;;;;;;;;;;;;;
427709;6509;Genesis 14:16;link;J#B ;hif;608688;W;Conj;;608689;J#B ;Pred;;608690;>T KL&HRK# ;Objc;;;;;;;;;;;;;;;;;
427710;6521;Genesis 14:16;link;H#JB ;hif;608691;W;Conj;;608692;GM >T&LWV >XJW WRK#W WGM >T&HN#JM W>T&H<M00;Objc;;608693;H#JB ;Pred;;;;;;;;;;;;;;;;;
427713;6538;Genesis 14:17;link;#WBW ;qal;608698;>XRJ #WBW ;PreS;;;;;;;;;;;;;;;;;;;;;;;;;
427805;6931;Genesis 15:16;link;J#WBW ;qal;608962;W;Conj;;608963;DWR RBJ<J ;Subj;;608964;J#WBW ;Pred;;608965;HNH ;Cmpl;;;;;;;;;;;;;
427856;7203;Genesis 16:9;link;#WBJ ;qal;609117;#WBJ ;Pred;;609118;>L&GBRTK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
428008;7970;Genesis 18:10;link;#WB ;qal;609597;#WB ;Modi;;609598;>#WB ;Pred;;609599;>LJK ;Cmpl;;609600;K<T XJH ;Time;;;;;;;;;;;;;
428027;8051;Genesis 18:14;link;>#WB ;qal;609651;LMW<D ;Time;;609652;>#WB ;Pred;;609653;>LJK ;Cmpl;;609654;K<T XJH ;Time;;;;;;;;;;;;;
428120;8421;Genesis 18:33;link;#B ;qal;609916;W;Conj;;609917;>BRHM ;Subj;;609918;#B ;Pred;;609919;LMQMW00;Cmpl;;;;;;;;;;;;;
428328;9374;Genesis 20:7;link;H#B ;hif;610537;H#B ;Pred;;610538;>#T&H>J# ;Objc;;;;;;;;;;;;;;;;;;;;;
428332;9389;Genesis 20:7;link;M#JB ;hif;610547;W;Conj;;610548;>M&;Conj;;610549;>JNK ;NCoS;;610550;M#JB ;PreC;;;;;;;;;;;;;
428367;9547;Genesis 20:14;link;J#B ;hif;610659;W;Conj;;610660;J#B ;Pred;;610661;LW ;Cmpl;;610662;>T #RH >#TW00;Objc;;;;;;;;;;;;;
428497;10195;Genesis 21:32;link;J#BW ;qal;611078;W;Conj;;611079;J#BW ;Pred;;611080;>L&>RY PL#TJM00;Cmpl;;;;;;;;;;;;;;;;;
428527;10347;Genesis 22:5;link;N#WBH ;qal;611173;W;Conj;;611174;N#WBH ;Pred;;611175;>LJKM00;Cmpl;;;;;;;;;;;;;;;;;
428589;10635;Genesis 22:19;link;J#B ;qal;611360;W;Conj;;611361;J#B ;Pred;;611362;>BRHM ;Subj;;611363;>L&N<RJW ;Cmpl;;;;;;;;;;;;;
428693;11200;Genesis 24:5;link;H#B ;hif;611668;H;Ques;;611669;H#B ;Modi;;611670;>#JB ;Pred;;611671;>T&BNK ;Objc;;611672;>L&H>RY ;Cmpl;;;;;;;;;
428697;11218;Genesis 24:6;link;T#JB ;hif;611682;PN&;Conj;;611683;T#JB ;Pred;;611684;>T&BNJ ;Objc;;611685;#MH00;Cmpl;;;;;;;;;;;;;
428709;11283;Genesis 24:8;link;T#B ;hif;611721;RQ >T&BNJ ;Objc;;611722;L> ;Nega;;611723;T#B ;Pred;;611724;#MH00;Cmpl;;;;;;;;;;;;;
429159;13304;Genesis 26:18;link;J#B ;qal;613018;W;Conj;;613019;J#B ;Pred;;613020;JYXQ ;Subj;;;;;;;;;;;;;;;;;
429453;14445;Genesis 27:44;link;T#WB ;qal;613848;<D >#R&;Conj;;613849;T#WB ;Pred;;613850;XMT >XJK00;Subj;;;;;;;;;;;;;;;;;
429454;14449;Genesis 27:45;link;#WB ;qal;613851;<D&#WB ;Pred;;613852;>P&>XJK ;Subj;;613853;MMK ;Cmpl;;;;;;;;;;;;;;;;;
429521;14789;Genesis 28:15;link;H#BTJK ;hif;614068;W;Conj;;614069;H#BTJK ;PreO;;614070;>L&H>DMH HZ>T ;Cmpl;;;;;;;;;;;;;;;;;
429550;14918;Genesis 28:21;link;#BTJ ;qal;614155;W;Conj;;614156;#BTJ ;Pred;;614157;B#LWM ;Adju;;614158;>L&BJT >BJ ;Cmpl;;;;;;;;;;;;;
429567;15013;Genesis 29:3;link;H#JBW ;hif;614217;W;Conj;;614218;H#JBW ;Pred;;614219;>T&H>BN ;Objc;;614220;<L&PJ HB>R ;Cmpl;;614221;LMQMH00;Loca;;;;;;;;;
429823;16088;Genesis 30:31;link;>#WBH ;qal;615027;>#WBH ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
429879;16425;Genesis 31:3;link;#WB ;qal;615196;#WB ;Pred;;615197;>L&>RY >BWTJK WLMWLDTK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
429923;16617;Genesis 31:13;link;#WB ;qal;615333;W;Conj;;615334;#WB ;Pred;;615335;>L&>RY MWLDTK00;Cmpl;;;;;;;;;;;;;;;;;
430103;17449;Genesis 32:1;link;J#B ;qal;615882;W;Conj;;615883;J#B ;Pred;;615884;LBN ;Subj;;615885;LMQMW00;Cmpl;;;;;;;;;;;;;
