clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
427253;3821;Genesis 8:13;link;JSR ;hif;607260;W;Conj;;607261;JSR ;Pred;;607262;NX ;Subj;;607263;>T&MKSH HTBH ;Objc;;;;;;;;;;;;;
428131;8455;Genesis 19:2;link;SWRW ;qal;609944;SWRW ;Pred;;609945;N> ;Intj;;609946;>L&BJT <BDKM ;Cmpl;;;;;;;;;;;;;;;;;
428140;8484;Genesis 19:3;link;JSRW ;qal;609967;W;Conj;;609968;JSRW ;Pred;;609969;>LJW ;Cmpl;;;;;;;;;;;;;;;;;
429827;16098;Genesis 30:32;link;HSR ;hif;615034;HSR ;Pred;;615035;M#M ;Cmpl;;615036;KL&#H NQD WVLW> WKL&#H&XWM BK#BJM WVLW> WNQD B<ZJM ;Objc;;;;;;;;;;;;;;;;;
429837;16162;Genesis 30:35;link;JSR ;hif;615063;W;Conj;;615064;JSR ;Pred;;615065;BJWM HHW> ;Time;;615066;>T&HTJ#JM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BK#BJM ;Objc;;;;;;;;;;;;;
430451;19081;Genesis 35:2;link;HSRW ;hif;616898;HSRW ;Pred;;616899;>T&>LHJ HNKR ;Objc;;;;;;;;;;;;;;;;;;;;;
430872;21062;Genesis 38:14;link;TSR ;hif;618143;W;Conj;;618144;TSR ;Pred;;618145;BGDJ >LMNWTH ;Objc;;618146;M<LJH ;Cmpl;;;;;;;;;;;;;
430908;21179;Genesis 38:19;link;TSR ;hif;618238;W;Conj;;618239;TSR ;Pred;;618240;Y<JPH ;Objc;;618241;M<LJH ;Cmpl;;;;;;;;;;;;;
431295;23098;Genesis 41:42;link;JSR ;hif;619418;W;Conj;;619419;JSR ;Pred;;619420;PR<H ;Subj;;619421;>T&VB<TW ;Objc;;619422;M<L JDW ;Cmpl;;;;;;;;;
432291;27656;Genesis 48:17;link;HSJR ;hif;622400;LHSJR ;Pred;;622401;>TH ;Objc;;622402;M<L R>#&>PRJM ;Cmpl;;622403;<L&R># MN#H00;Cmpl;;;;;;;;;;;;;
432359;27902;Genesis 49:10;link;JSWR ;qal;622569;L>&;Nega;;622570;JSWR ;Pred;;622571;#BV ;Subj;;622572;MJHWDH ;Cmpl;;;;;;;;;;;;;
432747;29674;Exodus 3:3;link;>SRH&;qal;623694;>SRH&;Pred;;623695;N> ;Intj;;;;;;;;;;;;;;;;;;;;;
432751;29694;Exodus 3:4;link;SR ;qal;623706;KJ ;Conj;;623707;SR ;Pred;;;;;;;;;;;;;;;;;;;;;
433331;32461;Exodus 8:4;link;JSR ;hif;625413;W;Conj;;625414;JSR ;Pred;;625415;HYPRD<JM ;Objc;;625416;MMNJ WM<MJ ;Cmpl;;;;;;;;;;;;;
433345;32523;Exodus 8:7;link;SRW ;qal;625448;W;Conj;;625449;SRW ;Pred;;625450;HYPRD<JM ;Subj;;625451;MMK WMBTJK WM<BDJK WM<MK ;Cmpl;;;;;;;;;;;;;
433425;32943;Exodus 8:25;link;SR ;qal;625700;W;Conj;;625701;SR ;Pred;;625702;H<RB ;Subj;;625703;MPR<H M<BDJW WM<MW ;Cmpl;;625704;MXR ;Time;;;;;;;;;
433433;32986;Exodus 8:27;link;JSR ;qal;625725;W;Conj;;625726;JSR ;Pred;;625727;H<RB ;Subj;;625728;MPR<H M<BDJW WM<MW ;Cmpl;;;;;;;;;;;;;
433659;34227;Exodus 10:17;link;JSR ;hif;626435;W;Conj;;626436;JSR ;Pred;;626437;M<LJ ;Cmpl;;626438;RQ >T&HMWT HZH00;Objc;;;;;;;;;;;;;
434108;36736;Exodus 14:25;link;JSR ;hif;627879;W;Conj;;627880;JSR ;Pred;;627881;>T >PN MRKBTJW ;Objc;;;;;;;;;;;;;;;;;
435104;41454;Exodus 23:25;link;HSRTJ ;hif;630902;W;Conj;;630903;HSRTJ ;Pred;;630904;MXLH ;Objc;;630905;MQRBK00;Loca;;;;;;;;;;;;;
435226;42177;Exodus 25:15;link;JSRW ;qal;631292;L> ;Nega;;631293;JSRW ;Pred;;631294;MMNW00;Cmpl;;;;;;;;;;;;;;;;;
