clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
427216;3565;Genesis 8:1;link;J<BR ;hif;607125;W;Conj;;607126;J<BR ;Pred;;607127;>LHJM ;Subj;;607128;RWX ;Objc;;607129;<L&H>RY ;Cmpl;;;;;;;;;;;;;
430192;17913;Genesis 32:24;link;J<BRM ;hif;616138;W;Conj;;616139;J<BRM ;PreO;;616140;>T&HNXL ;Objc;Cmpl;;;;;;;;;;;;;;;;;;;;
430193;17918;Genesis 32:24;link;J<BR ;hif;616141;W;Conj;;616142;J<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
432168;27049;Genesis 47:21;link;H<BJR ;hif;622010;H<BJR ;Pred;;622011;>TW ;Objc;;622012;L<RJM MQYH GBWL&MYRJM W<D&QYHW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
433963;35979;Exodus 13:12;link;H<BRT ;hif;627420;W;Conj;;627421;H<BRT ;Pred;;627422;KL&PVR&RXM ;Objc;;627423;LJHWH ;Cmpl;Adju;;;;;;;;;;;;;;;;
436168;47682;Exodus 33:19;link;><BJR ;hif;634161;>NJ ;Subj;;634162;><BJR ;Pred;;634163;KL&VWBJ ;Objc;;634164;<L&PNJK ;Cmpl;;;;;;;;;;;;;;;;;
436432;49302;Exodus 36:6;link;J<BJRW ;hif;634938;W;Conj;;634939;J<BJRW ;Pred;;634940;QWL ;Objc;;634941;BMXNH ;Cmpl;;;;;;;;;;;;;;;;;
438790;63642;Leviticus 18:21;link;H<BJR ;hif;642319;LH<BJR ;Pred;;642320;LMLK ;Cmpl;Adju;;;;;;;;;;;;;;;;;;;;;;;;
439501;67304;Leviticus 25:9;link;H<BRT ;hif;644455;W;Conj;;644456;H<BRT ;Pred;;644457;#WPR TRW<H ;Objc;;644458;BXD# H#B<J B<#WR LXD# ;Time;;;;;;;;;;;;;;;;;
439502;67322;Leviticus 25:9;link;T<BJRW ;hif;644459;BJWM HKPRJM ;Time;;644460;T<BJRW ;Pred;;644461;#WPR ;Objc;;644462;BKL&>RYKM00;Cmpl;;;;;;;;;;;;;;;;;
440782;75339;Numbers 8:7;link;H<BJRW ;hif;648284;W;Conj;;648285;H<BJRW ;Pred;;648286;T<R ;Objc;;648287;<L&KL&B#RM ;Cmpl;;;;;;;;;;;;;;;;;
