cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427537;3;-1;Genesis;1;1;BR>;qal;BR> ;B R>CJT BR> >LHJM >T H CMJM W >T H >RY ;;;;;;;;;;;
427537;3;651282;Genesis;1;1;BR>;qal;;B R>CJT ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427537;3;651283;Genesis;1;1;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427537;3;651284;Genesis;1;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427537;3;651285;Genesis;1;1;BR>;qal;;>T H CMJM W >T H >RY ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427610;381;-1;Genesis;1;21;BR>;qal;JBR> ;W JBR> >LHJM >T H TNJNM H GDLJM W >T KL NPC L MJNHM ;;;;;;;;;;;
427610;381;651500;Genesis;1;21;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427610;381;651501;Genesis;1;21;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
427610;381;651502;Genesis;1;21;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427610;381;651503;Genesis;1;21;BR>;qal;;>T H TNJNM H GDLJM W >T KL NPC ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427610;381;651511;Genesis;1;21;BR>;qal;;L MJNHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427639;535;-1;Genesis;1;27;BR>;qal;JBR> ;W JBR> >LHJM >T H >DM B YLMW ;;;;;;;;;;;
427639;535;651583;Genesis;1;27;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427639;535;651584;Genesis;1;27;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
427639;535;651585;Genesis;1;27;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427639;535;651586;Genesis;1;27;BR>;qal;;>T H >DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427639;535;651587;Genesis;1;27;BR>;qal;;B YLMW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427640;545;-1;Genesis;1;27;BR>;qal;BR> ;B YLM >LHJM BR> >TW ;;;;;;;;;;;
427640;545;651588;Genesis;1;27;BR>;qal;;B YLM >LHJM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427640;545;651589;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427640;545;651590;Genesis;1;27;BR>;qal;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427641;550;-1;Genesis;1;27;BR>;qal;BR> ;ZKR W NQBH BR> >TM ;;;;;;;;;;;
427641;550;651591;Genesis;1;27;BR>;qal;;ZKR W NQBH ;phrase;;;AdjP;PrAd;adjunct;NA;NA;;;
427641;550;651592;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427641;550;651593;Genesis;1;27;BR>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427674;724;-1;Genesis;2;3;BR>;qal;BR> ;>CR BR> >LHJM ;;;;;;;;;;;
427674;724;651689;Genesis;2;3;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427674;724;651690;Genesis;2;3;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427674;724;651691;Genesis;2;3;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427674;724;427675;Genesis;2;3;BR>;qal;;L <FWT ;clause;InfC;Adju;;;NA;NA;;;;
427677;736;-1;Genesis;2;4;BR>;nif;HBR>M ;B HBR>M ;;;;;;;;;;;
427677;736;651695;Genesis;2;4;BR>;nif;;B HBR>M ;phrase;;;VP;PreS;core;regular;subject;;;
427965;2126;-1;Genesis;5;1;BR>;qal;BR> ;B JWM BR> >LHJM >DM ;;;;;;;;;;;
427965;2126;652563;Genesis;5;1;BR>;qal;;B JWM BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427965;2126;652564;Genesis;5;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427965;2126;652565;Genesis;5;1;BR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427967;2137;-1;Genesis;5;2;BR>;qal;BR>M ;ZKR W NQBH BR>M ;;;;;;;;;;;
427967;2137;652569;Genesis;5;2;BR>;qal;;ZKR W NQBH ;phrase;;;AdjP;PrAd;adjunct;NA;NA;;;
427967;2137;652570;Genesis;5;2;BR>;qal;;BR>M ;phrase;;;VP;PreO;core;regular;direct_object;;;
427970;2148;-1;Genesis;5;2;BR>;nif;HBR>M ;HBR>M ;;;;;;;;;;;
427970;2148;652579;Genesis;5;2;BR>;nif;;HBR>M ;phrase;;;VP;PreS;core;regular;subject;;;
428071;2740;-1;Genesis;6;7;BR>;qal;BR>TJ ;>CR BR>TJ ;;;;;;;;;;;
428071;2740;652900;Genesis;6;7;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428071;2740;652901;Genesis;6;7;BR>;qal;;BR>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
437199;47983;-1;Exodus;34;10;BR>;nif;NBR>W ;>CR L> NBR>W B KL H >RY W B KL H GWJM ;;;;;;;;;;;
437199;47983;680500;Exodus;34;10;BR>;nif;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
437199;47983;680501;Exodus;34;10;BR>;nif;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
437199;47983;680502;Exodus;34;10;BR>;nif;;NBR>W ;phrase;;;VP;Pred;core;regular;NA;;;
437199;47983;680503;Exodus;34;10;BR>;nif;;B KL H >RY W B KL H GWJM ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
442737;80615;-1;Numbers;16;30;BR>;qal;JBR> ;W >M BRJ>H JBR> JHWH ;;;;;;;;;;;
442737;80615;697466;Numbers;16;30;BR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
442737;80615;697467;Numbers;16;30;BR>;qal;;>M ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
442737;80615;697468;Numbers;16;30;BR>;qal;;BRJ>H ;phrase;;;NP;Objc;complement;NA;direct_object;;;
442737;80615;697469;Numbers;16;30;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
442737;80615;697470;Numbers;16;30;BR>;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
445427;95890;-1;Deuteronomy;4;32;BR>;qal;BR> ;>CR BR> >LHJM >DM <L H >RY ;;;;;;;;;;;
445427;95890;705656;Deuteronomy;4;32;BR>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
