cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427732;1030;-1;Genesis;2;19;BW>;hif;JB> ;W JB> >L H >DM ;;;;;;;;;;;
427732;1030;651855;Genesis;2;19;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427732;1030;651856;Genesis;2;19;BW>;hif;;JB> ;phrase;;;VP;Pred;core;regular;NA;;;
427732;1030;651857;Genesis;2;19;BW>;hif;;>L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427732;1030;427733;Genesis;2;19;BW>;hif;;L R>WT ;clause;InfC;Adju;;;NA;NA;;;;
427746;1112;-1;Genesis;2;22;BW>;hif;JB>H ;W JB>H >L H >DM ;;;;;;;;;;;
427746;1112;651903;Genesis;2;22;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427746;1112;651904;Genesis;2;22;BW>;hif;;JB>H ;phrase;;;VP;PreO;core;regular;direct_object;;;
427746;1112;651905;Genesis;2;22;BW>;hif;;>L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427875;1710;-1;Genesis;4;3;BW>;hif;JB> ;W JB> QJN M PRJ H >DMH MNXH L JHWH ;;;;;;;;;;;
427875;1710;652281;Genesis;4;3;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427875;1710;652282;Genesis;4;3;BW>;hif;;JB> ;phrase;;;VP;Pred;core;regular;NA;;;
427875;1710;652283;Genesis;4;3;BW>;hif;;QJN ;phrase;;;PrNP;Subj;core;NA;subject;;;
427875;1710;652284;Genesis;4;3;BW>;hif;;M PRJ H >DMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427875;1710;652285;Genesis;4;3;BW>;hif;;MNXH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427875;1710;652286;Genesis;4;3;BW>;hif;;L JHWH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427876;1721;-1;Genesis;4;4;BW>;hif;HBJ> ;W HBL HBJ> GM HW> M BKRWT Y>NW W M XLBHN ;;;;;;;;;;;
427876;1721;652287;Genesis;4;4;BW>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427876;1721;652288;Genesis;4;4;BW>;hif;;HBL GM HW> ;phrase;;;PrNP;Subj;core;NA;subject;;;
427876;1721;652289;Genesis;4;4;BW>;hif;;HBJ> ;phrase;;;VP;Pred;core;regular;NA;;;
427876;1721;652290;Genesis;4;4;BW>;hif;;M BKRWT Y>NW W M XLBHN ;phrase;;;PP;Cmpl;complement;NA;*;;;
428058;2676;-1;Genesis;6;4;BW>;qal;JB>W ;>CR JB>W BNJ H >LHJM >L BNWT H >DM ;;;;;;;;;;;
428058;2676;652861;Genesis;6;4;BW>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428058;2676;652862;Genesis;6;4;BW>;qal;;JB>W ;phrase;;;VP;Pred;core;regular;NA;;;
428058;2676;652863;Genesis;6;4;BW>;qal;;BNJ H >LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
