cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427823;1458;-1;Genesis;3;15;CJT;qal;>CJT ;W >JBH >CJT BJNK W BJN H >CH W BJN ZR<K W BJN ZR<H ;;;;;;;;;;;
427823;1458;652126;Genesis;3;15;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427823;1458;652127;Genesis;3;15;CJT;qal;;>JBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427823;1458;652128;Genesis;3;15;CJT;qal;;>CJT ;phrase;;;VP;Pred;core;regular;NA;;;
427823;1458;652129;Genesis;3;15;CJT;qal;;BJNK W BJN H >CH W BJN ZR<K W BJN ZR<H ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427958;2091;-1;Genesis;4;25;CJT;qal;CT ;KJ CT LJ >LHJM ZR< >XR TXT HBL ;;;;;;;;;;;
427958;2091;652540;Genesis;4;25;CJT;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427958;2091;652541;Genesis;4;25;CJT;qal;;CT ;phrase;;;VP;Pred;core;regular;NA;;;
427958;2091;652542;Genesis;4;25;CJT;qal;;LJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427958;2091;652543;Genesis;4;25;CJT;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427958;2091;652544;Genesis;4;25;CJT;qal;;ZR< >XR ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427958;2091;652545;Genesis;4;25;CJT;qal;;TXT HBL ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430826;16305;-1;Genesis;30;40;CJT;qal;JCT ;W JCT LW <DRJM L BDW ;;;;;;;;;;;
430826;16305;661275;Genesis;30;40;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430826;16305;661276;Genesis;30;40;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
430826;16305;661277;Genesis;30;40;CJT;qal;;LW ;phrase;;;PP;Supp;adjunct;NA;NA;;;benefactive
430826;16305;661278;Genesis;30;40;CJT;qal;;<DRJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
430826;16305;661279;Genesis;30;40;CJT;qal;;L BDW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
430827;16312;-1;Genesis;30;40;CJT;qal;CTM ;W L> CTM <L Y>N LBN ;;;;;;;;;;;
430827;16312;661280;Genesis;30;40;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430827;16312;661281;Genesis;30;40;CJT;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
430827;16312;661282;Genesis;30;40;CJT;qal;;CTM ;phrase;;;VP;PreO;core;regular;direct_object;;;
430827;16312;661283;Genesis;30;40;CJT;qal;;<L Y>N LBN ;phrase;;;PP;Cmpl;complement;NA;*;;;
432239;22953;-1;Genesis;41;33;CJT;qal;JCJTHW ;W JCJTHW <L >RY MYRJM ;;;;;;;;;;;
432239;22953;665485;Genesis;41;33;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432239;22953;665486;Genesis;41;33;CJT;qal;;JCJTHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
432239;22953;665487;Genesis;41;33;CJT;qal;;<L >RY MYRJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432965;26055;-1;Genesis;46;4;CJT;qal;JCJT ;W JWSP JCJT JDW <L <JNJK ;;;;;;;;;;;
432965;26055;667629;Genesis;46;4;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432965;26055;667630;Genesis;46;4;CJT;qal;;JWSP ;phrase;;;PrNP;Subj;core;NA;subject;;;
432965;26055;667631;Genesis;46;4;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
432965;26055;667632;Genesis;46;4;CJT;qal;;JDW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432965;26055;667633;Genesis;46;4;CJT;qal;;<L <JNJK ;phrase;;;PP;Cmpl;complement;NA;*;;;
433240;27557;-1;Genesis;48;14;CJT;qal;JCT ;W JCT <L R>C >PRJM ;;;;;;;;;;;
433240;27557;668489;Genesis;48;14;CJT;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433240;27557;668490;Genesis;48;14;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
433240;27557;668491;Genesis;48;14;CJT;qal;;<L R>C >PRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
433256;27640;-1;Genesis;48;17;CJT;qal;JCJT ;KJ JCJT >BJW JD JMJNW <L R>C >PRJM ;;;;;;;;;;;
433256;27640;668537;Genesis;48;17;CJT;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433256;27640;668538;Genesis;48;17;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
433256;27640;668539;Genesis;48;17;CJT;qal;;>BJW ;phrase;;;NP;Subj;core;NA;subject;;;
433256;27640;668540;Genesis;48;17;CJT;qal;;JD JMJNW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
433256;27640;668541;Genesis;48;17;CJT;qal;;<L R>C >PRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
