cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427842;1548;-1;Genesis;3;19;CWB;qal;CWBK ;<D CWBK >L H >DMH ;;;;;;;;;;;
427842;1548;652183;Genesis;3;19;CWB;qal;;<D CWBK ;phrase;;;VP;PreS;core;regular;subject;;;
427842;1548;652184;Genesis;3;19;CWB;qal;;>L H >DMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427845;1561;-1;Genesis;3;19;CWB;qal;TCWB ;W >L <PR TCWB ;;;;;;;;;;;
427845;1561;652191;Genesis;3;19;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427845;1561;652192;Genesis;3;19;CWB;qal;;>L <PR ;phrase;;;PP;Cmpl;complement;NA;*;;;
427845;1561;652193;Genesis;3;19;CWB;qal;;TCWB ;phrase;;;VP;Pred;core;regular;NA;;;
428188;3591;-1;Genesis;8;3;CWB;qal;JCBW ;W JCBW H MJM M <L H >RY HLWK W CWB ;;;;;;;;;;;
428188;3591;653288;Genesis;8;3;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428188;3591;653289;Genesis;8;3;CWB;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
428188;3591;653290;Genesis;8;3;CWB;qal;;H MJM ;phrase;;;NP;Subj;core;NA;subject;;;
428188;3591;653291;Genesis;8;3;CWB;qal;;M <L H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428188;3591;653292;Genesis;8;3;CWB;qal;;HLWK W CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428197;3678;-1;Genesis;8;7;CWB;qal;CWB ;W JY> JYW> W CWB ;;;;;;;;;;;
428197;3678;653324;Genesis;8;7;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428197;3678;653325;Genesis;8;7;CWB;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428197;3678;653326;Genesis;8;7;CWB;qal;;JYW> W CWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428197;3678;428198;Genesis;8;7;CWB;qal;;<D JBCT H MJM M <L H >RY ;clause;InfC;Adju;;;NA;NA;;;;
428203;3715;-1;Genesis;8;9;CWB;qal;TCB ;W TCB >LJW >L H TBH ;;;;;;;;;;;
428203;3715;653345;Genesis;8;9;CWB;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428203;3715;653346;Genesis;8;9;CWB;qal;;TCB ;phrase;;;VP;Pred;core;regular;NA;;;
428203;3715;653347;Genesis;8;9;CWB;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
