cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427691;825;-1;Genesis;2;8;FJM;qal;JFM ;W JFM CM >T H >DM ;;;;;;;;;;;
427691;825;651745;Genesis;2;8;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427691;825;651746;Genesis;2;8;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427691;825;651747;Genesis;2;8;FJM;qal;;CM ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427691;825;651748;Genesis;2;8;FJM;qal;;>T H >DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427923;1918;-1;Genesis;4;15;FJM;qal;JFM ;W JFM JHWH L QJN >WT ;;;;;;;;;;;
427923;1918;652426;Genesis;4;15;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427923;1918;652427;Genesis;4;15;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427923;1918;652428;Genesis;4;15;FJM;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
427923;1918;652429;Genesis;4;15;FJM;qal;;L QJN ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427923;1918;652430;Genesis;4;15;FJM;qal;;>WT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427923;1918;427924;Genesis;4;15;FJM;qal;;L BLTJ HKWT >TW KL MY>W ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428098;2907;-1;Genesis;6;16;FJM;qal;TFJM ;W PTX H TBH B YDH TFJM ;;;;;;;;;;;
428098;2907;652992;Genesis;6;16;FJM;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428098;2907;652993;Genesis;6;16;FJM;qal;;PTX H TBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428098;2907;652994;Genesis;6;16;FJM;qal;;B YDH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428098;2907;652995;Genesis;6;16;FJM;qal;;TFJM ;phrase;;;VP;Pred;core;regular;NA;;;
