cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427713;935;-1;Genesis;2;14;HLK;qal;HLK ;H HLK QDMT >CWR ;;;;;;;;;;;
427713;935;651803;Genesis;2;14;HLK;qal;;H ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427713;935;651804;Genesis;2;14;HLK;qal;;HLK ;phrase;;;VP;PreC;core;regular;NA;;;
427713;935;651805;Genesis;2;14;HLK;qal;;QDMT >CWR ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427792;1321;-1;Genesis;3;8;HLK;hit;MTHLK ;MTHLK B  GN L RWX H JWM ;;;;;;;;;;;
427792;1321;652041;Genesis;3;8;HLK;hit;;MTHLK ;phrase;;;VP;PreC;core;regular;NA;;;
427792;1321;652042;Genesis;3;8;HLK;hit;;B  GN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427792;1321;652043;Genesis;3;8;HLK;hit;;L RWX H JWM ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427821;1449;-1;Genesis;3;14;HLK;qal;TLK ;<L GXNK TLK ;;;;;;;;;;;
427821;1449;652120;Genesis;3;14;HLK;qal;;<L GXNK ;phrase;;;PP;Cmpl;complement;NA;*;;;
427821;1449;652121;Genesis;3;14;HLK;qal;;TLK ;phrase;;;VP;Pred;core;regular;NA;;;
428017;2424;-1;Genesis;5;22;HLK;hit;JTHLK ;W JTHLK XNWK >T H >LHJM CLC M>WT CNH ;;;;;;;;;;;
428017;2424;652726;Genesis;5;22;HLK;hit;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428017;2424;652727;Genesis;5;22;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428017;2424;652728;Genesis;5;22;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
428017;2424;652729;Genesis;5;22;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428017;2424;652732;Genesis;5;22;HLK;hit;;CLC M>WT CNH ;phrase;;;NP;Time;adjunct;NA;NA;;time;time
428017;2424;428018;Genesis;5;22;HLK;hit;;>XRJ HWLJDW >T MTWCLX ;clause;InfC;Adju;;;NA;NA;;;;
428021;2455;-1;Genesis;5;24;HLK;hit;JTHLK ;W JTHLK XNWK >T H >LHJM ;;;;;;;;;;;
428021;2455;652740;Genesis;5;24;HLK;hit;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428021;2455;652741;Genesis;5;24;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428021;2455;652742;Genesis;5;24;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
428021;2455;652743;Genesis;5;24;HLK;hit;;>T H >LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
