cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428412;5043;-1;Genesis;11;5;JRD;qal;JRD ;W JRD JHWH ;;;;;;;;;;;
428412;5043;653997;Genesis;11;5;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428412;5043;653998;Genesis;11;5;JRD;qal;;JRD ;phrase;;;VP;Pred;core;regular;NA;;;
428412;5043;653999;Genesis;11;5;JRD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
428412;5043;428413;Genesis;11;5;JRD;qal;;L R>T >T H <JR W >T H MGDL ;clause;InfC;Adju;;;NA;NA;;;;
428425;5086;-1;Genesis;11;7;JRD;qal;NRDH ;NRDH ;;;;;;;;;;;
428425;5086;654027;Genesis;11;7;JRD;qal;;NRDH ;phrase;;;VP;Pred;core;regular;NA;;;
428530;5680;-1;Genesis;12;10;JRD;qal;JRD ;W JRD >BRM MYRJMH ;;;;;;;;;;;
428530;5680;654372;Genesis;12;10;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428530;5680;654373;Genesis;12;10;JRD;qal;;JRD ;phrase;;;VP;Pred;core;regular;NA;;;
428530;5680;654374;Genesis;12;10;JRD;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428530;5680;654375;Genesis;12;10;JRD;qal;;MYRJMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428530;5680;428531;Genesis;12;10;JRD;qal;;L GWR CM ;clause;InfC;Adju;;;NA;NA;;;;
428756;6851;-1;Genesis;15;11;JRD;qal;JRD ;W JRD H <JV <L H PGRJM ;;;;;;;;;;;
428756;6851;655054;Genesis;15;11;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428756;6851;655055;Genesis;15;11;JRD;qal;;JRD ;phrase;;;VP;Pred;core;regular;NA;;;
428756;6851;655056;Genesis;15;11;JRD;qal;;H <JV ;phrase;;;NP;Subj;core;NA;subject;;;
428756;6851;655057;Genesis;15;11;JRD;qal;;<L H PGRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
429024;8162;-1;Genesis;18;21;JRD;qal;>RDH ;>RDH N> ;;;;;;;;;;;
429024;8162;655877;Genesis;18;21;JRD;qal;;>RDH ;phrase;;;VP;Pred;core;regular;NA;;;
429024;8162;655878;Genesis;18;21;JRD;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
429714;11454;-1;Genesis;24;16;JRD;qal;TRD ;W TRD H <JNH ;;;;;;;;;;;
429714;11454;657974;Genesis;24;16;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429714;11454;657975;Genesis;24;16;JRD;qal;;TRD ;phrase;;;VP;Pred;core;regular;NA;;;
429714;11454;657976;Genesis;24;16;JRD;qal;;H <JNH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
429725;11483;-1;Genesis;24;18;JRD;hif;TRD ;W TRD KDH <L JDH ;;;;;;;;;;;
429725;11483;657998;Genesis;24;18;JRD;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429725;11483;657999;Genesis;24;18;JRD;hif;;TRD ;phrase;;;VP;Pred;core;regular;NA;;;
429725;11483;658000;Genesis;24;18;JRD;hif;;KDH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429725;11483;658001;Genesis;24;18;JRD;hif;;<L JDH ;phrase;;;PP;Cmpl;complement;NA;*;;;
429844;11994;-1;Genesis;24;45;JRD;qal;TRD ;W TRD H <JNH ;;;;;;;;;;;
429844;11994;658334;Genesis;24;45;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429844;11994;658335;Genesis;24;45;JRD;qal;;TRD ;phrase;;;VP;Pred;core;regular;NA;;;
429844;11994;658336;Genesis;24;45;JRD;qal;;H <JNH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
429849;12007;-1;Genesis;24;46;JRD;hif;TWRD ;W TWRD KDH M <LJH ;;;;;;;;;;;
429849;12007;658346;Genesis;24;46;JRD;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429849;12007;658347;Genesis;24;46;JRD;hif;;TWRD ;phrase;;;VP;Pred;core;regular;NA;;;
429849;12007;658348;Genesis;24;46;JRD;hif;;KDH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429849;12007;658349;Genesis;24;46;JRD;hif;;M <LJH ;phrase;;;PP;Cmpl;complement;NA;*;;;
430065;13010;-1;Genesis;26;2;JRD;qal;TRD ;>L TRD MYRJMH ;;;;;;;;;;;
430065;13010;658974;Genesis;26;2;JRD;qal;;>L ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
430065;13010;658975;Genesis;26;2;JRD;qal;;TRD ;phrase;;;VP;Pred;core;regular;NA;;;
430065;13010;658976;Genesis;26;2;JRD;qal;;MYRJMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
430475;14724;-1;Genesis;28;12;JRD;qal;JRDJM ;W JRDJM BW ;;;;;;;;;;;
430475;14724;660175;Genesis;28;12;JRD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430475;14724;660176;Genesis;28;12;JRD;qal;;JRDJM ;phrase;;;VP;PreC;core;regular;NA;;;
