cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427578;205;-1;Genesis;1;12;JY>;hif;TWY> ;W TWY> H >RY DC> <FB W <Y ;;;;;;;;;;;
427578;205;651411;Genesis;1;12;JY>;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427578;205;651412;Genesis;1;12;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
427578;205;651413;Genesis;1;12;JY>;hif;;H >RY ;phrase;;;NP;Subj;core;NA;subject;;;
427578;205;651414;Genesis;1;12;JY>;hif;;DC> <FB W <Y ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427627;449;-1;Genesis;1;24;JY>;hif;TWY> ;TWY> H >RY NPC XJH L MJNH ;;;;;;;;;;;
427627;449;651545;Genesis;1;24;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
427627;449;651546;Genesis;1;24;JY>;hif;;H >RY ;phrase;;;NP;Subj;core;NA;subject;;;
427627;449;651547;Genesis;1;24;JY>;hif;;NPC XJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427627;449;651548;Genesis;1;24;JY>;hif;;L MJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427698;865;-1;Genesis;2;10;JY>;qal;JY> ;W NHR JY> M <DN ;;;;;;;;;;;
427698;865;651766;Genesis;2;10;JY>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427698;865;651767;Genesis;2;10;JY>;qal;;NHR ;phrase;;;NP;Subj;core;NA;subject;;;
427698;865;651768;Genesis;2;10;JY>;qal;;JY> ;phrase;;;VP;PreC;core;regular;NA;;;
427698;865;651769;Genesis;2;10;JY>;qal;;M <DN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427698;865;427699;Genesis;2;10;JY>;qal;;L HCQWT >T H GN ;clause;InfC;Adju;;;NA;NA;;;;
427925;1930;-1;Genesis;4;16;JY>;qal;JY> ;W JY> QJN M L PNJ JHWH ;;;;;;;;;;;
