cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427913;1879;-1;Genesis;4;13;NF>;qal;NF> ;M NF> ;;;;;;;;;;;
427913;1879;652400;Genesis;4;13;NF>;qal;;M NF> ;phrase;;;VP;Pred;core;regular;NA;;;
428160;3386;-1;Genesis;7;17;NF>;qal;JF>W ;W JF>W >T H TBH ;;;;;;;;;;;
428160;3386;653194;Genesis;7;17;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428160;3386;653195;Genesis;7;17;NF>;qal;;JF>W ;phrase;;;VP;Pred;core;regular;NA;;;
428160;3386;653196;Genesis;7;17;NF>;qal;;>T H TBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428584;5955;-1;Genesis;13;6;NF>;qal;NF> ;W L> NF> >TM H >RY ;;;;;;;;;;;
428584;5955;654550;Genesis;13;6;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428584;5955;654551;Genesis;13;6;NF>;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428584;5955;654552;Genesis;13;6;NF>;qal;;NF> ;phrase;;;VP;Pred;core;regular;NA;;;
428584;5955;654553;Genesis;13;6;NF>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428584;5955;654554;Genesis;13;6;NF>;qal;;H >RY ;phrase;;;NP;Subj;core;NA;subject;;;
428584;5955;428585;Genesis;13;6;NF>;qal;;L CBT JXDW ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428600;6040;-1;Genesis;13;10;NF>;qal;JF> ;W JF> LWV >T <JNJW ;;;;;;;;;;;
428600;6040;654603;Genesis;13;10;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428600;6040;654604;Genesis;13;10;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
428600;6040;654605;Genesis;13;10;NF>;qal;;LWV ;phrase;;;PrNP;Subj;core;NA;subject;;;
428600;6040;654606;Genesis;13;10;NF>;qal;;>T <JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428615;6126;-1;Genesis;13;14;NF>;qal;F> ;F> N> <JNJK ;;;;;;;;;;;
428615;6126;654655;Genesis;13;14;NF>;qal;;F> ;phrase;;;VP;Pred;core;regular;NA;;;
428615;6126;654656;Genesis;13;14;NF>;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428615;6126;654657;Genesis;13;14;NF>;qal;;<JNJK ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428935;7819;-1;Genesis;18;2;NF>;qal;JF> ;W JF> <JNJW ;;;;;;;;;;;
428935;7819;655634;Genesis;18;2;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428935;7819;655635;Genesis;18;2;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
428935;7819;655636;Genesis;18;2;NF>;qal;;<JNJW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429039;8218;-1;Genesis;18;24;NF>;qal;TF> ;W L> TF> L  MQWM LM<N XMCJM H YDJQM ;;;;;;;;;;;
429039;8218;655921;Genesis;18;24;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429039;8218;655922;Genesis;18;24;NF>;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
429039;8218;655923;Genesis;18;24;NF>;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
429039;8218;655924;Genesis;18;24;NF>;qal;;L  MQWM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429039;8218;655925;Genesis;18;24;NF>;qal;;LM<N XMCJM H YDJQM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429049;8275;-1;Genesis;18;26;NF>;qal;NF>TJ ;W NF>TJ L KL H MQWM B <BWRM ;;;;;;;;;;;
429049;8275;655954;Genesis;18;26;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429049;8275;655955;Genesis;18;26;NF>;qal;;NF>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
429049;8275;655956;Genesis;18;26;NF>;qal;;L KL H MQWM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429049;8275;655957;Genesis;18;26;NF>;qal;;B <BWRM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429201;8895;-1;Genesis;19;21;NF>;qal;NF>TJ ;HNH NF>TJ PNJK GM L  DBR H ZH ;;;;;;;;;;;
429201;8895;656387;Genesis;19;21;NF>;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
429201;8895;656388;Genesis;19;21;NF>;qal;;NF>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
429201;8895;656389;Genesis;19;21;NF>;qal;;PNJK ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
429201;8895;656390;Genesis;19;21;NF>;qal;;GM L  DBR H ZH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429201;8895;429202;Genesis;19;21;NF>;qal;;L BLTJ HPKJ >T H <JR ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
429405;9898;-1;Genesis;21;16;NF>;qal;TF> ;W TF> >T QLH ;;;;;;;;;;;
429405;9898;657034;Genesis;21;16;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429405;9898;657035;Genesis;21;16;NF>;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
429405;9898;657036;Genesis;21;16;NF>;qal;;>T QLH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429416;9939;-1;Genesis;21;18;NF>;qal;F>J ;F>J >T H N<R ;;;;;;;;;;;
429416;9939;657064;Genesis;21;18;NF>;qal;;F>J ;phrase;;;VP;Pred;core;regular;NA;;;
429416;9939;657065;Genesis;21;18;NF>;qal;;>T H N<R ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429489;10314;-1;Genesis;22;4;NF>;qal;JF> ;W JF> >BRHM >T <JNJW ;;;;;;;;;;;
429489;10314;657299;Genesis;22;4;NF>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429489;10314;657300;Genesis;22;4;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
429489;10314;657301;Genesis;22;4;NF>;qal;;>BRHM ;phrase;;;PrNP;Subj;core;NA;subject;;;
429489;10314;657302;Genesis;22;4;NF>;qal;;>T <JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429533;10514;-1;Genesis;22;13;NF>;qal;JF> ;W JF> >BRHM >T <JNJW ;;;;;;;;;;;
