cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427740;1079;-1;Genesis;2;21;NPL;hif;JPL ;W JPL JHWH >LHJM TRDMH <L H >DM ;;;;;;;;;;;
427740;1079;651881;Genesis;2;21;NPL;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427740;1079;651882;Genesis;2;21;NPL;hif;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
427740;1079;651883;Genesis;2;21;NPL;hif;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427740;1079;651884;Genesis;2;21;NPL;hif;;TRDMH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427740;1079;651885;Genesis;2;21;NPL;hif;;<L H >DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427880;1752;-1;Genesis;4;5;NPL;qal;JPLW ;W JPLW PNJW ;;;;;;;;;;;
427880;1752;652303;Genesis;4;5;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427880;1752;652304;Genesis;4;5;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
427880;1752;652305;Genesis;4;5;NPL;qal;;PNJW ;phrase;;;NP;Subj;core;NA;subject;;;
427883;1764;-1;Genesis;4;6;NPL;qal;NPLW ;W LMH NPLW PNJK ;;;;;;;;;;;
427883;1764;652313;Genesis;4;6;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427883;1764;652314;Genesis;4;6;NPL;qal;;LMH ;phrase;;;InrP;Ques;NA;NA;NA;;NA;NA
427883;1764;652315;Genesis;4;6;NPL;qal;;NPLW ;phrase;;;VP;Pred;core;regular;NA;;;
427883;1764;652316;Genesis;4;6;NPL;qal;;PNJK ;phrase;;;NP;Subj;core;NA;subject;;;
428658;6403;-1;Genesis;14;10;NPL;qal;JPLW ;W JPLW CMH ;;;;;;;;;;;
428658;6403;654778;Genesis;14;10;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428658;6403;654779;Genesis;14;10;NPL;qal;;JPLW ;phrase;;;VP;Pred;core;regular;NA;;;
428658;6403;654780;Genesis;14;10;NPL;qal;;CMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428760;6869;-1;Genesis;15;12;NPL;qal;NPLH ;W TRDMH NPLH <L >BRM ;;;;;;;;;;;
428760;6869;655066;Genesis;15;12;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428760;6869;655067;Genesis;15;12;NPL;qal;;TRDMH ;phrase;;;NP;Subj;core;NA;subject;;;
428760;6869;655068;Genesis;15;12;NPL;qal;;NPLH ;phrase;;;VP;Pred;core;regular;NA;;;
428760;6869;655069;Genesis;15;12;NPL;qal;;<L >BRM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428761;6877;-1;Genesis;15;12;NPL;qal;NPLT ;W HNH >JMH XCKH GDLH NPLT <LJW ;;;;;;;;;;;
428761;6877;655070;Genesis;15;12;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428761;6877;655071;Genesis;15;12;NPL;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428761;6877;655072;Genesis;15;12;NPL;qal;;>JMH XCKH GDLH ;phrase;;;NP;Subj;core;NA;subject;;;
428761;6877;655073;Genesis;15;12;NPL;qal;;NPLT ;phrase;;;VP;PreC;core;regular;NA;;;
428761;6877;655074;Genesis;15;12;NPL;qal;;<LJW ;phrase;;;PP;Cmpl;complement;NA;*;;;
428859;7363;-1;Genesis;17;3;NPL;qal;JPL ;W JPL >BRM <L PNJW ;;;;;;;;;;;
428859;7363;655376;Genesis;17;3;NPL;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428859;7363;655377;Genesis;17;3;NPL;qal;;JPL ;phrase;;;VP;Pred;core;regular;NA;;;
