cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427598;315;-1;Genesis;1;17;NTN;qal;JTN ;W JTN >TM >LHJM B RQJ< H CMJM ;;;;;;;;;;;
427598;315;651465;Genesis;1;17;NTN;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427598;315;651466;Genesis;1;17;NTN;qal;;JTN ;phrase;;;VP;Pred;core;regular;NA;;;
427598;315;651467;Genesis;1;17;NTN;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427598;315;651468;Genesis;1;17;NTN;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427598;315;651469;Genesis;1;17;NTN;qal;;B RQJ< H CMJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427598;315;427599;Genesis;1;17;NTN;qal;;L H>JR <L H >RY ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
427651;594;-1;Genesis;1;29;NTN;qal;NTTJ ;HNH NTTJ LKM >T KL <FB W >T KL H <Y ;;;;;;;;;;;
427651;594;651619;Genesis;1;29;NTN;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
427651;594;651620;Genesis;1;29;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
427651;594;651621;Genesis;1;29;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427651;594;651622;Genesis;1;29;NTN;qal;;>T KL <FB W >T KL H <Y ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427784;1291;-1;Genesis;3;6;NTN;qal;TTN ;W TTN GM L >JCH <MH ;;;;;;;;;;;
427784;1291;652017;Genesis;3;6;NTN;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427784;1291;652018;Genesis;3;6;NTN;qal;;TTN ;phrase;;;VP;Pred;core;regular;NA;;;
427784;1291;652019;Genesis;3;6;NTN;qal;;GM L >JCH ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427784;1291;652020;Genesis;3;6;NTN;qal;;<MH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427810;1396;-1;Genesis;3;12;NTN;qal;NTTH ;>CR NTTH <MDJ ;;;;;;;;;;;
427810;1396;652088;Genesis;3;12;NTN;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427810;1396;652089;Genesis;3;12;NTN;qal;;NTTH ;phrase;;;VP;Pred;core;regular;NA;;;
427810;1396;652090;Genesis;3;12;NTN;qal;;<MDJ ;phrase;;;PP;Cmpl;complement;NA;*;;;
427811;1399;-1;Genesis;3;12;NTN;qal;NTNH ;HW> NTNH LJ MN H <Y ;;;;;;;;;;;
427811;1399;652091;Genesis;3;12;NTN;qal;;HW> ;phrase;;;PPrP;Subj;core;NA;subject;;;
427811;1399;652092;Genesis;3;12;NTN;qal;;NTNH ;phrase;;;VP;Pred;core;regular;NA;;;
427811;1399;652093;Genesis;3;12;NTN;qal;;LJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427811;1399;652094;Genesis;3;12;NTN;qal;;MN H <Y ;phrase;;;PP;Cmpl;complement;NA;*;;;
427909;1861;-1;Genesis;4;12;NTN;qal;TT ;TT KXH LK ;;;;;;;;;;;
427909;1861;652388;Genesis;4;12;NTN;qal;;TT ;phrase;;;VP;Pred;core;regular;NA;;;
427909;1861;652389;Genesis;4;12;NTN;qal;;KXH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427909;1861;652390;Genesis;4;12;NTN;qal;;LK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428257;4085;-1;Genesis;9;2;NTN;nif;NTNW ;B JDKM NTNW ;;;;;;;;;;;
428257;4085;653521;Genesis;9;2;NTN;nif;;B JDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428257;4085;653522;Genesis;9;2;NTN;nif;;NTNW ;phrase;;;VP;Pred;core;regular;NA;;;
428261;4098;-1;Genesis;9;3;NTN;qal;NTTJ ;K JRQ <FB NTTJ LKM >T KL ;;;;;;;;;;;
428261;4098;653530;Genesis;9;3;NTN;qal;;K JRQ <FB ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428261;4098;653531;Genesis;9;3;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428261;4098;653532;Genesis;9;3;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428261;4098;653533;Genesis;9;3;NTN;qal;;>T KL ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428287;4250;-1;Genesis;9;12;NTN;qal;NTN ;>CR >NJ NTN BJNJ W BJNJKM W BJN KL NPC XJH ;;;;;;;;;;;
428287;4250;653607;Genesis;9;12;NTN;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428287;4250;653608;Genesis;9;12;NTN;qal;;>NJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
428287;4250;653609;Genesis;9;12;NTN;qal;;NTN ;phrase;;;VP;PreC;core;regular;NA;;;
428287;4250;653610;Genesis;9;12;NTN;qal;;BJNJ W BJNJKM W BJN KL NPC XJH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428289;4266;-1;Genesis;9;13;NTN;qal;NTTJ ;>T QCTJ NTTJ B  <NN ;;;;;;;;;;;
428289;4266;653614;Genesis;9;13;NTN;qal;;>T QCTJ ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428289;4266;653615;Genesis;9;13;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428289;4266;653616;Genesis;9;13;NTN;qal;;B  <NN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
