cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428657;6397;-1;Genesis;14;10;NWS;qal;JNSW ;W JNSW MLK SDM W <MRH ;;;;;;;;;;;
428657;6397;654775;Genesis;14;10;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428657;6397;654776;Genesis;14;10;NWS;qal;;JNSW ;phrase;;;VP;Pred;core;regular;NA;;;
428657;6397;654777;Genesis;14;10;NWS;qal;;MLK SDM W <MRH ;phrase;;;NP;Subj;core;NA;subject;;;
428659;6409;-1;Genesis;14;10;NWS;qal;NSW ;W H NC>RJM HRH NSW ;;;;;;;;;;;
428659;6409;654781;Genesis;14;10;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428659;6409;654782;Genesis;14;10;NWS;qal;;H NC>RJM ;phrase;;;NP;Subj;core;NA;subject;;;
428659;6409;654783;Genesis;14;10;NWS;qal;;HRH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428659;6409;654784;Genesis;14;10;NWS;qal;;NSW ;phrase;;;VP;Pred;core;regular;NA;;;
429195;8876;-1;Genesis;19;20;NWS;qal;NWS ;L NWS CMH ;;;;;;;;;;;
429195;8876;656369;Genesis;19;20;NWS;qal;;L NWS ;phrase;;;VP;Pred;core;regular;NA;;;
429195;8876;656370;Genesis;19;20;NWS;qal;;CMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
431994;21688;-1;Genesis;39;12;NWS;qal;JNS ;W JNS ;;;;;;;;;;;
431994;21688;664737;Genesis;39;12;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431994;21688;664738;Genesis;39;12;NWS;qal;;JNS ;phrase;;;VP;Pred;core;regular;NA;;;
431999;21703;-1;Genesis;39;13;NWS;qal;JNS ;W JNS H XWYH ;;;;;;;;;;;
431999;21703;664749;Genesis;39;13;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431999;21703;664750;Genesis;39;13;NWS;qal;;JNS ;phrase;;;VP;Pred;core;regular;NA;;;
431999;21703;664751;Genesis;39;13;NWS;qal;;H XWYH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
432014;21748;-1;Genesis;39;15;NWS;qal;JNS ;W JNS ;;;;;;;;;;;
432014;21748;664784;Genesis;39;15;NWS;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
