cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
429349;9624;-1;Genesis;21;1;PQD;qal;PQD ;W JHWH PQD >T FRH ;;;;;;;;;;;
429349;9624;656853;Genesis;21;1;PQD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429349;9624;656854;Genesis;21;1;PQD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
429349;9624;656855;Genesis;21;1;PQD;qal;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
429349;9624;656856;Genesis;21;1;PQD;qal;;>T FRH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431950;21477;-1;Genesis;39;4;PQD;hif;JPQDHW ;W JPQDHW <L BJTW ;;;;;;;;;;;
431950;21477;664599;Genesis;39;4;PQD;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431950;21477;664600;Genesis;39;4;PQD;hif;;JPQDHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
431950;21477;664601;Genesis;39;4;PQD;hif;;<L BJTW ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
431954;21491;-1;Genesis;39;5;PQD;hif;HPQJD ;M >Z HPQJD >TW B BJTW W <L KL ;;;;;;;;;;;
431954;21491;664610;Genesis;39;5;PQD;hif;;M >Z ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431954;21491;664611;Genesis;39;5;PQD;hif;;HPQJD ;phrase;;;VP;Pred;core;regular;NA;;;
431954;21491;664612;Genesis;39;5;PQD;hif;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431954;21491;664613;Genesis;39;5;PQD;hif;;B BJTW W <L KL ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432054;21966;-1;Genesis;40;4;PQD;qal;JPQD ;W JPQD FR H VBXJM >T JWSP >TM ;;;;;;;;;;;
432054;21966;664910;Genesis;40;4;PQD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432054;21966;664911;Genesis;40;4;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
432054;21966;664912;Genesis;40;4;PQD;qal;;FR H VBXJM ;phrase;;;NP;Subj;core;NA;subject;;;
432054;21966;664913;Genesis;40;4;PQD;qal;;>T JWSP ;phrase;;;PP;Objc;complement;NA;direct_object;;;
432054;21966;664914;Genesis;40;4;PQD;qal;;>TM ;phrase;;;PP;Cmpl;complement;NA;*;;;
432241;22960;-1;Genesis;41;34;PQD;hif;JPQD ;W JPQD PQDJM <L H >RY ;;;;;;;;;;;
432241;22960;665490;Genesis;41;34;PQD;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432241;22960;665491;Genesis;41;34;PQD;hif;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
432241;22960;665492;Genesis;41;34;PQD;hif;;PQDJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432241;22960;665493;Genesis;41;34;PQD;hif;;<L H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
433506;28700;-1;Genesis;50;24;PQD;qal;PQD ;W >LHJM PQD JPQD >TKM ;;;;;;;;;;;
433506;28700;669219;Genesis;50;24;PQD;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433506;28700;669220;Genesis;50;24;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
433506;28700;669221;Genesis;50;24;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433506;28700;669222;Genesis;50;24;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
433506;28700;669223;Genesis;50;24;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433511;28731;-1;Genesis;50;25;PQD;qal;PQD ;PQD JPQD >LHJM >TKM ;;;;;;;;;;;
433511;28731;669237;Genesis;50;25;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433511;28731;669238;Genesis;50;25;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
433511;28731;669239;Genesis;50;25;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
433511;28731;669240;Genesis;50;25;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433788;30003;-1;Exodus;3;16;PQD;qal;PQD ;PQD PQDTJ >TKM ;;;;;;;;;;;
433788;30003;670043;Exodus;3;16;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433788;30003;670044;Exodus;3;16;PQD;qal;;PQDTJ ;phrase;;;VP;Pred;core;regular;NA;;;
433788;30003;670045;Exodus;3;16;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433966;30788;-1;Exodus;4;31;PQD;qal;PQD ;KJ PQD JHWH >T BNJ JFR>L ;;;;;;;;;;;
433966;30788;670569;Exodus;4;31;PQD;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433966;30788;670570;Exodus;4;31;PQD;qal;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
433966;30788;670571;Exodus;4;31;PQD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
433966;30788;670572;Exodus;4;31;PQD;qal;;>T BNJ JFR>L ;phrase;;;PP;Objc;complement;NA;direct_object;;;
434966;36162;-1;Exodus;13;19;PQD;qal;PQD ;PQD JPQD >LHJM >TKM ;;;;;;;;;;;
434966;36162;673681;Exodus;13;19;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
434966;36162;673682;Exodus;13;19;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
434966;36162;673683;Exodus;13;19;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
434966;36162;673684;Exodus;13;19;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
435687;39661;-1;Exodus;20;5;PQD;qal;PQD ;PQD <WN >BT <L BNJM ;;;;;;;;;;;
435687;39661;675849;Exodus;20;5;PQD;qal;;PQD ;phrase;;;VP;PreC;core;regular;NA;;;
435687;39661;675850;Exodus;20;5;PQD;qal;;<WN >BT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
435687;39661;675851;Exodus;20;5;PQD;qal;;<L BNJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
436719;45708;-1;Exodus;30;12;PQD;qal;PQDJHM ;KJ TF> >T R>C BNJ JFR>L L PQDJHM ;;;;;;;;;;;
436719;45708;679138;Exodus;30;12;PQD;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
436719;45708;679139;Exodus;30;12;PQD;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
436719;45708;679140;Exodus;30;12;PQD;qal;;>T R>C BNJ JFR>L ;phrase;;;PP;Objc;complement;NA;direct_object;;;
