cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427547;59;-1;Genesis;1;5;QR>;qal;JQR> ;W JQR> >LHJM L  >WR JWM ;;;;;;;;;;;
427547;59;651315;Genesis;1;5;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427547;59;651316;Genesis;1;5;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427547;59;651317;Genesis;1;5;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427547;59;651318;Genesis;1;5;QR>;qal;;L  >WR ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427547;59;651319;Genesis;1;5;QR>;qal;;JWM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427548;69;-1;Genesis;1;5;QR>;qal;QR> ;W L  XCK QR> LJLH ;;;;;;;;;;;
427548;69;651320;Genesis;1;5;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427548;69;651321;Genesis;1;5;QR>;qal;;L  XCK ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427548;69;651322;Genesis;1;5;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
427548;69;651323;Genesis;1;5;QR>;qal;;LJLH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427560;126;-1;Genesis;1;8;QR>;qal;JQR> ;W JQR> >LHJM L  RQJ< CMJM ;;;;;;;;;;;
427560;126;651355;Genesis;1;8;QR>;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427560;126;651356;Genesis;1;8;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427560;126;651357;Genesis;1;8;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427560;126;651358;Genesis;1;8;QR>;qal;;L  RQJ< ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
