cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428221;3821;-1;Genesis;8;13;SWR;hif;JSR ;W JSR NX >T MKSH H TBH ;;;;;;;;;;;
428221;3821;653408;Genesis;8;13;SWR;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428221;3821;653409;Genesis;8;13;SWR;hif;;JSR ;phrase;;;VP;Pred;core;regular;NA;;;
428221;3821;653410;Genesis;8;13;SWR;hif;;NX ;phrase;;;PrNP;Subj;core;NA;subject;;;
428221;3821;653411;Genesis;8;13;SWR;hif;;>T MKSH H TBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429099;8455;-1;Genesis;19;2;SWR;qal;SWRW ;SWRW N> >L BJT <BDKM ;;;;;;;;;;;
429099;8455;656092;Genesis;19;2;SWR;qal;;SWRW ;phrase;;;VP;Pred;core;regular;NA;;;
429099;8455;656093;Genesis;19;2;SWR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
429099;8455;656094;Genesis;19;2;SWR;qal;;>L BJT <BDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
429108;8484;-1;Genesis;19;3;SWR;qal;JSRW ;W JSRW >LJW ;;;;;;;;;;;
429108;8484;656115;Genesis;19;3;SWR;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429108;8484;656116;Genesis;19;3;SWR;qal;;JSRW ;phrase;;;VP;Pred;core;regular;NA;;;
429108;8484;656117;Genesis;19;3;SWR;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
430795;16098;-1;Genesis;30;32;SWR;hif;HSR ;HSR M CM KL FH NQD W VLW> W KL FH XWM B  KFBJM W VLW> W NQD B  <ZJM ;;;;;;;;;;;
430795;16098;661182;Genesis;30;32;SWR;hif;;HSR ;phrase;;;VP;Pred;core;regular;NA;;;
430795;16098;661183;Genesis;30;32;SWR;hif;;M CM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430795;16098;661184;Genesis;30;32;SWR;hif;;KL FH NQD W VLW> W KL FH XWM B  KFBJM W VLW> W NQD B  <ZJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
430805;16162;-1;Genesis;30;35;SWR;hif;JSR ;W JSR B  JWM H HW> >T H TJCJM H <QDJM W H VL>JM W >T KL H <ZJM H NQDWT W H VL>T KL W KL XWM B  KFBJM ;;;;;;;;;;;
430805;16162;661211;Genesis;30;35;SWR;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430805;16162;661212;Genesis;30;35;SWR;hif;;JSR ;phrase;;;VP;Pred;core;regular;NA;;;
430805;16162;661213;Genesis;30;35;SWR;hif;;B  JWM H HW> ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
430805;16162;661214;Genesis;30;35;SWR;hif;;>T H TJCJM H <QDJM W H VL>JM W >T KL H <ZJM H NQDWT W H VL>T KL W KL XWM B  KFBJM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431419;19081;-1;Genesis;35;2;SWR;hif;HSRW ;HSRW >T >LHJ H NKR ;;;;;;;;;;;
