cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428184;3565;-1;Genesis;8;1;<BR;hif;J<BR ;W J<BR >LHJM RWX <L H >RY ;;;;;;;;;;;
428184;3565;653273;Genesis;8;1;<BR;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428184;3565;653274;Genesis;8;1;<BR;hif;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428184;3565;653275;Genesis;8;1;<BR;hif;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
428184;3565;653276;Genesis;8;1;<BR;hif;;RWX ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428184;3565;653277;Genesis;8;1;<BR;hif;;<L H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428515;5591;-1;Genesis;12;6;<BR;qal;J<BR ;W J<BR >BRM B  >RY <D MQWM CKM <D >LWN MWRH ;;;;;;;;;;;
428515;5591;654316;Genesis;12;6;<BR;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428515;5591;654317;Genesis;12;6;<BR;qal;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428515;5591;654318;Genesis;12;6;<BR;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428515;5591;654319;Genesis;12;6;<BR;qal;;B  >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428515;5591;654320;Genesis;12;6;<BR;qal;;<D MQWM CKM ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
428515;5591;654321;Genesis;12;6;<BR;qal;;<D >LWN MWRH ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
428779;6957;-1;Genesis;15;17;<BR;qal;<BR ;>CR <BR BJN H GZRJM H >LH ;;;;;;;;;;;
428779;6957;655129;Genesis;15;17;<BR;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428779;6957;655130;Genesis;15;17;<BR;qal;;<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428779;6957;655131;Genesis;15;17;<BR;qal;;BJN H GZRJM H >LH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428945;7853;-1;Genesis;18;3;<BR;qal;T<BR ;>L N> T<BR M <L <BDK ;;;;;;;;;;;
428945;7853;655661;Genesis;18;3;<BR;qal;;>L ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428945;7853;655662;Genesis;18;3;<BR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428945;7853;655663;Genesis;18;3;<BR;qal;;T<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428945;7853;655664;Genesis;18;3;<BR;qal;;M <L <BDK ;phrase;;;PP;Cmpl;complement;NA;*;;;
428951;7877;-1;Genesis;18;5;<BR;qal;T<BRW ;>XR T<BRW ;;;;;;;;;;;
428951;7877;655680;Genesis;18;5;<BR;qal;;>XR ;phrase;;;AdvP;Time;adjunct;NA;NA;;time;time
428951;7877;655681;Genesis;18;5;<BR;qal;;T<BRW ;phrase;;;VP;Pred;core;regular;NA;;;
428952;7881;-1;Genesis;18;5;<BR;qal;<BRTM ;KJ <L KN <BRTM <L <BDKM ;;;;;;;;;;;
428952;7881;655682;Genesis;18;5;<BR;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428952;7881;655683;Genesis;18;5;<BR;qal;;<L KN ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428952;7881;655684;Genesis;18;5;<BR;qal;;<BRTM ;phrase;;;VP;Pred;core;regular;NA;;;
428952;7881;655685;Genesis;18;5;<BR;qal;;<L <BDKM ;phrase;;;PP;Cmpl;complement;NA;*;;;
429635;11020;-1;Genesis;23;16;<BR;qal;<BR ;<BR L  SXR ;;;;;;;;;;;
429635;11020;657725;Genesis;23;16;<BR;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
429635;11020;657726;Genesis;23;16;<BR;qal;;L  SXR ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
430794;16092;-1;Genesis;30;32;<BR;qal;><BR ;><BR B KL Y>NK H JWM ;;;;;;;;;;;
430794;16092;661179;Genesis;30;32;<BR;qal;;><BR ;phrase;;;VP;Pred;core;regular;NA;;;
430794;16092;661180;Genesis;30;32;<BR;qal;;B KL Y>NK ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430794;16092;661181;Genesis;30;32;<BR;qal;;H JWM ;phrase;;;NP;Time;adjunct;NA;NA;;time;time
