cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427555;96;-1;Genesis;1;7;<FH;qal;J<F ;W J<F >LHJM >T H RQJ< ;;;;;;;;;;;
427555;96;651341;Genesis;1;7;<FH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427555;96;651342;Genesis;1;7;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427555;96;651343;Genesis;1;7;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427555;96;651344;Genesis;1;7;<FH;qal;;>T H RQJ< ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427575;191;-1;Genesis;1;11;<FH;qal;<FH ;<FH PRJ L MJNW <L H >RY ;;;;;;;;;;;
427575;191;651401;Genesis;1;11;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427575;191;651402;Genesis;1;11;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427575;191;651403;Genesis;1;11;<FH;qal;;L MJNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427575;191;651407;Genesis;1;11;<FH;qal;;<L H >RY ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
427580;216;-1;Genesis;1;12;<FH;qal;<FH ;<FH PRJ L MJNHW ;;;;;;;;;;;
427580;216;651418;Genesis;1;12;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427580;216;651419;Genesis;1;12;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427580;216;651423;Genesis;1;12;<FH;qal;;L MJNHW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427594;283;-1;Genesis;1;16;<FH;qal;J<F ;W J<F >LHJM >T CNJ H M>RT H GDLJM ;;;;;;;;;;;
427594;283;651456;Genesis;1;16;<FH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427594;283;651457;Genesis;1;16;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427594;283;651458;Genesis;1;16;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427594;283;651459;Genesis;1;16;<FH;qal;;>T CNJ H M>RT H GDLJM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427630;468;-1;Genesis;1;25;<FH;qal;J<F ;W J<F >LHJM >T XJT H >RY L MJNH ;;;;;;;;;;;
427630;468;651554;Genesis;1;25;<FH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427630;468;651555;Genesis;1;25;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427630;468;651556;Genesis;1;25;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427630;468;651557;Genesis;1;25;<FH;qal;;>T XJT H >RY ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427630;468;651558;Genesis;1;25;<FH;qal;;L MJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427636;498;-1;Genesis;1;26;<FH;qal;N<FH ;N<FH >DM B YLMNW K DMWTNW ;;;;;;;;;;;
427636;498;651573;Genesis;1;26;<FH;qal;;N<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427636;498;651574;Genesis;1;26;<FH;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427636;498;651575;Genesis;1;26;<FH;qal;;B YLMNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427636;498;651576;Genesis;1;26;<FH;qal;;K DMWTNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427661;660;-1;Genesis;1;31;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427661;660;651649;Genesis;1;31;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427661;660;651650;Genesis;1;31;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427668;694;-1;Genesis;2;2;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427668;694;651670;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427668;694;651671;Genesis;2;2;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427670;706;-1;Genesis;2;2;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427670;706;651676;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427670;706;651677;Genesis;2;2;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427675;727;-1;Genesis;2;3;<FH;qal;<FWT ;L <FWT ;;;;;;;;;;;
427675;727;651692;Genesis;2;3;<FH;qal;;L <FWT ;phrase;;;VP;Pred;core;regular;NA;;;
427679;739;-1;Genesis;2;4;<FH;qal;<FWT ;<FWT JHWH >LHJM >RY W CMJM ;;;;;;;;;;;
427679;739;651697;Genesis;2;4;<FH;qal;;<FWT ;phrase;;;VP;Pred;core;regular;NA;;;
427679;739;651698;Genesis;2;4;<FH;qal;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427679;739;651699;Genesis;2;4;<FH;qal;;>RY W CMJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427730;1007;-1;Genesis;2;18;<FH;qal;><FH ;><FH LW <ZR K NGDW ;;;;;;;;;;;
427730;1007;651847;Genesis;2;18;<FH;qal;;><FH ;phrase;;;VP;Pred;core;regular;NA;;;
427730;1007;651848;Genesis;2;18;<FH;qal;;LW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427730;1007;651849;Genesis;2;18;<FH;qal;;<ZR K NGDW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427757;1179;-1;Genesis;3;1;<FH;qal;<FH ;>CR <FH JHWH >LHJM ;;;;;;;;;;;
427757;1179;651941;Genesis;3;1;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427757;1179;651942;Genesis;3;1;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427757;1179;651943;Genesis;3;1;<FH;qal;;JHWH >LHJM ;phrase;;;PrNP;Subj;core;NA;subject;;;
427790;1312;-1;Genesis;3;7;<FH;qal;J<FW ;W J<FW LHM XGRT ;;;;;;;;;;;
427790;1312;652034;Genesis;3;7;<FH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427790;1312;652035;Genesis;3;7;<FH;qal;;J<FW ;phrase;;;VP;Pred;core;regular;NA;;;
427790;1312;652036;Genesis;3;7;<FH;qal;;LHM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
