cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427685;780;-1;Genesis;2;6;<LH;qal;J<LH ;W >D J<LH MN H >RY ;;;;;;;;;;;
427685;780;651719;Genesis;2;6;<LH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427685;780;651720;Genesis;2;6;<LH;qal;;>D ;phrase;;;NP;Subj;core;NA;subject;;;
427685;780;651721;Genesis;2;6;<LH;qal;;J<LH ;phrase;;;VP;Pred;core;regular;NA;;;
427685;780;651722;Genesis;2;6;<LH;qal;;MN H >RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428239;3965;-1;Genesis;8;20;<LH;hif;J<L ;W J<L <LT B  MZBX ;;;;;;;;;;;
428239;3965;653465;Genesis;8;20;<LH;hif;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428239;3965;653466;Genesis;8;20;<LH;hif;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
428239;3965;653467;Genesis;8;20;<LH;hif;;<LT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428239;3965;653468;Genesis;8;20;<LH;hif;;B  MZBX ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428573;5867;-1;Genesis;13;1;<LH;qal;J<L ;W J<L >BRM M MYRJM HW> W >CTW W KL H NGBH ;;;;;;;;;;;
428573;5867;654506;Genesis;13;1;<LH;qal;;W ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428573;5867;654507;Genesis;13;1;<LH;qal;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
428573;5867;654508;Genesis;13;1;<LH;qal;;>BRM HW> W >CTW W KL ;phrase;;;PrNP;Subj;core;NA;subject;;;
428573;5867;654509;Genesis;13;1;<LH;qal;;M MYRJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428573;5867;654515;Genesis;13;1;<LH;qal;;H NGBH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
