cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427745;1030;-1;Genesis;2;19;BW>;hif;JB> ;WJB> >L&H>DM ;;;;;;;;;;;
427745;1030;652114;Genesis;2;19;BW>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427745;1030;652115;Genesis;2;19;BW>;hif;;JB> ;phrase;;;VP;Pred;core;regular;NA;;;
427745;1030;652116;Genesis;2;19;BW>;hif;;>L&H>DM ;phrase;;;PP;Cmpl;complement;NA;*;;;
427745;1030;427746;Genesis;2;19;BW>;hif;;LR>WT ;clause;InfC;Adju;;;NA;NA;;;;
427759;1112;-1;Genesis;2;22;BW>;hif;JB>H ;WJB>H >L&H>DM00 ;;;;;;;;;;;
427759;1112;652162;Genesis;2;22;BW>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427759;1112;652163;Genesis;2;22;BW>;hif;;JB>H ;phrase;;;VP;PreO;core;regular;direct_object;;;
427759;1112;652164;Genesis;2;22;BW>;hif;;>L&H>DM00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
427888;1710;-1;Genesis;4;3;BW>;hif;JB> ;WJB> QJN MPRJ H>DMH MNXH LJHWH00 ;;;;;;;;;;;
427888;1710;652540;Genesis;4;3;BW>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427888;1710;652541;Genesis;4;3;BW>;hif;;JB> ;phrase;;;VP;Pred;core;regular;NA;;;
427888;1710;652542;Genesis;4;3;BW>;hif;;QJN ;phrase;;;PrNP;Subj;core;NA;subject;;;
427888;1710;652543;Genesis;4;3;BW>;hif;;MPRJ H>DMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
427888;1710;652544;Genesis;4;3;BW>;hif;;MNXH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427888;1710;652545;Genesis;4;3;BW>;hif;;LJHWH00 ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427889;1721;-1;Genesis;4;4;BW>;hif;HBJ> ;WHBL HBJ> GM&HW> MBKRWT Y>NW WMXLBHN ;;;;;;;;;;;
427889;1721;652546;Genesis;4;4;BW>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427889;1721;652547;Genesis;4;4;BW>;hif;;HBL GM&HW> ;phrase;;;PrNP;Subj;core;NA;subject;;;
427889;1721;652548;Genesis;4;4;BW>;hif;;HBJ> ;phrase;;;VP;Pred;core;regular;NA;;;
427889;1721;652549;Genesis;4;4;BW>;hif;;MBKRWT Y>NW WMXLBHN ;phrase;;;PP;Cmpl;complement;NA;*;;;
428071;2676;-1;Genesis;6;4;BW>;qal;JB>W ;>CR JB>W BNJ H>LHJM >L&BNWT H>DM ;;;;;;;;;;;
428071;2676;653123;Genesis;6;4;BW>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428071;2676;653124;Genesis;6;4;BW>;qal;;JB>W ;phrase;;;VP;Pred;core;regular;NA;;;
428071;2676;653125;Genesis;6;4;BW>;qal;;BNJ H>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
428071;2676;653126;Genesis;6;4;BW>;qal;;>L&BNWT H>DM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428098;2834;-1;Genesis;6;13;BW>;qal;B> ;QY KL&BFR B> LPNJ ;;;;;;;;;;;
428098;2834;653212;Genesis;6;13;BW>;qal;;QY KL&BFR ;phrase;;;NP;Subj;core;NA;subject;;;
428098;2834;653213;Genesis;6;13;BW>;qal;;B> ;phrase;;;VP;Pred;core;regular;NA;;;
428098;2834;653214;Genesis;6;13;BW>;qal;;LPNJ ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428114;2916;-1;Genesis;6;17;BW>;hif;MBJ> ;HNNJ MBJ> >T&HMBWL MJM <L&H>RY ;;;;;;;;;;;
428114;2916;653262;Genesis;6;17;BW>;hif;;HNNJ ;phrase;;;InjP;IntS;core;NA;subject;;;
428114;2916;653263;Genesis;6;17;BW>;hif;;MBJ> ;phrase;;;VP;PreC;core;regular;NA;;;
428114;2916;653264;Genesis;6;17;BW>;hif;;>T&HMBWL MJM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428114;2916;653265;Genesis;6;17;BW>;hif;;<L&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428114;2916;428115;Genesis;6;17;BW>;hif;;LCXT KL&BFR MTXT HCMJM ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428120;2948;-1;Genesis;6;18;BW>;qal;B>T ;WB>T >L&HTBH >TH WBNJK W>CTK WNCJ&BNJK >TK00 ;;;;;;;;;;;
428120;2948;653280;Genesis;6;18;BW>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428120;2948;653281;Genesis;6;18;BW>;qal;;B>T ;phrase;;;VP;Pred;core;regular;NA;;;
428120;2948;653282;Genesis;6;18;BW>;qal;;>L&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428120;2948;653283;Genesis;6;18;BW>;qal;;>TH WBNJK W>CTK WNCJ&BNJK >TK00 ;phrase;;;PPrP;Subj;core;NA;subject;;;
428122;2972;-1;Genesis;6;19;BW>;hif;TBJ> ;CNJM MKL TBJ> >L&HTBH ;;;;;;;;;;;
428122;2972;653286;Genesis;6;19;BW>;hif;;CNJM MKL ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
428122;2972;653287;Genesis;6;19;BW>;hif;;TBJ> ;phrase;;;VP;Pred;core;regular;NA;;;
428122;2972;653288;Genesis;6;19;BW>;hif;;>L&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428122;2972;428123;Genesis;6;19;BW>;hif;;LHXJT >TK ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428126;3004;-1;Genesis;6;20;BW>;qal;JB>W ;CNJM MKL JB>W >LJK ;;;;;;;;;;;
428126;3004;653294;Genesis;6;20;BW>;qal;;CNJM MKL ;phrase;;;NP;Subj;core;NA;subject;;;
