cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427836;1458;-1;Genesis;3;15;CJT;qal;>CJT ;W>JBH05 >CJT BJNK WBJN H>CH WBJN ZR<K WBJN ZR<H ;;;;;;;;;;;
427836;1458;652385;Genesis;3;15;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427836;1458;652386;Genesis;3;15;CJT;qal;;>JBH05 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427836;1458;652387;Genesis;3;15;CJT;qal;;>CJT ;phrase;;;VP;Pred;core;regular;NA;;;
427836;1458;652388;Genesis;3;15;CJT;qal;;BJNK WBJN H>CH WBJN ZR<K WBJN ZR<H ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427971;2091;-1;Genesis;4;25;CJT;qal;CT&;KJ CT&LJ >LHJM ZR< >XR TXT HBL ;;;;;;;;;;;
427971;2091;652801;Genesis;4;25;CJT;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427971;2091;652802;Genesis;4;25;CJT;qal;;CT&;phrase;;;VP;Pred;core;regular;NA;;;
427971;2091;652803;Genesis;4;25;CJT;qal;;LJ ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427971;2091;652804;Genesis;4;25;CJT;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427971;2091;652805;Genesis;4;25;CJT;qal;;ZR< >XR ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427971;2091;652806;Genesis;4;25;CJT;qal;;TXT HBL ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430843;16305;-1;Genesis;30;40;CJT;qal;JCT&;WJCT&LW <DRJM LBDW ;;;;;;;;;;;
430843;16305;661538;Genesis;30;40;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430843;16305;661539;Genesis;30;40;CJT;qal;;JCT&;phrase;;;VP;Pred;core;regular;NA;;;
430843;16305;661540;Genesis;30;40;CJT;qal;;LW ;phrase;;;PP;Supp;adjunct;NA;NA;;;benefactive
430843;16305;661541;Genesis;30;40;CJT;qal;;<DRJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
430843;16305;661542;Genesis;30;40;CJT;qal;;LBDW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
430844;16312;-1;Genesis;30;40;CJT;qal;CTM ;WL> CTM <L&Y>N LBN00 ;;;;;;;;;;;
430844;16312;661543;Genesis;30;40;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
430844;16312;661544;Genesis;30;40;CJT;qal;;L> ;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
430844;16312;661545;Genesis;30;40;CJT;qal;;CTM ;phrase;;;VP;PreO;core;regular;direct_object;;;
430844;16312;661546;Genesis;30;40;CJT;qal;;<L&Y>N LBN00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
432256;22954;-1;Genesis;41;33;CJT;qal;JCJTHW ;WJCJTHW <L&>RY MYRJM00 ;;;;;;;;;;;
432256;22954;665745;Genesis;41;33;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432256;22954;665746;Genesis;41;33;CJT;qal;;JCJTHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
432256;22954;665747;Genesis;41;33;CJT;qal;;<L&>RY MYRJM00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432991;26056;-1;Genesis;46;4;CJT;qal;JCJT ;WJWSP JCJT JDW <L&<JNJK00 ;;;;;;;;;;;
432991;26056;667901;Genesis;46;4;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432991;26056;667902;Genesis;46;4;CJT;qal;;JWSP ;phrase;;;PrNP;Subj;core;NA;subject;;;
432991;26056;667903;Genesis;46;4;CJT;qal;;JCJT ;phrase;;;VP;Pred;core;regular;NA;;;
432991;26056;667904;Genesis;46;4;CJT;qal;;JDW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432991;26056;667905;Genesis;46;4;CJT;qal;;<L&<JNJK00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
433266;27558;-1;Genesis;48;14;CJT;qal;JCT ;WJCT <L&R>C >PRJM ;;;;;;;;;;;
433266;27558;668760;Genesis;48;14;CJT;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433266;27558;668761;Genesis;48;14;CJT;qal;;JCT ;phrase;;;VP;Pred;core;regular;NA;;;
433266;27558;668762;Genesis;48;14;CJT;qal;;<L&R>C >PRJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
