cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427704;825;-1;Genesis;2;8;FJM;qal;JFM ;WJFM CM >T&H>DM ;;;;;;;;;;;
427704;825;652004;Genesis;2;8;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427704;825;652005;Genesis;2;8;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427704;825;652006;Genesis;2;8;FJM;qal;;CM ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
427704;825;652007;Genesis;2;8;FJM;qal;;>T&H>DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427936;1918;-1;Genesis;4;15;FJM;qal;JFM ;WJFM JHWH LQJN >WT ;;;;;;;;;;;
427936;1918;652687;Genesis;4;15;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427936;1918;652688;Genesis;4;15;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
427936;1918;652689;Genesis;4;15;FJM;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
427936;1918;652690;Genesis;4;15;FJM;qal;;LQJN ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427936;1918;652691;Genesis;4;15;FJM;qal;;>WT ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427936;1918;427937;Genesis;4;15;FJM;qal;;LBLTJ HKWT&>TW KL&MY>W00 ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428111;2907;-1;Genesis;6;16;FJM;qal;TFJM ;WPTX HTBH BYDH TFJM ;;;;;;;;;;;
428111;2907;653254;Genesis;6;16;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428111;2907;653255;Genesis;6;16;FJM;qal;;PTX HTBH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428111;2907;653256;Genesis;6;16;FJM;qal;;BYDH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428111;2907;653257;Genesis;6;16;FJM;qal;;TFJM ;phrase;;;VP;Pred;core;regular;NA;;;
428332;4446;-1;Genesis;9;23;FJM;qal;JFJMW ;WJFJMW <L&CKM CNJHM ;;;;;;;;;;;
428332;4446;653971;Genesis;9;23;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428332;4446;653972;Genesis;9;23;FJM;qal;;JFJMW ;phrase;;;VP;Pred;core;regular;NA;;;
428332;4446;653973;Genesis;9;23;FJM;qal;;<L&CKM CNJHM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428634;6160;-1;Genesis;13;16;FJM;qal;FMTJ ;WFMTJ >T&ZR<K K<PR H>RY ;;;;;;;;;;;
428634;6160;654935;Genesis;13;16;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428634;6160;654936;Genesis;13;16;FJM;qal;;FMTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428634;6160;654937;Genesis;13;16;FJM;qal;;>T&ZR<K ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428634;6160;654938;Genesis;13;16;FJM;qal;;K<PR H>RY ;phrase;;;PP;Cmpl;complement;NA;K_object;*;location;location
429402;9821;-1;Genesis;21;13;FJM;qal;>FJMNW ;LGWJ >FJMNW ;;;;;;;;;;;
429402;9821;657249;Genesis;21;13;FJM;qal;;LGWJ ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429402;9821;657250;Genesis;21;13;FJM;qal;;>FJMNW ;phrase;;;VP;PreO;core;regular;principal_direct_object;;;
429407;9841;-1;Genesis;21;14;FJM;qal;FM ;FM <L&CKMH ;;;;;;;;;;;
429407;9841;657264;Genesis;21;14;FJM;qal;;FM ;phrase;;;VP;PreC;core;regular;NA;;;
429407;9841;657265;Genesis;21;14;FJM;qal;;<L&CKMH ;phrase;;;PP;Cmpl;complement;NA;*;;;
429432;9952;-1;Genesis;21;18;FJM;qal;>FJMNW00 ;KJ&LGWJ GDWL >FJMNW00 ;;;;;;;;;;;
429432;9952;657334;Genesis;21;18;FJM;qal;;KJ&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429432;9952;657335;Genesis;21;18;FJM;qal;;LGWJ GDWL ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429432;9952;657336;Genesis;21;18;FJM;qal;;>FJMNW00 ;phrase;;;VP;PreO;core;regular;principal_direct_object;;;
429511;10357;-1;Genesis;22;6;FJM;qal;JFM ;WJFM <L&JYXQ BNW ;;;;;;;;;;;
429511;10357;657592;Genesis;22;6;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429511;10357;657593;Genesis;22;6;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
429511;10357;657594;Genesis;22;6;FJM;qal;;<L&JYXQ BNW ;phrase;;;PP;Cmpl;complement;NA;*;;;
429532;10446;-1;Genesis;22;9;FJM;qal;JFM ;WJFM >TW <L&HMZBX MM<L L<YJM00 ;;;;;;;;;;;
429532;10446;657651;Genesis;22;9;FJM;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429532;10446;657652;Genesis;22;9;FJM;qal;;JFM ;phrase;;;VP;Pred;core;regular;NA;;;
429532;10446;657653;Genesis;22;9;FJM;qal;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429532;10446;657654;Genesis;22;9;FJM;qal;;<L&HMZBX ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
429532;10446;657655;Genesis;22;9;FJM;qal;;MM<L L<YJM00 ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
