cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427726;935;-1;Genesis;2;14;HLK;qal;HLK ;HHLK QDMT >CWR ;;;;;;;;;;;
427726;935;652058;Genesis;2;14;HLK;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427726;935;652059;Genesis;2;14;HLK;qal;;HLK ;phrase;;;VP;PreC;core;regular;NA;;;
427726;935;652060;Genesis;2;14;HLK;qal;;QDMT >CWR ;phrase;;;PP;Cmpl;complement;NA;*;;;
427805;1321;-1;Genesis;3;8;HLK;hit;MTHLK ;MTHLK BGN LRWX HJWM ;;;;;;;;;;;
427805;1321;652296;Genesis;3;8;HLK;hit;;MTHLK ;phrase;;;VP;PreC;core;regular;NA;;;
427805;1321;652297;Genesis;3;8;HLK;hit;;BGN ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427805;1321;652298;Genesis;3;8;HLK;hit;;LRWX HJWM ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427834;1449;-1;Genesis;3;14;HLK;qal;TLK ;<L&GXNK TLK ;;;;;;;;;;;
427834;1449;652375;Genesis;3;14;HLK;qal;;<L&GXNK ;phrase;;;PP;Cmpl;complement;NA;*;;;
427834;1449;652376;Genesis;3;14;HLK;qal;;TLK ;phrase;;;VP;Pred;core;regular;NA;;;
428030;2424;-1;Genesis;5;22;HLK;hit;JTHLK ;WJTHLK XNWK >T&H>LHJM CLC M>WT CNH ;;;;;;;;;;;
428030;2424;652984;Genesis;5;22;HLK;hit;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428030;2424;652985;Genesis;5;22;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428030;2424;652986;Genesis;5;22;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
428030;2424;652987;Genesis;5;22;HLK;hit;;>T&H>LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428030;2424;652990;Genesis;5;22;HLK;hit;;CLC M>WT CNH ;phrase;;;NP;Time;adjunct;NA;NA;;time;time
428030;2424;428031;Genesis;5;22;HLK;hit;;>XRJ HWLJDW >T&MTWCLX ;clause;InfC;Adju;;;NA;NA;;;;
428034;2455;-1;Genesis;5;24;HLK;hit;JTHLK ;WJTHLK XNWK >T&H>LHJM ;;;;;;;;;;;
428034;2455;652998;Genesis;5;24;HLK;hit;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428034;2455;652999;Genesis;5;24;HLK;hit;;JTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428034;2455;653000;Genesis;5;24;HLK;hit;;XNWK ;phrase;;;PrNP;Subj;core;NA;subject;;;
428034;2455;653001;Genesis;5;24;HLK;hit;;>T&H>LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428090;2781;-1;Genesis;6;9;HLK;hit;HTHLK&;>T&H>LHJM HTHLK&NX00 ;;;;;;;;;;;
428090;2781;653177;Genesis;6;9;HLK;hit;;>T&H>LHJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428090;2781;653178;Genesis;6;9;HLK;hit;;HTHLK&;phrase;;;VP;Pred;core;regular;NA;;;
428090;2781;653179;Genesis;6;9;HLK;hit;;NX00 ;phrase;;;PrNP;Subj;core;NA;subject;;;
428176;3407;-1;Genesis;7;18;HLK;qal;TLK ;WTLK HTBH <L&PNJ HMJM00 ;;;;;;;;;;;
428176;3407;653465;Genesis;7;18;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428176;3407;653466;Genesis;7;18;HLK;qal;;TLK ;phrase;;;VP;Pred;core;regular;NA;;;
428176;3407;653467;Genesis;7;18;HLK;qal;;HTBH ;phrase;;;NP;Subj;core;NA;subject;;;
428176;3407;653468;Genesis;7;18;HLK;qal;;<L&PNJ HMJM00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
428200;3598;-1;Genesis;8;3;HLK;qal;HLWK ;WJCBW HMJM M<L H>RY HLWK WCWB ;;;;;;;;;;;
428200;3598;653545;Genesis;8;3;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428200;3598;653546;Genesis;8;3;HLK;qal;;JCBW ;phrase;;;VP;Pred;core;regular;NA;;;
428200;3598;653547;Genesis;8;3;HLK;qal;;HMJM ;phrase;;;NP;Subj;core;NA;subject;;;
428200;3598;653548;Genesis;8;3;HLK;qal;;M<L H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428200;3598;653549;Genesis;8;3;HLK;qal;;HLWK WCWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428203;3634;-1;Genesis;8;5;HLK;qal;HLWK ;WHMJM HJW HLWK WXSWR <D HXDC H<FJRJ ;;;;;;;;;;;
428203;3634;653560;Genesis;8;5;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428203;3634;653561;Genesis;8;5;HLK;qal;;HMJM ;phrase;;;NP;Subj;core;NA;subject;;;
428203;3634;653562;Genesis;8;5;HLK;qal;;HJW ;phrase;;;VP;Pred;core;regular;NA;;;
428203;3634;653563;Genesis;8;5;HLK;qal;;HLWK WXSWR ;phrase;;;AdvP;PreC;core;regular;NA;;;
428203;3634;653564;Genesis;8;5;HLK;qal;;<D HXDC H<FJRJ ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
428333;4451;-1;Genesis;9;23;HLK;qal;JLKW ;WJLKW >XRNJT ;;;;;;;;;;;
428333;4451;653970;Genesis;9;23;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428333;4451;653971;Genesis;9;23;HLK;qal;;JLKW ;phrase;;;VP;Pred;core;regular;NA;;;
428333;4451;653972;Genesis;9;23;HLK;qal;;>XRNJT ;phrase;;;AdvP;Cmpl;complement;NA;*;;;
428500;5460;-1;Genesis;11;31;HLK;qal;LKT ;LLKT >RYH KN<N ;;;;;;;;;;;
428500;5460;654494;Genesis;11;31;HLK;qal;;LLKT ;phrase;;;VP;Pred;core;regular;NA;;;
428500;5460;654495;Genesis;11;31;HLK;qal;;>RYH KN<N ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428506;5489;-1;Genesis;12;1;HLK;qal;LK&;LK&LK M>RYK WMMWLDTK WMBJT >BJK >L&H>RY ;;;;;;;;;;;
428506;5489;654514;Genesis;12;1;HLK;qal;;LK&;phrase;;;VP;Pred;core;regular;NA;;;
428506;5489;654515;Genesis;12;1;HLK;qal;;LK ;phrase;;;PP;Supp;adjunct;NA;NA;;;benefactive
428506;5489;654516;Genesis;12;1;HLK;qal;;M>RYK WMMWLDTK WMBJT >BJK ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428506;5489;654517;Genesis;12;1;HLK;qal;;>L&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428515;5532;-1;Genesis;12;4;HLK;qal;JLK ;WJLK >BRM ;;;;;;;;;;;
428515;5532;654541;Genesis;12;4;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428515;5532;654542;Genesis;12;4;HLK;qal;;JLK ;phrase;;;VP;Pred;core;regular;NA;;;
428515;5532;654543;Genesis;12;4;HLK;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428517;5540;-1;Genesis;12;4;HLK;qal;JLK ;WJLK >TW LWV ;;;;;;;;;;;
428517;5540;654548;Genesis;12;4;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428517;5540;654549;Genesis;12;4;HLK;qal;;JLK ;phrase;;;VP;Pred;core;regular;NA;;;
428517;5540;654550;Genesis;12;4;HLK;qal;;>TW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428517;5540;654551;Genesis;12;4;HLK;qal;;LWV ;phrase;;;PrNP;Subj;core;NA;subject;;;
428524;5583;-1;Genesis;12;5;HLK;qal;LKT ;LLKT >RYH KN<N ;;;;;;;;;;;
428524;5583;654568;Genesis;12;5;HLK;qal;;LLKT ;phrase;;;VP;Pred;core;regular;NA;;;
428524;5583;654569;Genesis;12;5;HLK;qal;;>RYH KN<N ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428539;5668;-1;Genesis;12;9;HLK;qal;HLWK ;WJS< >BRM HLWK WNSW< HNGBH00_P ;;;;;;;;;;;
428539;5668;654619;Genesis;12;9;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428539;5668;654620;Genesis;12;9;HLK;qal;;JS< ;phrase;;;VP;Pred;core;regular;NA;;;
428539;5668;654621;Genesis;12;9;HLK;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428539;5668;654622;Genesis;12;9;HLK;qal;;HLWK WNSW< ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428539;5668;654623;Genesis;12;9;HLK;qal;;HNGBH00_P ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428581;5849;-1;Genesis;12;19;HLK;qal;LK00 ;WLK00 ;;;;;;;;;;;
428581;5849;654750;Genesis;12;19;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428581;5849;654751;Genesis;12;19;HLK;qal;;LK00 ;phrase;;;VP;Pred;core;regular;NA;;;
428589;5898;-1;Genesis;13;3;HLK;qal;JLK ;WJLK LMS<JW MNGB W<D&BJT_>L <D&HMQWM >L&MQWM HMZBX ;;;;;;;;;;;
428589;5898;654777;Genesis;13;3;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428589;5898;654778;Genesis;13;3;HLK;qal;;JLK ;phrase;;;VP;Pred;core;regular;NA;;;
428589;5898;654779;Genesis;13;3;HLK;qal;;LMS<JW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428589;5898;654780;Genesis;13;3;HLK;qal;;MNGB W<D&BJT_>L ;phrase;;;PP;Cmpl;complement;NA;*;;;
428589;5898;654781;Genesis;13;3;HLK;qal;;<D&HMQWM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428589;5898;654788;Genesis;13;3;HLK;qal;;>L&MQWM HMZBX ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428595;5944;-1;Genesis;13;5;HLK;qal;HLK ;HHLK >T&>BRM ;;;;;;;;;;;
428595;5944;654801;Genesis;13;5;HLK;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428595;5944;654802;Genesis;13;5;HLK;qal;;HLK ;phrase;;;VP;PreC;core;regular;NA;;;
428595;5944;654803;Genesis;13;5;HLK;qal;;>T&>BRM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428639;6181;-1;Genesis;13;17;HLK;hit;HTHLK ;HTHLK B>RY L>RKH WLRXBH ;;;;;;;;;;;
428639;6181;654944;Genesis;13;17;HLK;hit;;HTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428639;6181;654945;Genesis;13;17;HLK;hit;;B>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428639;6181;654946;Genesis;13;17;HLK;hit;;L>RKH WLRXBH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428675;6423;-1;Genesis;14;11;HLK;qal;JLKW00 ;WJLKW00 ;;;;;;;;;;;
428675;6423;655048;Genesis;14;11;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428675;6423;655049;Genesis;14;11;HLK;qal;;JLKW00 ;phrase;;;VP;Pred;core;regular;NA;;;
428677;6435;-1;Genesis;14;12;HLK;qal;JLKW ;WJLKW ;;;;;;;;;;;
428677;6435;655053;Genesis;14;12;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428677;6435;655054;Genesis;14;12;HLK;qal;;JLKW ;phrase;;;VP;Pred;core;regular;NA;;;
428721;6661;-1;Genesis;14;24;HLK;qal;HLKW ;>CR HLKW >TJ ;;;;;;;;;;;
428721;6661;655179;Genesis;14;24;HLK;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428721;6661;655180;Genesis;14;24;HLK;qal;;HLKW ;phrase;;;VP;Pred;core;regular;NA;;;
428721;6661;655181;Genesis;14;24;HLK;qal;;>TJ ;phrase;;;PP;Cmpl;complement;NA;*;;;
428732;6704;-1;Genesis;15;2;HLK;qal;HWLK ;W>NKJ HWLK <RJRJ ;;;;;;;;;;;
428732;6704;655207;Genesis;15;2;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428732;6704;655208;Genesis;15;2;HLK;qal;;>NKJ ;phrase;;;PPrP;Subj;core;NA;subject;;;
428732;6704;655209;Genesis;15;2;HLK;qal;;HWLK ;phrase;;;VP;PreC;core;regular;NA;;;
428732;6704;655210;Genesis;15;2;HLK;qal;;<RJRJ ;phrase;;;AdjP;PrAd;adjunct;NA;NA;;;
428834;7189;-1;Genesis;16;8;HLK;qal;TLKJ ;W>NH TLKJ ;;;;;;;;;;;
428834;7189;655512;Genesis;16;8;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428834;7189;655513;Genesis;16;8;HLK;qal;;>NH ;phrase;;;InrP;Cmpl;complement;NA;*;;;
428834;7189;655514;Genesis;16;8;HLK;qal;;TLKJ ;phrase;;;VP;Pred;core;regular;NA;;;
428869;7344;-1;Genesis;17;1;HLK;hit;HTHLK ;HTHLK LPNJ ;;;;;;;;;;;
428869;7344;655622;Genesis;17;1;HLK;hit;;HTHLK ;phrase;;;VP;Pred;core;regular;NA;;;
428869;7344;655623;Genesis;17;1;HLK;hit;;LPNJ ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
429019;8088;-1;Genesis;18;16;HLK;qal;HLK ;W>BRHM HLK <MM ;;;;;;;;;;;
429019;8088;656084;Genesis;18;16;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429019;8088;656085;Genesis;18;16;HLK;qal;;>BRHM ;phrase;;;PrNP;Subj;core;NA;subject;;;
429019;8088;656086;Genesis;18;16;HLK;qal;;HLK ;phrase;;;VP;PreC;core;regular;NA;;;
429019;8088;656087;Genesis;18;16;HLK;qal;;<MM ;phrase;;;PP;Cmpl;complement;NA;*;;;
429019;8088;429020;Genesis;18;16;HLK;qal;;LCLXM00 ;clause;InfC;Adju;;;NA;NA;;;;
429044;8185;-1;Genesis;18;22;HLK;qal;JLKW ;WJLKW SDMH ;;;;;;;;;;;
429044;8185;656154;Genesis;18;22;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429044;8185;656155;Genesis;18;22;HLK;qal;;JLKW ;phrase;;;VP;Pred;core;regular;NA;;;
429044;8185;656156;Genesis;18;22;HLK;qal;;SDMH ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
429098;8410;-1;Genesis;18;33;HLK;qal;JLK ;WJLK JHWH ;;;;;;;;;;;
429098;8410;656315;Genesis;18;33;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429098;8410;656316;Genesis;18;33;HLK;qal;;JLK ;phrase;;;VP;Pred;core;regular;NA;;;
429098;8410;656317;Genesis;18;33;HLK;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
429116;8468;-1;Genesis;19;2;HLK;qal;HLKTM ;WHLKTM LDRKKM ;;;;;;;;;;;
429116;8468;656360;Genesis;19;2;HLK;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429116;8468;656361;Genesis;19;2;HLK;qal;;HLKTM ;phrase;;;VP;Pred;core;regular;NA;;;
429116;8468;656362;Genesis;19;2;HLK;qal;;LDRKKM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
