cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427594;205;-1;Genesis;1;12;JY>;hif;TWY> ;WTWY> H>RY DC> <FB W<Y ;;;;;;;;;;;
427594;205;651675;Genesis;1;12;JY>;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427594;205;651676;Genesis;1;12;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
427594;205;651677;Genesis;1;12;JY>;hif;;H>RY ;phrase;;;NP;Subj;core;NA;subject;;;
427594;205;651678;Genesis;1;12;JY>;hif;;DC> <FB W<Y ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427640;449;-1;Genesis;1;24;JY>;hif;TWY> ;TWY> H>RY NPC XJH LMJNH ;;;;;;;;;;;
427640;449;651804;Genesis;1;24;JY>;hif;;TWY> ;phrase;;;VP;Pred;core;regular;NA;;;
427640;449;651805;Genesis;1;24;JY>;hif;;H>RY ;phrase;;;NP;Subj;core;NA;subject;;;
427640;449;651806;Genesis;1;24;JY>;hif;;NPC XJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427640;449;651807;Genesis;1;24;JY>;hif;;LMJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427711;865;-1;Genesis;2;10;JY>;qal;JY> ;WNHR JY> M<DN ;;;;;;;;;;;
427711;865;652025;Genesis;2;10;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427711;865;652026;Genesis;2;10;JY>;qal;;NHR ;phrase;;;NP;Subj;core;NA;subject;;;
427711;865;652027;Genesis;2;10;JY>;qal;;JY> ;phrase;;;VP;PreC;core;regular;NA;;;
427711;865;652028;Genesis;2;10;JY>;qal;;M<DN ;phrase;;;PP;Cmpl;complement;NA;*;;;
427711;865;427712;Genesis;2;10;JY>;qal;;LHCQWT >T&HGN ;clause;InfC;Adju;;;NA;NA;;;;
427938;1930;-1;Genesis;4;16;JY>;qal;JY> ;WJY> QJN MLPNJ JHWH ;;;;;;;;;;;
427938;1930;652695;Genesis;4;16;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427938;1930;652696;Genesis;4;16;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
427938;1930;652697;Genesis;4;16;JY>;qal;;QJN ;phrase;;;PrNP;Subj;core;NA;subject;;;
427938;1930;652698;Genesis;4;16;JY>;qal;;MLPNJ JHWH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428209;3675;-1;Genesis;8;7;JY>;qal;JY> ;WJY> JYW> WCWB ;;;;;;;;;;;
428209;3675;653585;Genesis;8;7;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428209;3675;653586;Genesis;8;7;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428209;3675;653587;Genesis;8;7;JY>;qal;;JYW> WCWB ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
428209;3675;428210;Genesis;8;7;JY>;qal;;<D&JBCT HMJM M<L H>RY00 ;clause;InfC;Adju;;;NA;NA;;;;
428239;3859;-1;Genesis;8;16;JY>;qal;Y> ;Y> MN&HTBH >TH W>CTK WBNJK WNCJ&BNJK >TK00 ;;;;;;;;;;;
428239;3859;653689;Genesis;8;16;JY>;qal;;Y> ;phrase;;;VP;Pred;core;regular;NA;;;
428239;3859;653690;Genesis;8;16;JY>;qal;;MN&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428239;3859;653691;Genesis;8;16;JY>;qal;;>TH W>CTK WBNJK WNCJ&BNJK >TK00 ;phrase;;;PPrP;Subj;core;NA;subject;;;
428240;3897;-1;Genesis;8;17;JY>;hif;HWY> ;KL&HXJH MKL&BFR B<WP WBBHMH WBKL&HRMF HWY> >TK ;;;;;;;;;;;
428240;3897;653692;Genesis;8;17;JY>;hif;;KL&HXJH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428240;3897;653695;Genesis;8;17;JY>;hif;;MKL&BFR B<WP WBBHMH WBKL&HRMF ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428240;3897;653699;Genesis;8;17;JY>;hif;;HWY> ;phrase;;;VP;Pred;core;regular;NA;;;
428240;3897;653700;Genesis;8;17;JY>;hif;;>TK ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428246;3912;-1;Genesis;8;18;JY>;qal;JY>&;WJY>&NX WBNJW W>CTW WNCJ&BNJW >TW00 ;;;;;;;;;;;
428246;3912;653709;Genesis;8;18;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428246;3912;653710;Genesis;8;18;JY>;qal;;JY>&;phrase;;;VP;Pred;core;regular;NA;;;
428246;3912;653711;Genesis;8;18;JY>;qal;;NX WBNJW W>CTW WNCJ&BNJW >TW00 ;phrase;;;PrNP;Subj;core;NA;subject;;;
428247;3939;-1;Genesis;8;19;JY>;qal;JY>W ;KL&HXJH KL&HRMF WKL&H<WP KL LMCPXTJHM JY>W MN&HTBH00 ;;;;;;;;;;;
428247;3939;653712;Genesis;8;19;JY>;qal;;KL&HXJH KL&HRMF WKL&H<WP KL ;phrase;;;NP;Subj;core;NA;subject;;;
428247;3939;653715;Genesis;8;19;JY>;qal;;LMCPXTJHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428247;3939;653716;Genesis;8;19;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428247;3939;653717;Genesis;8;19;JY>;qal;;MN&HTBH00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
428291;4209;-1;Genesis;9;10;JY>;qal;JY>J ;JY>J HTBH ;;;;;;;;;;;
428291;4209;653843;Genesis;9;10;JY>;qal;;JY>J ;phrase;;;VP;PreC;core;regular;NA;;;
428291;4209;653844;Genesis;9;10;JY>;qal;;HTBH ;phrase;;;NP;Cmpl;complement;NA;*;;;
428318;4375;-1;Genesis;9;18;JY>;qal;JY>JM ;HJY>JM MN&HTBH ;;;;;;;;;;;
428318;4375;653930;Genesis;9;18;JY>;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428318;4375;653931;Genesis;9;18;JY>;qal;;JY>JM ;phrase;;;VP;PreC;core;regular;NA;;;
428318;4375;653932;Genesis;9;18;JY>;qal;;MN&HTBH ;phrase;;;PP;Cmpl;complement;NA;*;;;
428369;4679;-1;Genesis;10;11;JY>;qal;JY> ;MN&H>RY HHW> JY> >CWR ;;;;;;;;;;;
428369;4679;654091;Genesis;10;11;JY>;qal;;MN&H>RY HHW> ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428369;4679;654092;Genesis;10;11;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428369;4679;654093;Genesis;10;11;JY>;qal;;>CWR ;phrase;;;PrNP;Subj;core;NA;subject;;;
428375;4725;-1;Genesis;10;14;JY>;qal;JY>W ;>CR JY>W MCM PLCTJM ;;;;;;;;;;;
428375;4725;654108;Genesis;10;14;JY>;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428375;4725;654109;Genesis;10;14;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428375;4725;654110;Genesis;10;14;JY>;qal;;MCM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428375;4725;654111;Genesis;10;14;JY>;qal;;PLCTJM ;phrase;;;NP;Subj;core;NA;subject;;;
428499;5454;-1;Genesis;11;31;JY>;qal;JY>W ;WJY>W >TM M>WR KFDJM ;;;;;;;;;;;
428499;5454;654494;Genesis;11;31;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428499;5454;654495;Genesis;11;31;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428499;5454;654496;Genesis;11;31;JY>;qal;;>TM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428499;5454;654497;Genesis;11;31;JY>;qal;;M>WR KFDJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
428499;5454;428500;Genesis;11;31;JY>;qal;;LLKT >RYH KN<N ;clause;InfC;Adju;;;NA;NA;;;;
428519;5552;-1;Genesis;12;4;JY>;qal;Y>TW ;BY>TW MXRN00 ;;;;;;;;;;;
428519;5552;654559;Genesis;12;4;JY>;qal;;BY>TW ;phrase;;;VP;PreS;core;regular;subject;;;
428519;5552;654560;Genesis;12;4;JY>;qal;;MXRN00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
428523;5581;-1;Genesis;12;5;JY>;qal;JY>W ;WJY>W ;;;;;;;;;;;
428523;5581;654570;Genesis;12;5;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428523;5581;654571;Genesis;12;5;JY>;qal;;JY>W ;phrase;;;VP;Pred;core;regular;NA;;;
428523;5581;428524;Genesis;12;5;JY>;qal;;LLKT >RYH KN<N ;clause;InfC;Adju;;;NA;NA;;;;
428665;6343;-1;Genesis;14;8;JY>;qal;JY> ;WJY> MLK&SDM WMLK <MRH WMLK >DMH WMLK YBJJM WMLK BL< ;;;;;;;;;;;
428665;6343;655023;Genesis;14;8;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428665;6343;655024;Genesis;14;8;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428665;6343;655025;Genesis;14;8;JY>;qal;;MLK&SDM WMLK <MRH WMLK >DMH WMLK YBJJM WMLK BL< ;phrase;;;NP;Subj;core;NA;subject;;;
428693;6532;-1;Genesis;14;17;JY>;qal;JY> ;WJY> MLK&SDM ;;;;;;;;;;;
428693;6532;655106;Genesis;14;17;JY>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428693;6532;655107;Genesis;14;17;JY>;qal;;JY> ;phrase;;;VP;Pred;core;regular;NA;;;
428693;6532;655108;Genesis;14;17;JY>;qal;;MLK&SDM ;phrase;;;NP;Subj;core;NA;subject;;;
428693;6532;428694;Genesis;14;17;JY>;qal;;LQR>TW ;clause;InfC;Adju;;;NA;NA;;;;
428693;6532;428695;Genesis;14;17;JY>;qal;;>XRJ CWBW ;clause;InfC;Adju;;;NA;NA;;;;
428699;6560;-1;Genesis;14;18;JY>;hif;HWYJ> ;WMLKJ_YDQ MLK CLM HWYJ> LXM WJJN ;;;;;;;;;;;
