cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427926;1879;-1;Genesis;4;13;NF>;qal;NF>00 ;MNF>00 ;;;;;;;;;;;
427926;1879;652659;Genesis;4;13;NF>;qal;;MNF>00 ;phrase;;;VP;Pred;core;regular;NA;;;
428172;3386;-1;Genesis;7;17;NF>;qal;JF>W ;WJF>W >T&HTBH ;;;;;;;;;;;
428172;3386;653456;Genesis;7;17;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428172;3386;653457;Genesis;7;17;NF>;qal;;JF>W ;phrase;;;VP;Pred;core;regular;NA;;;
428172;3386;653458;Genesis;7;17;NF>;qal;;>T&HTBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428596;5955;-1;Genesis;13;6;NF>;qal;NF> ;WL>&NF> >TM H>RY ;;;;;;;;;;;
428596;5955;654810;Genesis;13;6;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428596;5955;654811;Genesis;13;6;NF>;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428596;5955;654812;Genesis;13;6;NF>;qal;;NF> ;phrase;;;VP;Pred;core;regular;NA;;;
428596;5955;654813;Genesis;13;6;NF>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428596;5955;654814;Genesis;13;6;NF>;qal;;H>RY ;phrase;;;NP;Subj;core;NA;subject;;;
428596;5955;428597;Genesis;13;6;NF>;qal;;LCBT JXDW ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428612;6040;-1;Genesis;13;10;NF>;qal;JF>&;WJF>&LWV >T&<JNJW ;;;;;;;;;;;
428612;6040;654863;Genesis;13;10;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428612;6040;654864;Genesis;13;10;NF>;qal;;JF>&;phrase;;;VP;Pred;core;regular;NA;;;
428612;6040;654865;Genesis;13;10;NF>;qal;;LWV ;phrase;;;PrNP;Subj;core;NA;subject;;;
428612;6040;654866;Genesis;13;10;NF>;qal;;>T&<JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428627;6126;-1;Genesis;13;14;NF>;qal;F> ;F> N> <JNJK ;;;;;;;;;;;
428627;6126;654915;Genesis;13;14;NF>;qal;;F> ;phrase;;;VP;Pred;core;regular;NA;;;
428627;6126;654916;Genesis;13;14;NF>;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428627;6126;654917;Genesis;13;14;NF>;qal;;<JNJK ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428949;7819;-1;Genesis;18;2;NF>;qal;JF> ;WJF> <JNJW ;;;;;;;;;;;
428949;7819;655897;Genesis;18;2;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428949;7819;655898;Genesis;18;2;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
428949;7819;655899;Genesis;18;2;NF>;qal;;<JNJW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429053;8218;-1;Genesis;18;24;NF>;qal;TF> ;WL>&TF> LMQWM LM<N XMCJM HYDJQM ;;;;;;;;;;;
429053;8218;656184;Genesis;18;24;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429053;8218;656185;Genesis;18;24;NF>;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
