cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427926;1879;-1;Genesis;4;13;NF>;qal;NF>00 ;MNF>00 ;;;;;;;;;;;
427926;1879;652410;Genesis;4;13;NF>;qal;;MNF>00 ;phrase;;;VP;Pred;core;regular;NA;;;
428172;3386;-1;Genesis;7;17;NF>;qal;JF>W ;WJF>W >T&HTBH ;;;;;;;;;;;
428172;3386;653205;Genesis;7;17;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428172;3386;653206;Genesis;7;17;NF>;qal;;JF>W ;phrase;;;VP;Pred;core;regular;NA;;;
428172;3386;653207;Genesis;7;17;NF>;qal;;>T&HTBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428595;5955;-1;Genesis;13;6;NF>;qal;NF> ;WL>&NF> >TM H>RY ;;;;;;;;;;;
428595;5955;654559;Genesis;13;6;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428595;5955;654560;Genesis;13;6;NF>;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428595;5955;654561;Genesis;13;6;NF>;qal;;NF> ;phrase;;;VP;Pred;core;regular;NA;;;
428595;5955;654562;Genesis;13;6;NF>;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
428595;5955;654563;Genesis;13;6;NF>;qal;;H>RY ;phrase;;;NP;Subj;core;NA;subject;;;
428595;5955;428596;Genesis;13;6;NF>;qal;;LCBT JXDW ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
428611;6040;-1;Genesis;13;10;NF>;qal;JF>&;WJF>&LWV >T&<JNJW ;;;;;;;;;;;
428611;6040;654612;Genesis;13;10;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428611;6040;654613;Genesis;13;10;NF>;qal;;JF>&;phrase;;;VP;Pred;core;regular;NA;;;
428611;6040;654614;Genesis;13;10;NF>;qal;;LWV ;phrase;;;PrNP;Subj;core;NA;subject;;;
428611;6040;654615;Genesis;13;10;NF>;qal;;>T&<JNJW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
428626;6126;-1;Genesis;13;14;NF>;qal;F> ;F> N> <JNJK ;;;;;;;;;;;
428626;6126;654664;Genesis;13;14;NF>;qal;;F> ;phrase;;;VP;Pred;core;regular;NA;;;
428626;6126;654665;Genesis;13;14;NF>;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428626;6126;654666;Genesis;13;14;NF>;qal;;<JNJK ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428948;7819;-1;Genesis;18;2;NF>;qal;JF> ;WJF> <JNJW ;;;;;;;;;;;
428948;7819;655646;Genesis;18;2;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428948;7819;655647;Genesis;18;2;NF>;qal;;JF> ;phrase;;;VP;Pred;core;regular;NA;;;
428948;7819;655648;Genesis;18;2;NF>;qal;;<JNJW ;phrase;;;NP;Objc;complement;NA;direct_object;;;
429052;8218;-1;Genesis;18;24;NF>;qal;TF> ;WL>&TF> LMQWM LM<N XMCJM HYDJQM ;;;;;;;;;;;
429052;8218;655933;Genesis;18;24;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429052;8218;655934;Genesis;18;24;NF>;qal;;L>&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
429052;8218;655935;Genesis;18;24;NF>;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
429052;8218;655936;Genesis;18;24;NF>;qal;;LMQWM ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
429052;8218;655937;Genesis;18;24;NF>;qal;;LM<N XMCJM HYDJQM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
429062;8275;-1;Genesis;18;26;NF>;qal;NF>TJ ;WNF>TJ LKL&HMQWM B<BWRM00 ;;;;;;;;;;;
429062;8275;655966;Genesis;18;26;NF>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429062;8275;655967;Genesis;18;26;NF>;qal;;NF>TJ ;phrase;;;VP;Pred;core;regular;NA;;;
