cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427611;315;-1;Genesis;1;17;NTN;qal;JTN ;WJTN >TM >LHJM BRQJ< HCMJM ;;;;;;;;;;;
427611;315;651720;Genesis;1;17;NTN;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427611;315;651721;Genesis;1;17;NTN;qal;;JTN ;phrase;;;VP;Pred;core;regular;NA;;;
427611;315;651722;Genesis;1;17;NTN;qal;;>TM ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427611;315;651723;Genesis;1;17;NTN;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427611;315;651724;Genesis;1;17;NTN;qal;;BRQJ< HCMJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
427611;315;427612;Genesis;1;17;NTN;qal;;LH>JR <L&H>RY00 ;clause;InfC;Adju;;;NA;NA;infinitive_object;;;
427664;594;-1;Genesis;1;29;NTN;qal;NTTJ ;HNH NTTJ LKM >T&KL&<FB05 W>T&KL&H<Y ;;;;;;;;;;;
427664;594;651874;Genesis;1;29;NTN;qal;;HNH ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
427664;594;651875;Genesis;1;29;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
427664;594;651876;Genesis;1;29;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427664;594;651877;Genesis;1;29;NTN;qal;;>T&KL&<FB05 W>T&KL&H<Y ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427797;1291;-1;Genesis;3;6;NTN;qal;TTN ;WTTN GM&L>JCH <MH ;;;;;;;;;;;
427797;1291;652272;Genesis;3;6;NTN;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427797;1291;652273;Genesis;3;6;NTN;qal;;TTN ;phrase;;;VP;Pred;core;regular;NA;;;
427797;1291;652274;Genesis;3;6;NTN;qal;;GM&L>JCH ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427797;1291;652275;Genesis;3;6;NTN;qal;;<MH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427823;1396;-1;Genesis;3;12;NTN;qal;NTTH ;>CR NTTH <MDJ ;;;;;;;;;;;
427823;1396;652343;Genesis;3;12;NTN;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427823;1396;652344;Genesis;3;12;NTN;qal;;NTTH ;phrase;;;VP;Pred;core;regular;NA;;;
427823;1396;652345;Genesis;3;12;NTN;qal;;<MDJ ;phrase;;;PP;Cmpl;complement;NA;*;;;
427824;1399;-1;Genesis;3;12;NTN;qal;NTNH&;HW> NTNH&LJ MN&H<Y ;;;;;;;;;;;
427824;1399;652346;Genesis;3;12;NTN;qal;;HW> ;phrase;;;PPrP;Subj;core;NA;subject;;;
427824;1399;652347;Genesis;3;12;NTN;qal;;NTNH&;phrase;;;VP;Pred;core;regular;NA;;;
427824;1399;652348;Genesis;3;12;NTN;qal;;LJ ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
427824;1399;652349;Genesis;3;12;NTN;qal;;MN&H<Y ;phrase;;;PP;Cmpl;complement;NA;*;;;
427922;1861;-1;Genesis;4;12;NTN;qal;TT&;TT&KXH LK ;;;;;;;;;;;
427922;1861;652643;Genesis;4;12;NTN;qal;;TT&;phrase;;;VP;Pred;core;regular;NA;;;
427922;1861;652644;Genesis;4;12;NTN;qal;;KXH ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427922;1861;652645;Genesis;4;12;NTN;qal;;LK ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428269;4085;-1;Genesis;9;2;NTN;nif;NTNW00 ;BJDKM NTNW00 ;;;;;;;;;;;
428269;4085;653778;Genesis;9;2;NTN;nif;;BJDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428269;4085;653779;Genesis;9;2;NTN;nif;;NTNW00 ;phrase;;;VP;Pred;core;regular;NA;;;
428272;4098;-1;Genesis;9;3;NTN;qal;NTTJ ;KJRQ <FB NTTJ LKM >T&KL00 ;;;;;;;;;;;
428272;4098;653787;Genesis;9;3;NTN;qal;;KJRQ <FB ;phrase;;;PP;Adju;adjunct;NA;NA;;;
428272;4098;653788;Genesis;9;3;NTN;qal;;NTTJ ;phrase;;;VP;Pred;core;regular;NA;;;
428272;4098;653789;Genesis;9;3;NTN;qal;;LKM ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
428272;4098;653790;Genesis;9;3;NTN;qal;;>T&KL00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
