cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
429363;9624;-1;Genesis;21;1;PQD;qal;PQD ;WJHWH PQD >T&FRH ;;;;;;;;;;;
429363;9624;657116;Genesis;21;1;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429363;9624;657117;Genesis;21;1;PQD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
429363;9624;657118;Genesis;21;1;PQD;qal;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
429363;9624;657119;Genesis;21;1;PQD;qal;;>T&FRH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431967;21478;-1;Genesis;39;4;PQD;hif;JPQDHW ;WJPQDHW <L&BJTW ;;;;;;;;;;;
431967;21478;664859;Genesis;39;4;PQD;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431967;21478;664860;Genesis;39;4;PQD;hif;;JPQDHW ;phrase;;;VP;PreO;core;regular;direct_object;;;
431967;21478;664861;Genesis;39;4;PQD;hif;;<L&BJTW ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
431971;21492;-1;Genesis;39;5;PQD;hif;HPQJD ;M>Z HPQJD >TW BBJTW W<L KL&;;;;;;;;;;;
431971;21492;664870;Genesis;39;5;PQD;hif;;M>Z ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
431971;21492;664871;Genesis;39;5;PQD;hif;;HPQJD ;phrase;;;VP;Pred;core;regular;NA;;;
431971;21492;664872;Genesis;39;5;PQD;hif;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
431971;21492;664873;Genesis;39;5;PQD;hif;;BBJTW W<L KL&;phrase;;;PP;Cmpl;complement;NA;*;;location;location
432071;21967;-1;Genesis;40;4;PQD;qal;JPQD ;WJPQD FR HVBXJM >T&JWSP >TM ;;;;;;;;;;;
432071;21967;665170;Genesis;40;4;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432071;21967;665171;Genesis;40;4;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
432071;21967;665172;Genesis;40;4;PQD;qal;;FR HVBXJM ;phrase;;;NP;Subj;core;NA;subject;;;
432071;21967;665173;Genesis;40;4;PQD;qal;;>T&JWSP ;phrase;;;PP;Objc;complement;NA;direct_object;;;
432071;21967;665174;Genesis;40;4;PQD;qal;;>TM ;phrase;;;PP;Cmpl;complement;NA;*;;;
432258;22961;-1;Genesis;41;34;PQD;hif;JPQD ;WJPQD PQDJM <L&H>RY ;;;;;;;;;;;
432258;22961;665750;Genesis;41;34;PQD;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
432258;22961;665751;Genesis;41;34;PQD;hif;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
432258;22961;665752;Genesis;41;34;PQD;hif;;PQDJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
432258;22961;665753;Genesis;41;34;PQD;hif;;<L&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
433531;28705;-1;Genesis;50;24;PQD;qal;PQD ;W>LHJM PQD JPQD >TKM ;;;;;;;;;;;
433531;28705;669490;Genesis;50;24;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433531;28705;669491;Genesis;50;24;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
433531;28705;669492;Genesis;50;24;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433531;28705;669493;Genesis;50;24;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
433531;28705;669494;Genesis;50;24;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433536;28736;-1;Genesis;50;25;PQD;qal;PQD ;PQD JPQD >LHJM >TKM ;;;;;;;;;;;
433536;28736;669508;Genesis;50;25;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433536;28736;669509;Genesis;50;25;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
433536;28736;669510;Genesis;50;25;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
433536;28736;669511;Genesis;50;25;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433813;30008;-1;Exodus;3;16;PQD;qal;PQD ;PQD PQDTJ >TKM ;;;;;;;;;;;
433813;30008;670314;Exodus;3;16;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
433813;30008;670315;Exodus;3;16;PQD;qal;;PQDTJ ;phrase;;;VP;Pred;core;regular;NA;;;
433813;30008;670316;Exodus;3;16;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
433991;30793;-1;Exodus;4;31;PQD;qal;PQD ;KJ&PQD JHWH >T&BNJ JFR>L ;;;;;;;;;;;
433991;30793;670840;Exodus;4;31;PQD;qal;;KJ&;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
433991;30793;670841;Exodus;4;31;PQD;qal;;PQD ;phrase;;;VP;Pred;core;regular;NA;;;
433991;30793;670842;Exodus;4;31;PQD;qal;;JHWH ;phrase;;;PrNP;Subj;core;NA;subject;;;
433991;30793;670843;Exodus;4;31;PQD;qal;;>T&BNJ JFR>L ;phrase;;;PP;Objc;complement;NA;direct_object;;;
434990;36167;-1;Exodus;13;19;PQD;qal;PQD ;PQD JPQD >LHJM >TKM ;;;;;;;;;;;
434990;36167;673944;Exodus;13;19;PQD;qal;;PQD ;phrase;;;AdvP;Modi;NA;NA;NA;;NA;NA
434990;36167;673945;Exodus;13;19;PQD;qal;;JPQD ;phrase;;;VP;Pred;core;regular;NA;;;
434990;36167;673946;Exodus;13;19;PQD;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
434990;36167;673947;Exodus;13;19;PQD;qal;;>TKM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
435710;39666;-1;Exodus;20;5;PQD;qal;PQD ;PQD <WN >BT <L&BNJM ;;;;;;;;;;;
435710;39666;676111;Exodus;20;5;PQD;qal;;PQD ;phrase;;;VP;PreC;core;regular;NA;;;
435710;39666;676112;Exodus;20;5;PQD;qal;;<WN >BT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
435710;39666;676113;Exodus;20;5;PQD;qal;;<L&BNJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
436742;45713;-1;Exodus;30;12;PQD;qal;PQDJHM ;KJ TF> >T&R>C BNJ&JFR>L LPQDJHM ;;;;;;;;;;;
436742;45713;679397;Exodus;30;12;PQD;qal;;KJ ;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
436742;45713;679398;Exodus;30;12;PQD;qal;;TF> ;phrase;;;VP;Pred;core;regular;NA;;;
436742;45713;679399;Exodus;30;12;PQD;qal;;>T&R>C BNJ&JFR>L ;phrase;;;PP;Objc;complement;NA;direct_object;;;
436742;45713;679400;Exodus;30;12;PQD;qal;;LPQDJHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
436745;45722;-1;Exodus;30;12;PQD;qal;PQD ;BPQD >TM ;;;;;;;;;;;
436745;45722;679406;Exodus;30;12;PQD;qal;;BPQD ;phrase;;;VP;Pred;core;regular;NA;;;
436745;45722;679407;Exodus;30;12;PQD;qal;;>TM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
436747;45730;-1;Exodus;30;12;PQD;qal;PQD ;BPQD >TM00 ;;;;;;;;;;;
436747;45730;679413;Exodus;30;12;PQD;qal;;BPQD ;phrase;;;VP;Pred;core;regular;NA;;;
436747;45730;679414;Exodus;30;12;PQD;qal;;>TM00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
436749;45739;-1;Exodus;30;13;PQD;qal;PQDJM ;H<BR <L&HPQDJM ;;;;;;;;;;;
436749;45739;679418;Exodus;30;13;PQD;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
436749;45739;679419;Exodus;30;13;PQD;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
436749;45739;679420;Exodus;30;13;PQD;qal;;<L&HPQDJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
436753;45762;-1;Exodus;30;14;PQD;qal;PQDJM ;H<BR <L&HPQDJM ;;;;;;;;;;;
436753;45762;679427;Exodus;30;14;PQD;qal;;H;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
436753;45762;679428;Exodus;30;14;PQD;qal;;<BR ;phrase;;;VP;PreC;core;regular;NA;;;
436753;45762;679429;Exodus;30;14;PQD;qal;;<L&HPQDJM ;phrase;;;PP;Cmpl;complement;NA;*;;;
437060;47248;-1;Exodus;32;34;PQD;qal;PQDJ ;WBJWM PQDJ ;;;;;;;;;;;
437060;47248;680288;Exodus;32;34;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
437060;47248;680289;Exodus;32;34;PQD;qal;;BJWM PQDJ ;phrase;;;PP;Frnt;NA;NA;NA;;NA;NA
437061;47250;-1;Exodus;32;34;PQD;qal;PQDTJ ;WPQDTJ <LJHM XV>TM00 ;;;;;;;;;;;
437061;47250;680290;Exodus;32;34;PQD;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
437061;47250;680291;Exodus;32;34;PQD;qal;;PQDTJ ;phrase;;;VP;Pred;core;regular;NA;;;
437061;47250;680292;Exodus;32;34;PQD;qal;;<LJHM ;phrase;;;PP;Cmpl;complement;NA;*;;;
437061;47250;680293;Exodus;32;34;PQD;qal;;XV>TM00 ;phrase;;;NP;Objc;complement;NA;direct_object;;;
437205;47925;-1;Exodus;34;7;PQD;qal;PQD05 ;PQD05 <WN >BWT <L&BNJM W<L&BNJ BNJM <L&CLCJM W<L&RB<JM00 ;;;;;;;;;;;
437205;47925;680719;Exodus;34;7;PQD;qal;;PQD05 ;phrase;;;VP;PreC;core;regular;NA;;;
437205;47925;680720;Exodus;34;7;PQD;qal;;<WN >BWT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
437205;47925;680721;Exodus;34;7;PQD;qal;;<L&BNJM W<L&BNJ BNJM <L&CLCJM W<L&RB<JM00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
437639;50789;-1;Exodus;38;21;PQD;qal;PQWDJ ;>LH PQWDJ HMCKN MCKN H<DT ;;;;;;;;;;;
437639;50789;682042;Exodus;38;21;PQD;qal;;>LH ;phrase;;;DPrP;Subj;core;NA;subject;;;
437639;50789;682043;Exodus;38;21;PQD;qal;;PQWDJ HMCKN MCKN H<DT ;phrase;;;NP;PreC;core;regular;NA;;;
