cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427560;59;-1;Genesis;1;5;QR>;qal;JQR> ;WJQR> >LHJM05 L>WR JWM ;;;;;;;;;;;
427560;59;651325;Genesis;1;5;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427560;59;651326;Genesis;1;5;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427560;59;651327;Genesis;1;5;QR>;qal;;>LHJM05 ;phrase;;;NP;Subj;core;NA;subject;;;
427560;59;651328;Genesis;1;5;QR>;qal;;L>WR ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427560;59;651329;Genesis;1;5;QR>;qal;;JWM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427561;69;-1;Genesis;1;5;QR>;qal;QR> ;WLXCK QR> LJLH ;;;;;;;;;;;
427561;69;651330;Genesis;1;5;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427561;69;651331;Genesis;1;5;QR>;qal;;LXCK ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427561;69;651332;Genesis;1;5;QR>;qal;;QR> ;phrase;;;VP;Pred;core;regular;NA;;;
427561;69;651333;Genesis;1;5;QR>;qal;;LJLH ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427573;126;-1;Genesis;1;8;QR>;qal;JQR> ;WJQR> >LHJM LRQJ< CMJM ;;;;;;;;;;;
427573;126;651365;Genesis;1;8;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427573;126;651366;Genesis;1;8;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427573;126;651367;Genesis;1;8;QR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427573;126;651368;Genesis;1;8;QR>;qal;;LRQJ< ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427573;126;651369;Genesis;1;8;QR>;qal;;CMJM ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427581;161;-1;Genesis;1;10;QR>;qal;JQR> ;WJQR> >LHJM05 LJBCH >RY ;;;;;;;;;;;
427581;161;651389;Genesis;1;10;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427581;161;651390;Genesis;1;10;QR>;qal;;JQR> ;phrase;;;VP;Pred;core;regular;NA;;;
427581;161;651391;Genesis;1;10;QR>;qal;;>LHJM05 ;phrase;;;NP;Subj;core;NA;subject;;;
427581;161;651392;Genesis;1;10;QR>;qal;;LJBCH ;phrase;;;PP;Cmpl;complement;NA;L_object;*;;
427581;161;651393;Genesis;1;10;QR>;qal;;>RY ;phrase;;;NP;Objc;complement;NA;principal_direct_object;;;
427582;172;-1;Genesis;1;10;QR>;qal;QR> ;WLMQWH HMJM QR> JMJM ;;;;;;;;;;;
427582;172;651394;Genesis;1;10;QR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
