cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428233;3821;-1;Genesis;8;13;SWR;hif;JSR ;WJSR NX >T&MKSH HTBH ;;;;;;;;;;;
428233;3821;653669;Genesis;8;13;SWR;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428233;3821;653670;Genesis;8;13;SWR;hif;;JSR ;phrase;;;VP;Pred;core;regular;NA;;;
428233;3821;653671;Genesis;8;13;SWR;hif;;NX ;phrase;;;PrNP;Subj;core;NA;subject;;;
428233;3821;653672;Genesis;8;13;SWR;hif;;>T&MKSH HTBH ;phrase;;;PP;Objc;complement;NA;direct_object;;;
429113;8455;-1;Genesis;19;2;SWR;qal;SWRW ;SWRW N> >L&BJT <BDKM ;;;;;;;;;;;
429113;8455;656355;Genesis;19;2;SWR;qal;;SWRW ;phrase;;;VP;Pred;core;regular;NA;;;
429113;8455;656356;Genesis;19;2;SWR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
429113;8455;656357;Genesis;19;2;SWR;qal;;>L&BJT <BDKM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
429122;8484;-1;Genesis;19;3;SWR;qal;JSRW ;WJSRW >LJW ;;;;;;;;;;;
429122;8484;656378;Genesis;19;3;SWR;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
429122;8484;656379;Genesis;19;3;SWR;qal;;JSRW ;phrase;;;VP;Pred;core;regular;NA;;;
429122;8484;656380;Genesis;19;3;SWR;qal;;>LJW ;phrase;;;PP;Cmpl;complement;NA;indirect_object;;;
430812;16098;-1;Genesis;30;32;SWR;hif;HSR ;HSR MCM KL&FH05 NQD WVLW> WKL&FH&XWM BKFBJM WVLW> WNQD B<ZJM ;;;;;;;;;;;
430812;16098;661445;Genesis;30;32;SWR;hif;;HSR ;phrase;;;VP;Pred;core;regular;NA;;;
430812;16098;661446;Genesis;30;32;SWR;hif;;MCM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
430812;16098;661447;Genesis;30;32;SWR;hif;;KL&FH05 NQD WVLW> WKL&FH&XWM BKFBJM WVLW> WNQD B<ZJM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
430822;16162;-1;Genesis;30;35;SWR;hif;JSR ;WJSR BJWM HHW> >T&HTJCJM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BKFBJM ;;;;;;;;;;;
