cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
428196;3565;-1;Genesis;8;1;<BR;hif;J<BR ;WJ<BR >LHJM RWX <L&H>RY ;;;;;;;;;;;
428196;3565;653283;Genesis;8;1;<BR;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428196;3565;653284;Genesis;8;1;<BR;hif;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428196;3565;653285;Genesis;8;1;<BR;hif;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
428196;3565;653286;Genesis;8;1;<BR;hif;;RWX ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428196;3565;653287;Genesis;8;1;<BR;hif;;<L&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428526;5591;-1;Genesis;12;6;<BR;qal;J<BR ;WJ<BR >BRM B>RY <D MQWM CKM <D >LWN MWRH ;;;;;;;;;;;
428526;5591;654326;Genesis;12;6;<BR;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428526;5591;654327;Genesis;12;6;<BR;qal;;J<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428526;5591;654328;Genesis;12;6;<BR;qal;;>BRM ;phrase;;;PrNP;Subj;core;NA;subject;;;
428526;5591;654329;Genesis;12;6;<BR;qal;;B>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428526;5591;654330;Genesis;12;6;<BR;qal;;<D MQWM CKM <D >LWN MWRH ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428792;6957;-1;Genesis;15;17;<BR;qal;<BR ;>CR <BR BJN HGZRJM H>LH00 ;;;;;;;;;;;
428792;6957;655141;Genesis;15;17;<BR;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
428792;6957;655142;Genesis;15;17;<BR;qal;;<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428792;6957;655143;Genesis;15;17;<BR;qal;;BJN HGZRJM H>LH00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428958;7853;-1;Genesis;18;3;<BR;qal;T<BR ;>L&N> T<BR M<L <BDK00 ;;;;;;;;;;;
428958;7853;655673;Genesis;18;3;<BR;qal;;>L&;phrase;;;NegP;Nega;NA;NA;NA;;NA;NA
428958;7853;655674;Genesis;18;3;<BR;qal;;N> ;phrase;;;InjP;Intj;NA;NA;NA;;NA;NA
428958;7853;655675;Genesis;18;3;<BR;qal;;T<BR ;phrase;;;VP;Pred;core;regular;NA;;;
428958;7853;655676;Genesis;18;3;<BR;qal;;M<L <BDK00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
428964;7877;-1;Genesis;18;5;<BR;qal;T<BRW ;>XR T<BRW ;;;;;;;;;;;
428964;7877;655692;Genesis;18;5;<BR;qal;;>XR ;phrase;;;AdvP;Time;adjunct;NA;NA;;time;time
428964;7877;655693;Genesis;18;5;<BR;qal;;T<BRW ;phrase;;;VP;Pred;core;regular;NA;;;
