cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427571;96;-1;Genesis;1;7;<FH;qal;J<F ;WJ<F >LHJM >T&HRQJ< ;;;;;;;;;;;
427571;96;651601;Genesis;1;7;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427571;96;651602;Genesis;1;7;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427571;96;651603;Genesis;1;7;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427571;96;651604;Genesis;1;7;<FH;qal;;>T&HRQJ< ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427591;191;-1;Genesis;1;11;<FH;qal;<FH ;<FH PRJ LMJNW <L&H>RY ;;;;;;;;;;;
427591;191;651661;Genesis;1;11;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427591;191;651662;Genesis;1;11;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427591;191;651663;Genesis;1;11;<FH;qal;;LMJNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427591;191;651667;Genesis;1;11;<FH;qal;;<L&H>RY ;phrase;;;PP;Loca;adjunct;NA;NA;;location;location
427596;216;-1;Genesis;1;12;<FH;qal;<FH ;<FH PRJ LMJNHW ;;;;;;;;;;;
427596;216;651678;Genesis;1;12;<FH;qal;;<FH ;phrase;;;VP;PreC;core;regular;NA;;;
427596;216;651679;Genesis;1;12;<FH;qal;;PRJ ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427596;216;651683;Genesis;1;12;<FH;qal;;LMJNHW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427610;283;-1;Genesis;1;16;<FH;qal;J<F ;WJ<F >LHJM >T&CNJ HM>RT HGDLJM >T&HM>WR HGDL LMMCLT HJWM W>T&HM>WR HQVN LMMCLT HLJLH W>T HKWKBJM00 ;;;;;;;;;;;
427610;283;651716;Genesis;1;16;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427610;283;651717;Genesis;1;16;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427610;283;651718;Genesis;1;16;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427610;283;651719;Genesis;1;16;<FH;qal;;>T&CNJ HM>RT HGDLJM >T&HM>WR HGDL LMMCLT HJWM W>T&HM>WR HQVN LMMCLT HLJLH W>T HKWKBJM00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427643;468;-1;Genesis;1;25;<FH;qal;J<F ;WJ<F >LHJM >T&XJT H>RY LMJNH ;;;;;;;;;;;
427643;468;651809;Genesis;1;25;<FH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427643;468;651810;Genesis;1;25;<FH;qal;;J<F ;phrase;;;VP;Pred;core;regular;NA;;;
427643;468;651811;Genesis;1;25;<FH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427643;468;651812;Genesis;1;25;<FH;qal;;>T&XJT H>RY ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427643;468;651813;Genesis;1;25;<FH;qal;;LMJNH ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427649;498;-1;Genesis;1;26;<FH;qal;N<FH ;N<FH >DM BYLMNW KDMWTNW ;;;;;;;;;;;
427649;498;651828;Genesis;1;26;<FH;qal;;N<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427649;498;651829;Genesis;1;26;<FH;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427649;498;651830;Genesis;1;26;<FH;qal;;BYLMNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427649;498;651831;Genesis;1;26;<FH;qal;;KDMWTNW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427674;660;-1;Genesis;1;31;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427674;660;651904;Genesis;1;31;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427674;660;651905;Genesis;1;31;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427681;694;-1;Genesis;2;2;<FH;qal;<FH ;>CR <FH ;;;;;;;;;;;
427681;694;651925;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427681;694;651926;Genesis;2;2;<FH;qal;;<FH ;phrase;;;VP;Pred;core;regular;NA;;;
427683;706;-1;Genesis;2;2;<FH;qal;<FH00 ;>CR <FH00 ;;;;;;;;;;;
427683;706;651931;Genesis;2;2;<FH;qal;;>CR ;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427683;706;651932;Genesis;2;2;<FH;qal;;<FH00 ;phrase;;;VP;Pred;core;regular;NA;;;
427688;727;-1;Genesis;2;3;<FH;qal;<FWT00_P ;L<FWT00_P ;;;;;;;;;;;
