cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427698;780;-1;Genesis;2;6;<LH;qal;J<LH ;W>D J<LH MN&H>RY ;;;;;;;;;;;
427698;780;651974;Genesis;2;6;<LH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427698;780;651975;Genesis;2;6;<LH;qal;;>D ;phrase;;;NP;Subj;core;NA;subject;;;
427698;780;651976;Genesis;2;6;<LH;qal;;J<LH ;phrase;;;VP;Pred;core;regular;NA;;;
427698;780;651977;Genesis;2;6;<LH;qal;;MN&H>RY ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428251;3965;-1;Genesis;8;20;<LH;hif;J<L ;WJ<L <LT BMZBX00 ;;;;;;;;;;;
428251;3965;653722;Genesis;8;20;<LH;hif;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428251;3965;653723;Genesis;8;20;<LH;hif;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
428251;3965;653724;Genesis;8;20;<LH;hif;;<LT ;phrase;;;NP;Objc;complement;NA;direct_object;;;
428251;3965;653725;Genesis;8;20;<LH;hif;;BMZBX00 ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428585;5867;-1;Genesis;13;1;<LH;qal;J<L ;WJ<L >BRM MMYRJM HW> W>CTW WKL&HNGBH00 ;;;;;;;;;;;
428585;5867;654762;Genesis;13;1;<LH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428585;5867;654763;Genesis;13;1;<LH;qal;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
428585;5867;654764;Genesis;13;1;<LH;qal;;>BRM HW> W>CTW WKL&;phrase;;;PrNP;Subj;core;NA;subject;;;
428585;5867;654765;Genesis;13;1;<LH;qal;;MMYRJM ;phrase;;;PP;Cmpl;complement;NA;*;;location;location
428585;5867;654771;Genesis;13;1;<LH;qal;;HNGBH00 ;phrase;;;AdvP;Cmpl;complement;NA;*;;location;location
428935;7709;-1;Genesis;17;22;<LH;qal;J<L ;WJ<L >LHJM M<L >BRHM00 ;;;;;;;;;;;
428935;7709;655848;Genesis;17;22;<LH;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
428935;7709;655849;Genesis;17;22;<LH;qal;;J<L ;phrase;;;VP;Pred;core;regular;NA;;;
428935;7709;655850;Genesis;17;22;<LH;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
428935;7709;655851;Genesis;17;22;<LH;qal;;M<L >BRHM00 ;phrase;;;PP;Cmpl;complement;NA;*;;;
429177;8748;-1;Genesis;19;15;<LH;qal;<LH ;WKMW HCXR <LH ;;;;;;;;;;;
