clause#;word#;passage;;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
426567;1;Genesis 1:1;;BR> ;;605132;BR>#JT ;Time;;605133;BR> ;Pred;;605134;>LHJM ;Subj;;605135;>T H#MJM W>T H>RY00;Objc;;;;;;;;;
426640;379;Genesis 1:21;;JBR> ;;605350;W;Conj;;605351;JBR> ;Pred;;605352;>LHJM ;Subj;;605353;>T&HTNJNM HGDLJM W>T KL&NP# ;Objc;;605361;LMJNHM ;Adju;;;;;
426669;533;Genesis 1:27;;JBR> ;;605433;W;Conj;;605434;JBR> ;Pred;;605435;>LHJM ;Subj;;605436;>T&H>DM ;Objc;;605437;BYLMW ;Adju;;;;;
426670;543;Genesis 1:27;;BR> ;;605438;BYLM >LHJM ;Adju;;605439;BR> ;Pred;;605440;>TW ;Objc;;;;;;;;;;;;;
426671;548;Genesis 1:27;;BR> ;;605441;ZKR WNQBH ;PrAd;Objc;605442;BR> ;Pred;;605443;>TM00;Objc;;;;;;;;;;;;;
426704;722;Genesis 2:3;;BR> ;;605539;>#R&;Rela;;605540;BR> ;Pred;;605541;>LHJM ;Subj;;;;;;;;;;;;;
426707;734;Genesis 2:4;;HBR>M ;;605545;BHBR>M ;PreS;;;;;;;;;;;;;;;;;;;;;
426995;2124;Genesis 5:1;;BR> ;;606413;BJWM BR> ;Pred;;606414;>LHJM ;Subj;;606415;>DM ;Objc;;;;;;;;;;;;;
426997;2135;Genesis 5:2;;BR>M ;;606419;ZKR WNQBH ;PrAd;Objc;606420;BR>M ;PreO;;;;;;;;;;;;;;;;;
427000;2146;Genesis 5:2;;HBR>M00;;606429;HBR>M00;PreS;;;;;;;;;;;;;;;;;;;;;
427101;2738;Genesis 6:7;;BR>TJ ;;606750;>#R&;Rela;;606751;BR>TJ ;Pred;;;;;;;;;;;;;;;;;
436229;47981;Exodus 34:10;;NBR>W ;;634350;>#R ;Rela;;634351;L>&;Nega;;634352;NBR>W ;Pred;;634353;BKL&H>RY WBKL&HGWJM ;Loca;;;;;;;;;
441767;80613;Numbers 16:30;;JBR> ;;651316;W;Conj;;651317;>M&;Conj;;651318;BRJ>H ;Objc;;651319;JBR> ;Pred;;651320;JHWH ;Subj;;;;;
444457;95888;Deuteronomy 4:32;;BR> ;;659506;>#R ;Rela;;659507;BR> ;Pred;;659508;>LHJM ;Subj;;659509;>DM ;Objc;;659510;<L&H>RY ;Loca;;;;;
467366;213366;Isaiah 4:5;;BR> ;;728415;W;Conj;;728416;BR> ;Pred;;728417;JHWH ;Subj;;728418;<L KL&MKWN HR&YJWN W<L&MQR>H ;Adju;Loca;728419;<NN ;Objc;;728420;JWMM ;Time;
470243;225956;Isaiah 40:26;;BR> ;;736320;MJ&;Subj;;736321;BR> ;Pred;;736322;>LH ;Objc;;;;;;;;;;;;;
470256;226001;Isaiah 40:28;;BWR> ;;736355;BWR> ;PreC;;736356;QYWT H>RY ;Objc;;;;;;;;;;;;;;;;;
470370;226374;Isaiah 41:20;;BR>H00;;736628;W;Conj;;736629;QDW# J#R>L ;Subj;;736630;BR>H00;PreO;;;;;;;;;;;;;
470441;226576;Isaiah 42:5;;BWR> ;;736799;BWR> ;PreC;;736800;H#MJM ;Objc;;;;;;;;;;;;;;;;;
