clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
426762;1028;Genesis 2:19;link;JB> ;hif;605705;W;Conj;;605706;JB> ;Pred;;605707;>L&H>DM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
426776;1110;Genesis 2:22;link;JB>H ;hif;605753;W;Conj;;605754;JB>H ;PreO;;605755;>L&H>DM00;Cmpl;;;;;;;;;;;;;;;;;;;;;
426905;1708;Genesis 4:3;link;JB> ;hif;606131;W;Conj;;606132;JB> ;Pred;;606133;QJN ;Subj;;606134;MPRJ H>DMH ;Cmpl;;606135;MNXH ;Objc;;606136;LJHWH00;Cmpl;;;;;;;;;
426906;1719;Genesis 4:4;link;HBJ> ;hif;606137;W;Conj;;606138;HBL GM&HW> ;Subj;;606139;HBJ> ;Pred;;606140;MBKRWT Y>NW WMXLBHN ;Cmpl;;;;;;;;;;;;;;;;;
427088;2674;Genesis 6:4;link;JB>W ;qal;606711;>#R ;Rela;;606712;JB>W ;Pred;;606713;BNJ H>LHJM ;Subj;;606714;>L&BNWT H>DM ;Cmpl;;;;;;;;;;;;;;;;;
427115;2832;Genesis 6:13;link;B> ;qal;606800;QY KL&B#R ;Subj;;606801;B> ;Pred;;606802;LPNJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427131;2914;Genesis 6:17;link;MBJ> ;hif;606850;HNNJ ;IntS;;606851;MBJ> ;PreC;;606852;>T&HMBWL MJM ;Objc;;606853;<L&H>RY ;Cmpl;;;;;;;;;;;;;;;;;
427137;2946;Genesis 6:18;link;B>T ;qal;606868;W;Conj;;606869;B>T ;Pred;;606870;>L&HTBH ;Cmpl;;606871;>TH WBNJK W>#TK WN#J&BNJK >TK00;Subj;;;;;;;;;;;;;;;;;
427139;2970;Genesis 6:19;link;TBJ> ;hif;606874;#NJM MKL ;Objc;;606875;TBJ> ;Pred;;606876;>L&HTBH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427143;3002;Genesis 6:20;link;JB>W ;qal;606882;#NJM MKL ;Subj;;606883;JB>W ;Pred;;606884;>LJK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427154;3041;Genesis 7:1;link;B>&;qal;606914;B>&;Pred;;606915;>TH WKL&BJTK ;Subj;;606916;>L&HTBH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
427169;3154;Genesis 7:7;link;JB> ;qal;606965;W;Conj;;606966;JB> ;Pred;;606967;NX WBNJW W>#TW WN#J&BNJW >TW ;Subj;;606968;>L&HTBH ;Cmpl;;606969;MPNJ MJ HMBWL00;Adju;;;;;;;;;;;;;
427170;3197;Genesis 7:9;link;B>W ;qal;606970;MN&HBHMH HVHWRH WMN&HBHMH WMN&H<WP WKL ;Adju;;606977;#NJM #NJM ;Subj;;606978;B>W ;Pred;;606979;>L&NX ;Cmpl;;606980;>L&HTBH ;Cmpl;;606981;ZKR WNQBH ;Adju;;;;;;;;;
427179;3279;Genesis 7:13;link;B> ;qal;607007;B<YM HJWM HZH ;Time;;607008;B> ;Pred;;607009;NX W#M&WXM WJPT BNJ&NX W>#T NX W#L#T N#J&BNJW >TM ;Subj;;607010;>L&HTBH00;Cmpl;;;;;;;;;;;;;;;;;
