clause#;word#;passage;link;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
426853;1456;Genesis 3:15;link;>#JT ;;605976;W;Conj;;605977;>JBH ;Objc;;605978;>#JT ;Pred;;605979;BJNK WBJN H>#H WBJN ZR<K WBJN ZR<H ;Cmpl;;;;;;;;;
426988;2089;Genesis 4:25;link;#T&;;606390;KJ ;Conj;;606391;#T&;Pred;;606392;LJ ;Adju;;606393;>LHJM ;Subj;;606394;ZR< >XR ;Objc;;606395;TXT HBL ;Cmpl;
429856;16303;Genesis 30:40;link;J#T&;;615125;W;Conj;;615126;J#T&;Pred;;615127;LW ;Supp;Adju;615128;<DRJM ;Objc;;615129;LBDW ;Adju;;;;;
429857;16310;Genesis 30:40;link;#TM ;;615130;W;Conj;;615131;L> ;Nega;;615132;#TM ;PreO;;615133;<L&Y>N LBN00;Cmpl;;;;;;;;;
431269;22951;Genesis 41:33;link;J#JTHW ;;619335;W;Conj;;619336;J#JTHW ;PreO;;619337;<L&>RY MYRJM00;Cmpl;;;;;;;;;;;;;
431995;26053;Genesis 46:4;link;J#JT ;;621479;W;Conj;;621480;JWSP ;Subj;;621481;J#JT ;Pred;;621482;JDW ;Objc;;621483;<L&<JNJK00;Cmpl;;;;;
432270;27555;Genesis 48:14;link;J#T ;;622339;W;Conj;;622340;J#T ;Pred;;622341;<L&R># >PRJM ;Cmpl;;;;;;;;;;;;;
432286;27638;Genesis 48:17;link;J#JT ;;622387;KJ&;Conj;;622388;J#JT ;Pred;;622389;>BJW ;Subj;;622390;JD&JMJNW ;Objc;;622391;<L&R># >PRJM ;Cmpl;;;;;
433297;32271;Exodus 7:23;link;#T ;;625308;W;Conj;;625309;L>&;Nega;;625310;#T ;Pred;;625311;LBW ;Objc;;625312;GM&LZ>T00;Cmpl;;;;;
433575;33795;Exodus 10:1;link;#TJ ;;626183;LM<N #TJ ;PreS;;626184;>TTJ >LH ;Objc;;626185;BQRBW00;Cmpl;;;;;;;;;;;;;
434857;40333;Exodus 21:22;link;J#JT ;;630135;K>#R ;Conj;;630136;J#JT ;Pred;;630137;<LJW ;Cmpl;;630138;B<L H>#H ;Subj;;;;;;;;;
434884;40459;Exodus 21:30;link;JW#T ;;630217;>M&;Conj;;630218;KPR ;Objc;;630219;JW#T ;Pred;;630220;<LJW ;Cmpl;;;;;;;;;
434886;40468;Exodus 21:30;link;JW#T ;;630225;>#R&;Rela;;630226;JW#T ;Pred;;630227;<LJW00;Cmpl;;;;;;;;;;;;;
435021;41060;Exodus 23:1;link;T#T ;;630644;>L&;Nega;;630645;T#T ;Pred;;630646;JDK ;Objc;;630647;<M&R#< ;Adju;;;;;;;;;
435117;41542;Exodus 23:31;link;#TJ ;;630952;W;Conj;;630953;#TJ ;Pred;;630954;>T&GBLK ;Objc;;630955;MJM&SWP W<D&JM PL#TJM WMMDBR <D&HNHR ;Cmpl;;;;;;;;;
436089;47355;Exodus 33:4;link;#TW ;;633937;W;Conj;;633938;L>&;Nega;;633939;#TW ;Pred;;;;;;;;;;;;;
441228;77763;Numbers 12:11;link;T#T ;;649688;>L&;Nega;;649689;N> ;Intj;;649690;T#T ;Pred;;649691;<LJNW ;Cmpl;;649692;XV>T ;Objc;;;;;
442677;85224;Numbers 24:1;link;J#T ;;654142;W;Conj;;654143;J#T ;Pred;;654144;>L&HMDBR ;Cmpl;;654145;PNJW00;Objc;;;;;;;;;
453059;142211;1_Samuel 2:8;link;J#T ;;685646;W;Conj;;685647;J#T ;Pred;;685648;<LJHM ;Cmpl;;685649;TBL00;Objc;;;;;;;;;
453410;143776;1_Samuel 4:20;link;#TH ;;686679;W;Conj;;686680;L>&;Nega;;686681;#TH ;Pred;;686682;LBH00;Objc;;;;;;;;;
458332;167570;2_Samuel 13:20;link;T#JTJ ;;701756;>L&;Nega;;701757;T#JTJ ;Pred;;701758;>T&LBK ;Objc;;701759;LDBR HZH ;Cmpl;;;;;;;;;
459394;172672;2_Samuel 19:29;link;T#T ;;704928;W;Conj;;704929;T#T ;Pred;;704930;>T&<BDK ;Objc;;704931;B>KLJ #LXNK ;Cmpl;;;;;;;;;
459728;174414;2_Samuel 22:12;link;J#T ;;705968;W;Conj;;705969;J#T ;Pred;;705970;X#K SBJBTJW ;Objc;;705971;SKWT ;Objc;;;;;;;;;
461751;185728;1_Kings 11:34;link;>#TNW ;;712010;KJ ;Conj;;712011;N#J> ;Objc;;712012;>#TNW ;PreO;;712013;KL JMJ XJJW ;Time;;712014;LM<N DWD <BDJ ;Adju;;;;;
467397;213505;Isaiah 5:6;link;>#JTHW ;;728506;W;Conj;;728507;>#JTHW ;PreO;;728508;BTH ;Objc;;;;;;;;;;;;;
468259;217444;Isaiah 15:9;link;>#JT ;;730979;KJ&;Conj;;730980;>#JT ;Pred;;730981;<L&DJMWN ;Cmpl;;730982;NWSPWT ;Objc;;;;;;;;;
468268;217484;Isaiah 16:3;link;#JTJ ;;731002;#JTJ ;Pred;;731003;KLJL ;Cmpl;;731004;YLK ;Objc;;731005;BTWK YHRJM ;Time;;;;;;;;;
468622;219067;Isaiah 22:7;link;#T ;;731935;W;Conj;;731936;HPR#JM ;Subj;;731937;#T ;Modi;;731938;#TW ;Pred;;731939;H#<RH00;Loca;Cmpl;;;;
468905;220285;Isaiah 26:1;link;J#JT ;;732666;J#W<H ;Objc;;732667;J#JT ;Pred;;732668;XWMWT WXL00;Objc;;;;;;;;;;;;;
472910;235605;Jeremiah 2:15;link;J#JTW ;;743285;W;Conj;;743286;J#JTW ;Pred;;743287;>RYW ;Objc;;743288;L#MH ;Cmpl;;;;;;;;;
473111;236410;Jeremiah 3:19;link;>#JTK ;;743830;>JK ;Ques;;743831;>#JTK ;PreO;;743832;BBNJM ;Cmpl;;;;;;;;;;;;;
474336;241506;Jeremiah 13:16;link;#JT ;;747151;W;Conj;;747152;#JT ;Pred;;747153;L<RPL00;Cmpl;;;;;;;;;;;;;
475170;245427;Jeremiah 22:6;link;>#JTK ;;749540;>M&;Conj;;749541;L> ;Nega;;749542;>#JTK ;PreO;;749543;MDBR ;Objc;;;;;;;;;
476274;251018;Jeremiah 31:21;link;#TJ ;;752683;#TJ ;Pred;;752684;LBK ;Objc;;752685;LMSLH ;Cmpl;;;;;;;;;;;;;
478328;261902;Jeremiah 50:3;link;J#JT ;;758680;HW>&;Subj;;758681;J#JT ;Pred;;758682;>T&>RYH ;Objc;;758683;L#MH ;Cmpl;;;;;;;;;
478693;263398;Jeremiah 51:39;link;>#JT ;;759629;>#JT ;Pred;;759630;>T&M#TJHM ;Objc;;;;;;;;;;;;;;;;;
484500;291177;Hosea 2:5;link;#TH ;;776263;W;Conj;;776264;#TH ;PreO;;776265;K>RY YJH ;Cmpl;;;;;;;;;;;;;
484785;292347;Hosea 6:11;link;#T ;;777059;#T ;Pred;;777060;QYJR ;Objc;;777061;LK ;Adju;;;;;;;;;;;;;
489184;310900;Psalms 3:7;link;#TW ;;789089;>#R ;Rela;;789090;SBJB ;Modi;;789091;#TW ;Pred;;789092;<LJ00;Cmpl;;;;;;;;;
489381;311515;Psalms 8:7;link;#TH ;;789539;KL ;Objc;;789540;#TH ;Pred;;789541;TXT&RGLJW00;Cmpl;;;;;;;;;;;;;
489449;311743;Psalms 9:21;link;#JTH ;;789697;#JTH ;Pred;;789699;MWRH ;Objc;;789700;LHM ;Adju;;;;;;;;;;;;;
489559;312102;Psalms 12:6;link;>#JT ;;789945;>#JT ;Pred;;789946;BJ#< ;Cmpl;;;;;;;;;;;;;;;;;
489576;312158;Psalms 13:3;link;>#JT ;;789980;<D&>NH ;Time;;789981;>#JT ;Pred;;789982;<YWT ;Objc;;789983;BNP#J ;Cmpl;;;;;;;;;
489705;312571;Psalms 17:11;link;J#JTW ;;790289;<JNJHM ;Objc;;790290;J#JTW ;Pred;;;;;;;;;;;;;;;;;
489762;312770;Psalms 18:12;link;J#T ;;790422;J#T ;Pred;;790423;X#K ;Objc;;790424;STRW ;Objc;;;;;;;;;;;;;
489950;313458;Psalms 21:4;link;T#JT ;;790905;T#JT ;Pred;;790906;LR>#W ;Cmpl;;790907;<VRT PZ00;Objc;;;;;;;;;;;;;
489955;313483;Psalms 21:7;link;T#JTHW ;;790920;KJ&;Conj;;790921;T#JTHW ;PreO;;790922;BRKWT ;Objc;;790923;L<D ;Time;;;;;;;;;
489961;313512;Psalms 21:10;link;T#JTMW ;;790941;T#JTMW ;PreO;;790942;KTNWR ># ;Cmpl;;790943;L<T PNJK ;Time;;;;;;;;;;;;;
489969;313544;Psalms 21:13;link;T#JTMW ;;790964;KJ ;Conj;;790965;T#JTMW ;PreO;;790966;#KM ;Objc;;;;;;;;;;;;;
491296;318043;Psalms 45:17;link;T#JTMW ;;794182;T#JTMW ;PreO;;794183;L#RJM ;Cmpl;;794184;BKL&H>RY00;Loca;Cmpl;;;;;;;;;;;;
491398;318387;Psalms 48:14;link;#JTW ;;794403;#JTW ;Pred;;794404;LBKM ;Objc;;794405;LXJLH ;Cmpl;;;;;;;;;;;;;
491443;318548;Psalms 49:15;link;#TW ;;794511;KY>N ;Adju;;794512;L#>WL ;Cmpl;;794513;#TW ;Pred;;;;;;;;;;;;;
492061;320565;Psalms 62:11;link;T#JTW ;;795955;XJL ;Objc;;795958;>L&;Nega;;795959;T#JTW ;Pred;;795960;LB00;Objc;;;;;;;;;
492662;322585;Psalms 73:9;link;#TW ;;797375;#TW ;Pred;;797376;B#MJM ;Cmpl;;797377;PJHM ;Objc;;;;;;;;;;;;;
492683;322671;Psalms 73:18;link;T#JT ;;797439;>K BXLQWT ;Adju;;797440;T#JT ;Pred;;797441;LMW ;Cmpl;;;;;;;;;;;;;
492710;322762;Psalms 73:28;link;#TJ ;;797510;#TJ ;Pred;;797511;B>DNJ JHWH ;Cmpl;;797512;MXSJ ;Objc;;;;;;;;;;;;;
493288;324919;Psalms 83:12;link;#JTMW ;;798993;#JTMW NDJBMW ;PreO;;798994;K<RB WKZ>B ;Cmpl;;;;;;;;;;;;;;;;;
493293;324942;Psalms 83:14;link;#JTMW ;;799004;#JTMW ;PreO;;799005;KGLGL ;Cmpl;;;;;;;;;;;;;;;;;
493321;325036;Psalms 84:4;link;#TH ;;799064;>#R&;Rela;;799065;#TH ;Pred;;799066;>PRXJH ;Objc;;;;;;;;;;;;;
493331;325065;Psalms 84:7;link;J#JTWHW ;;799082;M<JN ;Objc;;799083;J#JTWHW ;PreO;;;;;;;;;;;;;;;;;
493492;325590;Psalms 88:7;link;#TNJ ;;799445;#TNJ ;PreO;;799446;BBWR TXTJWT BMX#KJM BMYLWT00;Cmpl;;;;;;;;;;;;;;;;;
493497;325609;Psalms 88:9;link;#TNJ ;;799457;#TNJ ;PreO;;799458;TW<BWT ;Objc;;799459;LMW ;Adju;;;;;;;;;;;;;
493684;326291;Psalms 90:8;link;#TH ;;799937;#TH ;Pred;;799938;<WNTJNW ;Objc;;799939;LNGDK ;Cmpl;;;;;;;;;;;;;
494064;327632;Psalms 101:3;link;>#JT ;;800845;L>&;Nega;;800846;>#JT ;Pred;;800847;LNGD <JNJ ;Cmpl;;800848;DBR&BLJ<L ;Objc;;;;;;;;;
494270;328405;Psalms 104:20;link;T#T&;;801367;T#T&;Pred;;801368;X#K ;Objc;;;;;;;;;;;;;;;;;
494768;330278;Psalms 110:1;link;>#JT ;;802661;<D&;Conj;;802662;>#JT ;Pred;;802663;>JBJK ;Objc;;802664;HDM LRGLJK00;Objc;;;;;;;;;
495700;333525;Psalms 132:11;link;>#JT ;;804935;MPRJ BVNK ;Cmpl;;804936;>#JT ;Pred;;804937;LKS>&;Cmpl;;804938;LK00;Adju;;;;;;;;;
495918;334375;Psalms 139:5;link;T#T ;;805484;W;Conj;;805485;T#T ;Pred;;805486;<LJ ;Cmpl;;805487;KPKH00;Objc;;;;;;;;;
495997;334619;Psalms 140:6;link;#TW&;;805675;MQ#JM ;Objc;;805676;#TW&;Pred;;805677;LJ ;Cmpl;;;;;;;;;;;;;
496031;334718;Psalms 141:3;link;#JTH ;;805743;#JTH ;Pred;;805745;#MRH ;Objc;;805746;LPJ ;Cmpl;;;;;;;;;;;;;
496901;337999;Job 7:17;link;T#JT ;;808050;W;Conj;;808051;KJ&;Conj;;808052;T#JT ;Pred;;808053;>LJW ;Cmpl;;808054;LBK00;Objc;;;;;
497061;338548;Job 9:33;link;J#T ;;808495;J#T ;Pred;;808496;JDW ;Objc;;808497;<L&#NJNW00;Cmpl;;;;;;;;;;;;;
