clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
426872;1546;Genesis 3:19;link;#WBK ;qal;606033;<D #WBK ;PreS;;606034;>L&H>DMH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
426875;1559;Genesis 3:19;link;T#WB00;qal;606041;W;Conj;;606042;>L&<PR ;Cmpl;;606043;T#WB00;Pred;;;;;;;;;;;;;;;;;
427218;3589;Genesis 8:3;link;J#BW ;qal;607138;W;Conj;;607139;J#BW ;Pred;;607140;HMJM ;Subj;;607141;M<L H>RY ;Cmpl;;607142;HLWK W#WB ;Modi;;;;;;;;;
427227;3676;Genesis 8:7;link;#WB ;qal;607174;W;Conj;;607175;* JY> ;Pred;;607176;* JYW> W#WB ;Modi;;;;;;;;;;;;;;;;;
427233;3713;Genesis 8:9;link;T#B ;qal;607195;W;Conj;;607196;T#B ;Pred;;607197;>LJW ;Cmpl;;607198;>L&HTBH ;Cmpl;;;;;;;;;;;;;
427248;3792;Genesis 8:12;link;#WB&;qal;607247;#WB&;Pred;;607248;>LJW ;Cmpl;;607249;<WD00;Modi;;;;;;;;;;;;;;;;;
427676;6317;Genesis 14:7;link;J#BW ;qal;608596;W;Conj;;608597;J#BW ;Pred;;;;;;;;;;;;;;;;;;;;;
427707;6507;Genesis 14:16;link;J#B ;hif;608686;W;Conj;;608687;J#B ;Pred;;608688;>T KL&HRK# ;Objc;;;;;;;;;;;;;;;;;
427708;6519;Genesis 14:16;link;H#JB ;hif;608689;W;Conj;;608690;GM >T&LWV >XJW WRK#W WGM >T&HN#JM W>T&H<M00;Objc;;608691;H#JB ;Pred;;;;;;;;;;;;;;;;;
427711;6536;Genesis 14:17;link;#WBW ;qal;608696;>XRJ #WBW ;PreS;;;;;;;;;;;;;;;;;;;;;;;;;
427803;6929;Genesis 15:16;link;J#WBW ;qal;608960;W;Conj;;608961;DWR RBJ<J ;Subj;;608962;J#WBW ;Pred;;608963;HNH ;Cmpl;;;;;;;;;;;;;
427854;7201;Genesis 16:9;link;#WBJ ;qal;609115;#WBJ ;Pred;;609116;>L&GBRTK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
428006;7968;Genesis 18:10;link;#WB ;qal;609595;#WB ;Modi;;609596;>#WB ;Pred;;609597;>LJK ;Cmpl;;609598;K<T XJH ;Time;;;;;;;;;;;;;
428025;8049;Genesis 18:14;link;>#WB ;qal;609649;LMW<D ;Time;;609650;>#WB ;Pred;;609651;>LJK ;Cmpl;;609652;K<T XJH ;Time;;;;;;;;;;;;;
428118;8419;Genesis 18:33;link;#B ;qal;609914;W;Conj;;609915;>BRHM ;Subj;;609916;#B ;Pred;;609917;LMQMW00;Cmpl;;;;;;;;;;;;;
